#area theta h
51.1794 174.3006193335 0
52.2834 174.236115769209 -0.00075
53.1572 174.20641018039 -0.002125
53.6863 174.186040633772 -0.002875
54.052 174.189435558208 -0.004
54.154 174.208956373717 -0.005
54.5038 174.202166524845 -0.00575
54.4317 174.245451811409 -0.007125
54.6954 174.245451811409 -0.007875
54.6656 174.278552324664 -0.009
54.5812 174.312501569028 -0.01
55.1771 174.287888366864 -0.01075
54.328 174.390584831065 -0.012125
55.4391 174.325232535664 -0.012875
55.7309 174.333719846755 -0.014
55.8979 174.34814827561 -0.015
56.7435 174.304014257937 -0.01575
57.0195 174.32014014901 -0.017125
56.6117 174.371912746665 -0.017875
56.8103 174.388038637738 -0.019
56.8842 174.409256915465 -0.02
56.7752 174.438113773175 -0.02075
57.1866 174.444054890938 -0.022125
57.3711 174.449996008702 -0.022875
57.2956 174.486491446393 -0.024
57.4889 174.49922241303 -0.025
57.1883 174.542507699594 -0.02575
57.6964 174.540810237376 -0.027125
59.1661 174.449147277593 -0.027875
59.2346 174.474609210866 -0.029
59.741 174.462726975339 -0.03
59.7867 174.479701597521 -0.03075
59.9343 174.506012261903 -0.032125
60.0679 174.516197035212 -0.032875
60.2877 174.529776732957 -0.034
61.3531 174.475457941975 -0.035
61.7662 174.464424437557 -0.03575
61.9402 174.489037639721 -0.037125
62.0053 174.504314799684 -0.037875
62.8368 174.47121428643 -0.039
63.4838 174.449147277593 -0.04
63.9637 174.433870117629 -0.04075
64.3311 174.44235742872 -0.042125
64.3241 174.463575706448 -0.042875
64.4454 174.484793984175 -0.044
64.5491 174.503466068575 -0.045
64.4894 174.531474195176 -0.045875
64.4946 174.56542343954 -0.047125
64.572 174.579003137285 -0.047875
65.117 174.568818363976 -0.049
65.4334 174.571364557303 -0.05
65.7042 174.571364557303 -0.05075
65.887 174.594280297249 -0.052125
65.945 174.610406188322 -0.052875
66.1542 174.624834617177 -0.054
66.2105 174.646901626013 -0.055
66.4074 174.656237668213 -0.055875
66.4601 174.685094525923 -0.057125
66.49 174.703766610323 -0.057875
67.0578 174.691035643686 -0.059
68.677 174.595977759467 -0.06
69.1587 174.579851868394 -0.06075
69.5384 174.588339179485 -0.062125
70.1133 174.56542343954 -0.062875
70.3242 174.579851868394 -0.064
70.7374 174.575608212849 -0.065
71.1839 174.56542343954 -0.065875
71.5496 174.572213288412 -0.067125
72.2018 174.543356430703 -0.067875
72.5182 174.550146279576 -0.069
72.6044 174.569667095085 -0.07
72.8417 174.572213288412 -0.07075
72.8364 174.609557457213 -0.072125
73.0949 174.610406188322 -0.072875
73.3041 174.624834617177 -0.074
73.2636 174.653691474886 -0.075
74.5171 174.58409552394 -0.075875
74.1356 174.646052894904 -0.077125
75.5262 174.562877246212 -0.077875
75.5244 174.592582835031 -0.079
75.7495 174.60276760834 -0.08
75.0041 174.677455945941 -0.08075
75.0902 174.708010265868 -0.082125
75.0076 174.734320930251 -0.082875
76.5371 174.65029655045 -0.084
76.4579 174.683397063705 -0.085
76.9185 174.672363559286 -0.085875
76.6074 174.728379812487 -0.087125
76.7621 174.736867123578 -0.087875
76.9256 174.754690476869 -0.089
77.3721 174.747900627996 -0.09
78.9684 174.65029655045 -0.09075
78.7434 174.702917879214 -0.092125
79.5679 174.662178785977 -0.092875
79.2813 174.713102652523 -0.094
80.148 174.675758483723 -0.095
80.3238 174.682548332595 -0.09575
80.461 174.708858996978 -0.097125
80.3555 174.736867123578 -0.097875
81.4507 174.685943257032 -0.099
81.6072 174.701220416996 -0.1
81.6476 174.717346308069 -0.10075
82.0168 174.726682350269 -0.102125
81.6968 174.769967636833 -0.102875
82.3842 174.749598090214 -0.104
83.8504 174.66896863485 -0.105
84.7066 174.626532079395 -0.10575
84.9123 174.647750357122 -0.107125
84.8138 174.674061021504 -0.107875
84.6872 174.713102652523 -0.109
84.9738 174.718195039178 -0.11
85.0775 174.730926005814 -0.11075
85.3939 174.743656972451 -0.112125
85.7473 174.737715854687 -0.112875
85.7139 174.769967636833 -0.114
85.9354 174.780152410142 -0.115
85.5363 174.828530083361 -0.11575
85.9917 174.831076276688 -0.117125
85.9882 174.851445823306 -0.117875
87.4719 174.773362561269 -0.119
87.4086 174.803916881197 -0.12
88.0978 174.773362561269 -0.12075
88.5496 174.776757485706 -0.122125
88.5689 174.792034645669 -0.12275
89.2282 174.877756487689 -0.127875
90.5238 174.915100656489 -0.132875
92.099 174.932075278671 -0.137875
92.753 175.015250927363 -0.142875
94.1752 175.043259053963 -0.147875
95.7469 175.060233676145 -0.152875
97.526 175.062779869472 -0.157875
99.4212 175.054292558381 -0.16275
100.849 175.081451953873 -0.16775
102.164 175.117947391564 -0.17275
103.415 175.157837753692 -0.17775
105.592 175.133224551528 -0.18275
106.265 175.214702738001 -0.18775
110.01 175.079754491654 -0.19275
111.485 175.105216424927 -0.19775
114.783 175.003368691835 -0.20275
117.276 174.958385943053 -0.20775
119.257 174.949049900853 -0.21275
120.523 174.988940262981 -0.21775
123.174 174.933772740889 -0.22275
124.587 174.964327060817 -0.22775
127.047 174.922739236471 -0.23275
127.671 175.006763616272 -0.23775
129.297 175.022889507345 -0.24275
130.716 175.052595096163 -0.24775
131.66 175.114552467128 -0.25275
133.775 175.097577844946 -0.25775
134.437 175.175661106983 -0.262625
135.246 175.250349444584 -0.26775
