#area theta h
51.1794 174.843807243325 0
52.2834 174.776757485706 -0.00075
53.1572 174.74450570356 -0.002125
53.6863 174.722438694723 -0.002875
54.052 174.723287425832 -0.004
54.154 174.741110779123 -0.005
54.5038 174.733472199142 -0.00575
54.4317 174.775060023487 -0.007125
54.6954 174.773362561269 -0.007875
54.6656 174.804765612306 -0.009
54.5812 174.837866125561 -0.01
55.1771 174.81070673007 -0.01075
54.328 174.912554463162 -0.012125
55.4391 174.845504705543 -0.012875
55.7309 174.851445823306 -0.014
55.8979 174.864176789943 -0.015
56.7435 174.818345310052 -0.01575
57.0195 174.832773738906 -0.017125
56.6117 174.883697605452 -0.017875
56.8103 174.897277303198 -0.019
56.8842 174.916798118707 -0.02
56.7752 174.944806245307 -0.02075
57.1866 174.948201169744 -0.022125
57.3711 174.953293556398 -0.022875
57.2956 174.988091531872 -0.024
57.4889 174.99912503629 -0.025
57.1883 175.041561591745 -0.02575
57.6964 175.037317936199 -0.027125
59.1661 174.943108783089 -0.027875
59.2346 174.966873254144 -0.029
59.741 174.953293556398 -0.03
59.7867 174.969419447471 -0.03075
59.9343 174.993183918526 -0.032125
60.0679 175.002519960726 -0.032875
60.2877 175.014402196254 -0.034
61.3531 174.957537211944 -0.035
61.7662 174.945654976417 -0.03575
61.9402 174.966873254144 -0.037125
62.0053 174.981301682999 -0.037875
62.8368 174.946503707526 -0.039
63.4838 174.922739236471 -0.04
63.9637 174.90491588318 -0.04075
64.3311 174.912554463162 -0.042125
64.3241 174.932075278671 -0.042875
64.4454 174.95159609418 -0.044
64.5491 174.968570716362 -0.045
64.4894 174.995730111854 -0.045875
64.4946 175.02713316289 -0.047125
64.572 175.039864129527 -0.047875
65.117 175.02713316289 -0.049
65.4334 175.028830625108 -0.05
65.7042 175.02713316289 -0.05075
65.887 175.048351440618 -0.052125
65.945 175.062779869472 -0.052875
66.1542 175.075510836109 -0.054
66.2105 175.096729113836 -0.055
66.4074 175.103518962709 -0.055875
66.4601 175.13152708931 -0.057125
66.49 175.148501711492 -0.057875
67.0578 175.134073282637 -0.059
68.677 175.03646920509 -0.06
69.1587 175.019494582908 -0.06075
69.5384 175.025435700672 -0.062125
70.1133 175.000822498508 -0.062875
70.3242 175.013553465145 -0.064
70.7374 175.007612347381 -0.065
71.1839 174.996578842963 -0.065875
71.5496 174.999973767399 -0.067125
72.2018 174.97026817858 -0.067875
72.5182 174.975360565235 -0.069
72.6044 174.994032649635 -0.07
72.8417 174.994881380744 -0.07075
72.8364 175.029679356218 -0.072125
73.0949 175.029679356218 -0.072875
73.3041 175.042410322854 -0.074
73.2636 175.070418449454 -0.075
74.5171 174.99912503629 -0.075875
74.1356 175.058536213927 -0.077125
75.5262 174.973663103017 -0.077875
75.5244 175.002519960726 -0.079
75.7495 175.011007271817 -0.08
75.0041 175.084846878309 -0.08075
75.0902 175.112855004909 -0.082125
75.0076 175.138316938182 -0.082875
76.5371 175.052595096163 -0.084
76.4579 175.083149416091 -0.085
76.9185 175.071267180563 -0.085875
76.6074 175.125585971546 -0.087125
76.7621 175.132375820419 -0.087875
76.9256 175.148501711492 -0.089
77.3721 175.14086313151 -0.09
78.9684 175.041561591745 -0.09075
78.7434 175.092485458291 -0.092125
79.5679 175.050048902836 -0.092875
79.2813 175.099275307164 -0.094
80.148 175.060233676145 -0.095
80.3238 175.066174793909 -0.09575
80.461 175.089939264964 -0.097125
80.3555 175.116249929346 -0.097875
81.4507 175.064477331691 -0.099
81.6072 175.077208298327 -0.1
81.6476 175.0933341894 -0.10075
82.0168 175.100124038273 -0.102125
81.6968 175.142560593728 -0.102875
82.3842 175.119644853782 -0.104
83.8504 175.037317936199 -0.105
84.7066 174.993183918526 -0.10575
84.9123 175.012704734036 -0.107125
84.8138 175.038166667309 -0.107875
84.6872 175.075510836109 -0.109
84.9738 175.079754491654 -0.11
85.0775 175.090787996073 -0.11075
85.3939 175.101821500491 -0.112125
85.7473 175.094182920509 -0.112875
85.7139 175.124737240437 -0.114
85.9354 175.133224551528 -0.115
85.5363 175.180753493637 -0.11575
85.9917 175.181602224746 -0.117125
85.9882 175.200274309147 -0.117875
87.4719 175.120493584891 -0.119
87.4086 175.149350442601 -0.12
88.0978 175.117947391564 -0.12075
88.5496 175.119644853782 -0.122125
88.5689 175.133224551528 -0.12275
89.2282 175.212156544674 -0.127875
90.5238 175.241862133493 -0.132875
92.099 175.251198175693 -0.137875
92.753 175.326735244403 -0.142875
94.1752 175.347104791021 -0.147875
95.7469 175.35728956433 -0.152875
97.526 175.352197177676 -0.157875
99.4212 175.336071286603 -0.16275
100.849 175.356440833221 -0.16775
102.164 175.385297690931 -0.17275
103.415 175.418398204185 -0.17775
105.592 175.38614642204 -0.18275
106.265 175.459986028531 -0.18775
110.01 175.318247933312 -0.19275
111.485 175.336071286603 -0.19775
114.783 175.226584973529 -0.20275
117.276 175.173963644765 -0.20775
119.257 175.157837753692 -0.21275
120.523 175.190938266947 -0.21775
123.174 175.128132164873 -0.22275
124.587 175.151896635928 -0.22775
127.047 175.103518962709 -0.23275
127.671 175.180753493637 -0.23775
129.297 175.189240804728 -0.24275
130.716 175.212156544674 -0.24775
131.66 175.267324066766 -0.25275
133.775 175.243559595711 -0.25775
134.437 175.315396673429 -0.262625
135.246 175.383270889777 -0.26775
137.428 175.351685858407 -0.272625
139.395 175.340933507302 -0.27775
141.976 175.283139620115 -0.282625
144.115 175.258274808185 -0.287625
145.353 175.293891971219 -0.292625
147.216 175.287843773723 -0.297625
150.275 175.201824964886 -0.302625
150.743 175.289187817611 -0.307625
152.768 175.273059290954 -0.312625
154.757 175.26230693985 -0.31775
157.313 175.207873162382 -0.322625
158.287 175.264323005682 -0.32775
159.533 175.299940168716 -0.33275
161.233 175.305988366212 -0.33775
163.872 175.249538522913 -0.34275
165.771 175.242818303472 -0.34775
170.227 175.068764619966 -0.35275
174.204 174.926967989774 -0.35775
174.71 175.010970732779 -0.36275
177.226 174.96460121864 -0.36775
178.56 174.995514228066 -0.37275
180.487 174.987449964737 -0.37775
183.635 174.9014311559 -0.38275
185.176 174.918903726445 -0.38775
186.42 174.955192911423 -0.39275
187.881 174.981401767241 -0.397875
190.263 174.941752472542 -0.40275
191.951 174.953176845591 -0.407875
195.351 174.849013444265 -0.41275
196.244 174.911511485061 -0.417875
197.48 174.945784604207 -0.42275
199.454 174.939064384766 -0.427875
203.011 174.828852785944 -0.432875
203.257 174.92965607755 -0.437875
207.207 174.794579666798 -0.442875
209.605 174.758962503764 -0.447875
211.27 174.769714854868 -0.452875
212.191 174.827508742056 -0.457875
213.882 174.836245027328 -0.462875
215.536 174.847669400377 -0.467875
216.799 174.883958585355 -0.472875
218.399 174.898743068124 -0.477875
219.234 174.961913130864 -0.482875
222.264 174.887318695075 -0.487875
224.805 174.843637268713 -0.492875
226.419 174.857749729537 -0.497875
228.129 174.865813992866 -0.502875
230.262 174.848341422321 -0.507875
232.048 174.851701532041 -0.512875
232.842 174.917559682557 -0.517875
234.411 174.935032253102 -0.522875
234.498 175.044571829981 -0.527875
236.144 175.057340246917 -0.532875
238.751 175.010298710835 -0.537875
241.634 174.946456626151 -0.542875
243.192 174.96460121864 -0.547875
245.715 174.922935858109 -0.552875
246.645 174.980057723353 -0.557875
249.194 174.937720340878 -0.562875
250.619 174.96460121864 -0.567875
252.033 174.991482096401 -0.572875
253.037 175.044571829981 -0.577875
254.911 175.043227786093 -0.582875
257.122 175.021723083883 -0.587875
258.708 175.039195654428 -0.592875
259.388 175.111774024385 -0.597875
260.533 175.155455450747 -0.602875
263.597 175.082205058847 -0.607875
265.149 175.10102167328 -0.612875
267.133 175.09430145384 -0.617875
269.409 175.068764619966 -0.622875
269.736 175.163519714076 -0.627875
271.392 175.176288131012 -0.632875
274.17 175.120510309657 -0.637875
275.979 175.124542441321 -0.642875
278.21 175.102365717168 -0.647875
279.957 175.110429980497 -0.652875
281.466 175.13260670465 -0.657875
283.966 175.091613366063 -0.66275
285.85 175.09430145384 -0.667875
287.649 175.096317519672 -0.67275
289.612 175.090941344119 -0.67775
291.95 175.063388444414 -0.68275
292.768 175.127230529098 -0.68775
294.188 175.155455450747 -0.69275
296.85 175.10774189272 -0.69775
297.435 175.186368460173 -0.70275
300.064 175.141342989922 -0.70775
301.361 175.176960152956 -0.71275
303.866 175.13932692409 -0.71775
304.659 175.205185074606 -0.72275
306.605 175.201152942942 -0.72775
308.098 175.225345732927 -0.73275
311.289 175.146719165475 -0.73775
313.388 175.134622770482 -0.74275
315.046 175.148063209363 -0.74775
315.879 175.211905294047 -0.75275
316.417 175.292547927331 -0.75775
317.545 175.33555733175 -0.762625
320.578 175.269699181234 -0.76775
321.397 175.331525200086 -0.772625
324.156 175.282467598171 -0.77775
326.624 175.245506391249 -0.782625
328.514 175.245506391249 -0.787625
331.024 175.20921720627 -0.792625
335.154 175.076828883295 -0.797625
337.311 175.061372378582 -0.802625
339.215 175.061372378582 -0.807625
340.057 175.123870419377 -0.812625
342.921 175.070108663854 -0.81775
344.582 175.084221124679 -0.82275
346.765 175.068092598022 -0.82775
349.156 175.039195654428 -0.83275
351.674 175.00290646945 -0.83775
353.195 175.025755215547 -0.84275
355.338 175.011642754723 -0.84775
357.54 174.994842206122 -0.85275
358.136 175.072124729686 -0.85775
359.81 175.086237190511 -0.86275
360.503 175.157471516579 -0.86775
363.598 175.087581234399 -0.87275
365.121 175.110429980497 -0.87775
367.946 175.057340246917 -0.88275
369.447 175.081533036903 -0.88775
371.06 175.099005607448 -0.89275
373.377 175.075484839406 -0.89775
375.927 175.038523632484 -0.90275
377.518 175.060028334693 -0.907875
379.071 175.078844949127 -0.91275
383.656 174.925623945885 -0.917875
384.77 174.969977394192 -0.92275
385.721 175.029115325268 -0.927875
388.668 174.969305372248 -0.932875
390.777 174.958553021143 -0.937875
392.768 174.954520889479 -0.942875
394.021 174.993498162234 -0.947875
395.742 175.004922535282 -0.952875
398.27 174.969977394192 -0.957875
400.749 174.937720340878 -0.962875
402.185 174.965945262528 -0.967875
405.089 174.909495419228 -0.972875
407.925 174.856405685649 -0.977875
410.321 174.829524807888 -0.982875
412.586 174.810036171511 -0.987875
413.786 174.852373553985 -0.992875
414.929 174.89807104618 -0.997875
417.176 174.879254431747 -1.00287
418.192 174.932344165326 -1.00787
420.564 174.906807331452 -1.01287
422.642 174.89807104618 -1.01787
423.385 174.967289306416 -1.02287
