#area theta h
397.665 130.153021962537 0.747
398.824 130.007040211772 0.752
394.9 130.143685920337 0.757
394.787 130.068148851627 0.762
392.017 130.1402909959 0.767
390.825 130.125013835937 0.772
389.832 130.098703171554 0.777
388.068 130.114829062627 0.782
388.397 130.015527522863 0.787
385.648 130.085972204918 0.792
386.349 129.966301118535 0.797
381.947 130.128408760373 0.802
381.43 130.075787431609 0.807
379.291 130.1122828693 0.812
377.793 130.113980331518 0.817
376.437 130.107190482645 0.822
374.924 130.109736675973 0.827
374.897 130.031653413936 0.831875
371.81 130.120770180391 0.836875
369.834 130.148778306991 0.841875
369.057 130.110585407082 0.846875
366.737 130.157265618082 0.851875
366.255 130.102098095991 0.856875
366.629 129.99940163179 0.861875
363.628 130.0842747427 0.866875
362.596 130.059661540536 0.871875
361.31 130.048628036118 0.876875
361.278 129.968847311862 0.881875
358.822 130.023166102845 0.886875
355.167 130.142837189228 0.891875
355.07 130.066451389409 0.896875
352.505 130.126711298155 0.901875
349.717 130.198853442428 0.906875
348.196 130.201399635756 0.911875
346.637 130.205643291301 0.916875
344.793 130.22516410681 0.921875
342.778 130.254869695629 0.926875
341.574 130.238743804556 0.931875
339.923 130.248079846756 0.936875
338.234 130.259113351174 0.941875
337.26 130.231105224574 0.946875
336.145 130.210735677956 0.951875
334.607 130.213281871283 0.956875
332.831 130.229407762356 0.961875
332.561 130.162358004737 0.966875
330.393 130.199702173537 0.971875
328.85 130.202248366865 0.976875
327.587 130.190366131337 0.981875
323.329 130.342288999866 0.986875
319.673 130.461960086249 0.991875
315.809 130.591815945942 0.996875
313.328 130.646134736924 1.00188
312.377 130.616429148106 1.00687
310.069 130.661411896888 1.01188
309.986 130.583328634851 1.01687
310.151 130.491665675068 1.02188
307.817 130.537497154959 1.02687
307.414 130.477237246213 1.03187
306.252 130.458565161813 1.03687
305.753 130.403397639722 1.04187
303.114 130.464506279577 1.047
302.249 130.431405766322 1.05187
302.349 130.340591537648 1.057
300.465 130.363507277594 1.06188
296.977 130.47044739734 1.067
294.862 130.504396641704 1.072
293.805 130.478934708431 1.077
292.648 130.460262624031 1.082
291.448 130.443288001849 1.087
290.305 130.422918455231 1.092
288.83 130.421220993013 1.097
287.513 130.410187488594 1.102
286.898 130.360961084266 1.107
285.657 130.345683924303 1.112
283.983 130.355019966503 1.117
282.076 130.37623824423 1.122
280.764 130.364356008703 1.127
280.23 130.31088594883 1.132
278.338 130.331255495448 1.137
276.369 130.355868697612 1.142
275.722 130.307491024393 1.147
273.363 130.353322504285 1.152
272.322 130.327011839902 1.157
270.053 130.367750933139 1.162
269.277 130.326163108793 1.167
265.353 130.456867699595 1.172
264.239 130.432254497431 1.17712
262.813 130.428010841885 1.182
260.538 130.466203741795 1.18712
259.049 130.463657548468 1.19213
257.536 130.462808817359 1.19712
256.249 130.448380388504 1.20213
254.593 130.455170237377 1.20713
252.94 130.46111135514 1.21213
251.328 130.464506279577 1.21713
249.646 130.472144859559 1.22213
246.996 130.531556037196 1.22713
245.309 130.540892079396 1.232
243.294 130.563807819342 1.23713
241.71 130.567202743778 1.242
239.222 130.617277879215 1.247
237.549 130.624067728088 1.252
236.17 130.613882954778 1.257
233.839 130.655470779124 1.262
231.656 130.688571292379 1.267
229.687 130.709789570107 1.272
228.293 130.700453527907 1.277
227.684 130.648680930252 1.282
226.408 130.632555039179 1.287
223.852 130.685176367943 1.292
221.243 130.739495158925 1.297
220.155 130.713184494543 1.302
217.36 130.777688058835 1.307
215.276 130.803149992108 1.312
214.714 130.748831201125 1.317
212.274 130.793813949908 1.322
210.291 130.814183496526 1.327
207.293 130.889720565236 1.33188
205.403 130.904148994091 1.33688
204.174 130.883779447472 1.34187
202.708 130.87614086749 1.34688
200.658 130.899056607436 1.35187
198.524 130.925367271818 1.35688
196.476 130.947434280655 1.36187
194.804 130.949980473982 1.36688
192.856 130.966106365055 1.37187
191.735 130.938946969564 1.37688
190.548 130.915182498509 1.38187
189.416 130.888871834127 1.38688
187.626 130.896510414109 1.39187
187.686 130.807393647653 1.39688
186.012 130.809091109872 1.40188
