Premier tirage	
Hauteur (mm)	Aire (mm²)
-0.9005	590.288284023669
-0.895375	590.151952662722
-0.8905	589.41349112426
-0.885375	589.239289940828
-0.8805	589.33775147929
-0.875375	588.985562130178
-0.870375	588.883313609467
-0.865375	588.970414201183
-0.860375	588.913609467456
-0.855375	589.110532544379
-0.850375	589.296094674556
-0.845375	589.118106508876
-0.840375	589.682366863905
-0.835375	589.689940828402
-0.830375	590.083786982249
-0.825375	590.307218934911
-0.8205	590.761656804734
-0.815375	591.375147928994
-0.8105	592.20449704142
-0.805375	593.113372781065
-0.8005	594.934911242604
-0.795375	595.571124260355
-0.7905	597.45325443787
-0.785375	597.915266272189
-0.7805	599.327810650888
-0.7755	600.573727810651
-0.7705	602.156686390533
-0.7655	603.735857988166
-0.7605	603.626035502959
-0.7555	604.296331360947
-0.7505	604.171360946746
-0.7455	604.69775147929
-0.7405	604.841656804734
-0.7355	603.936568047337
-0.7305	603.705562130178
-0.7255	603.201893491124
-0.7205	600.316213017751
-0.7155	600.804733727811
-0.7105	599.638343195266
-0.7055	599.430059171598
-0.7005	599.354319526627
-0.6955	597.96449704142
-0.690625	596.07100591716
-0.6855	595.96875739645
-0.680625	595.983905325444
-0.6755	597.332071005917
-0.670625	598.551479289941
-0.6655	598.839289940828
-0.660625	597.763786982248
-0.655625	597.301775147929
-0.650625	598.612071005917
-0.645625	597.593372781065
-0.640625	597.96449704142
-0.635625	598.468165680473
-0.630625	597.123786982248
-0.625625	596.960946745562
-0.620625	595.91573964497
-0.6155	595.851360946746
-0.610625	594.264615384615
-0.605625	595.359053254438
-0.600625	593.700355029586
-0.5955	595.574911242604
-0.590625	596.063431952663
-0.5855	592.852071005917
-0.580625	593.412544378698
-0.5755	594.359289940828
-0.570625	594.571360946746
-0.5655	594.821301775148
-0.560625	595.063668639053
-0.5555	595.419644970414
-0.5505	595.722603550296
-0.5455	596.544378698225
-0.5405	595.862721893491
-0.5355	595.995266272189
-0.5305	595.843786982249
-0.5255	595.870295857988
-0.5205	595.94224852071
-0.5155	595.362840236686
-0.5105	594.196449704142
-0.5055	594.139644970414
-0.5005	593.617041420118
-0.4955	591.965917159763
-0.4905	592.041656804734
-0.4855	591.424378698225
-0.4805	590.557159763314
-0.4755	591.322130177515
-0.4705	591.200946745562
-0.4655	590.307218934911
-0.4605	591.685680473373
-0.4555	591.912899408284
-0.4505	591.378934911243
-0.4455	592.007573964497
-0.4405	591.731124260355
-0.4355	593.99573964497
-0.4305	592.746035502959
-0.4255	591.977278106509
-0.4205	592.924023668639
-0.4155	591.700828402367
-0.4105	593.147455621302
-0.405375	593.079289940828
-0.4005	593.211834319527
-0.395375	593.401183431953
-0.3905	593.234556213018
-0.385375	592.503668639053
-0.3805	592.579408284024
-0.375375	592.71573964497
-0.370375	593.014911242603
-0.365375	593.079289940828
-0.360375	593.189112426036
-0.355375	592.749822485207
-0.350375	593.083076923077
-0.345375	593.772307692308
-0.340375	593.628402366864
-0.335375	593.132307692308
-0.330375	593.810177514793
-0.325375	593.628402366864
-0.320375	592.935384615385
-0.315375	593.552662721894
-0.3105	593.026272189349
-0.305375	593.20426035503
-0.300625	592.995976331361
-0.2955	592.658934911243
-0.290625	592.56426035503
-0.2855	591.844733727811
-0.280625	592.049230769231
-0.275625	592.090887573964
-0.270625	591.799289940828
-0.265625	592.272662721894
-0.260625	592.477159763314
-0.25575	591.893964497041
-0.25075	592.10224852071
-0.24575	592.363550295858
-0.24075	592.337041420118
-0.23575	592.496094674556
-0.23075	591.965917159763
-0.22575	592.30674556213
-0.22075	592.552899408284
-0.21575	592.999763313609
-0.21075	592.863431952663
-0.20575	592.647573964497
-0.20075	592.734674556213
-0.19575	592.761183431953
-0.19075	592.246153846154
-0.18575	591.12899408284
-0.18075	590.826035502959
-0.17575	591.185798816568
-0.170875	590.773017751479
-0.16575	590.462485207101
-0.160875	590.462485207101
-0.15575	590.51550295858
-0.150875	590.20875739645
-0.14575	590.254201183432
-0.140875	590.31100591716
-0.13575	590.871479289941
-0.130875	590.685917159763
-0.12575	591.382721893491
-0.120875	591.352426035503
-0.11575	591.200946745562
-0.110875	590.996449704142
-0.10575	591.310769230769
-0.100875	590.632899408284
-0.09575	590.598816568047
-0.090875	590.829822485207
-0.08575	589.686153846154
-0.080875	590.261775147929
-0.07575	590.447337278106
-0.070875	589.966390532544
-0.06575	590.087573964497
-0.06075	590.18224852071
-0.05575	590.133017751479
-0.05075	590.557159763314
-0.04575	590.451124260355
-0.04075	589.447573964497
-0.03575	589.837633136095
-0.03075	589.750532544379
-0.02575	589.621775147929
-0.02075	590.398106508876
-0.01575	590.292071005917
-0.01075	591.170650887574
-0.00575	590.250414201183
-0.00075	589.894437869822
0.00425	589.587692307692
0.00925	589.64449704142
0.01425	589.46650887574
0.019125	589.496804733728
0.024125	589.67100591716
0.029125	590.231479289941
0.034125	589.962603550296
0.039125	590.810887573964
0.04425	590.31100591716
0.049125	591.079763313609
0.054125	590.345088757396
0.059125	590.235266272189
0.06425	589.402130177515
0.069125	590.189822485207
0.07425	589.754319526627
0.079125	590.174674556213
0.08425	590.136804733728
0.08925	590.197396449704
0.09425	589.557396449704
0.09925	589.799763313609
0.10425	589.549822485207
0.10925	590.25798816568
0.11425	590.629112426035
0.11925	590.034556213018
0.12425	590.242840236686
0.12925	590.023195266272
0.13425	589.580118343195
0.13925	589.917159763314
0.14425	589.955029585799
0.14925	590.560946745562
0.154375	590.322366863905
0.15925	589.989112426035
0.16425	590.492781065089
0.16925	589.932307692308
0.17425	590.045917159763
0.17925	590.049704142012
0.18425	589.864142011834
0.18925	589.784615384615
0.19425	589.886863905325
0.19925	590.462485207101
0.20425	590.59124260355
0.20925	590.167100591716
0.21425	589.981538461538
0.21925	589.886863905325
0.22425	589.74674556213
0.22925	590.026982248521
0.23425	589.826272189349
0.239125	590.072426035503
0.24425	589.474082840237
0.249125	589.95124260355
0.25425	589.962603550296
0.259125	589.720236686391
0.264125	589.920946745562
0.269125	589.860355029586
0.274125	589.629349112426
0.279125	589.814911242604
0.284125	589.265798816568
0.289125	589.182485207101
0.294125	589.080236686391
0.299125	589.349112426036
0.304125	589.455147928994
0.309125	589.652071005917
0.314125	589.398343195266
0.319125	589.299881656805
0.324125	589.724023668639
0.329125	589.561183431953
0.334125	590.030769230769
0.339125	590.568520710059
0.344125	590.38674556213
0.349125	590.318579881657
0.354125	589.56875739645
0.359125	589.769467455621
0.364125	590.246627218935
0.369125	589.818698224852
0.374125	589.576331360947
0.379125	589.171124260355
0.384125	588.943905325444
0.389125	589.197633136095
0.394125	589.326390532544
0.399125	589.44
0.404125	589.572544378698
0.409125	589.383195266272
0.414125	589.046153846154
0.419125	588.750769230769
0.424125	588.913609467456
0.429	588.932544378698
0.434	589.296094674556
0.439	589.227928994083
0.444	589.523313609467
0.449	589.341538461538
0.454	589.879289940828
0.459	589.962603550296
0.464	590.504142011834
0.469	590.447337278106
0.474	590.261775147929
0.479	590.05349112426
0.484125	590.462485207101
0.489	590.265562130177
0.494125	590.428402366864
0.499	590.246627218935
0.504125	590.557159763314
0.509	590.935857988166
0.514125	591.216094674556
0.519	590.466272189349
0.524125	590.462485207101
0.529	591.223668639053
0.534125	591.216094674556
0.539125	592.314319526627
0.544125	592.276449704142
0.549125	591.212307692308
0.554125	590.595029585799
0.559125	590.659408284024
0.564125	590.473846153846
0.569125	590.773017751479
0.574125	590.443550295858
0.579125	590.360236686391
0.584125	590.212544378698
0.589125	589.686153846154
0.594125	589.920946745562
0.599125	590.314792899408
0.604125	590.223905325444
0.609125	590.136804733728
0.614125	590.125443786982
0.619125	589.917159763314
0.624125	589.924733727811
0.629125	590.276923076923
0.63425	589.845207100592
0.639125	590.110295857988
0.64425	590.189822485207
0.649125	590.526863905325
0.65425	590.473846153846
0.659125	590.485207100592
0.66425	589.860355029586
0.669125	589.595266272189
0.67425	589.538461538462
0.679125	588.962840236686
0.684125	589.000710059172
0.689125	589.557396449704
0.694125	589.61798816568
0.699125	589.818698224852
0.704125	589.780828402367
0.709125	590.25798816568
0.714125	590.034556213018
0.719125	590.220118343195
0.724125	589.754319526627
0.729125	590.08
0.734125	590.151952662722
0.739	590.417041420118
0.744	589.712662721893
0.749	590.572307692308
0.754	590.890414201183
0.759	589.973964497041
0.764	590.731360946746
0.769	591.072189349112
0.774	591.132781065089
0.779	590.890414201183
0.784	590.41325443787
0.788875	590.367810650888
0.794	589.265798816568
0.798875	589.909585798817
0.804	589.996686390533
0.808875	589.595266272189
0.813875	590.401893491124
0.818875	590.519289940828
0.823875	590.140591715976
0.828875	590.424615384615
0.833875	590.068639053254
0.838875	589.77325443787
0.843875	589.712662721893
0.848875	589.405917159763
0.853875	589.481656804734
0.858875	589.360473372781
0.863875	589.727810650888
0.868875	589.837633136095
0.873875	589.489230769231
0.878875	589.879289940828
0.883875	590.201183431953
0.888875	589.591479289941
0.893875	589.511952662722
