#Premier enfoncement	
#Hauteur (mm)	Aire (mm²)
0	163.40449704142
-0.005125	163.253017751479
-0.010125	163.321183431953
-0.015125	163.294674556213
-0.020125	163.794556213018
-0.025125	164.116449704142
-0.030125	163.991479289941
-0.035125	164.226272189349
-0.040125	164.237633136095
-0.045125	164.332307692308
-0.050125	164.362603550296
-0.055125	165.142721893491
-0.060125	166.320473372781
-0.065125	166.055384615385
-0.070125	166.483313609467
-0.075	166.782485207101
-0.080125	167.395976331361
-0.085	167.759526627219
-0.090125	168.153372781065
-0.095125	168.850177514793
-0.100125	170.796686390533
-0.105125	172.114556213018
-0.110125	173.114319526627
-0.115125	173.614201183432
-0.120125	174.534437869822
-0.125125	175.473609467456
-0.130125	177.620828402367
-0.135125	179.578698224852
-0.140125	183.127100591716
-0.145	184.717633136095
-0.150125	185.842366863905
-0.155	187.046627218935
-0.160125	188.402366863905
-0.165	189.023431952663
-0.170125	189.731597633136
-0.175	191.337278106509
-0.180125	194.181301775148
-0.185	196.559526627219
-0.19	198.210650887574
-0.195	199.804970414201
-0.2	200.819881656805
-0.205	203.251124260355
-0.21	207.030532544379
-0.215	210.014674556213
-0.22	212.877633136095
-0.225	214.612071005917
-0.23	216.251834319527
-0.235	217.346272189349
-0.24	219.989585798817
-0.245	221.443786982249
-0.25	224.189349112426
-0.255	226.620591715976
-0.26	229.343431952663
-0.265	232.740355029586
-0.27	235.891124260355
-0.274875	237.443786982249
-0.28	240.568047337278
-0.284875	242.605443786982
-0.29	243.805917159763
-0.294875	245.32449704142
-0.3	247.286153846154
-0.304875	249.084970414201
-0.31	252.474319526627
-0.314875	254.242840236686
-0.319875	256.136331360947
-0.324875	258.488047337278
-0.329875	261.396449704142
-0.334875	263.479289940828
-0.339875	269.243076923077
-0.344875	271.697041420118
-0.349875	273.749585798817
-0.354875	275.408284023669
-0.359875	277.09349112426
-0.364875	278.555266272189
-0.369875	279.664852071006
-0.374875	283.82674556213
-0.38	286.295857988166
-0.384875	288.533964497041
-0.39	290.427455621302
-0.394875	291.904378698225
-0.4	293.366153846154
-0.404875	295.573964497041
-0.41	297.209940828402
-0.415	297.993846153846
-0.42	298.978461538462
-0.425	300.266035502959
-0.43	301.530887573964
-0.435	305.783668639053
-0.44	307.540828402367
-0.445	309.116213017751
-0.45	310.687810650888
-0.455	312.691124260355
-0.46	315.402603550296
-0.465	320.124970414201
-0.470125	322.821301775148
-0.475	324.502721893491
-0.480125	326.187928994083
-0.485	330.588402366864
-0.490125	333.428639053254
-0.495125	336.602130177515
-0.500125	338.965207100592
-0.505125	340.635266272189
-0.510125	342.979408284024
-0.515125	346.236213017751
-0.520125	350.011834319527
-0.525125	352.159053254438
-0.530125	354.741775147929
-0.535125	357.173017751479
-0.540125	360.232899408284
-0.545125	362.633846153846
-0.550125	364.90224852071
-0.555125	366.905562130177
-0.560125	370.76449704142
-0.565125	373.801656804734
-0.570125	377.603786982248
-0.575	380.239526627219
-0.580125	382.82224852071
-0.585	384.378698224852
-0.590125	385.988165680473
-0.595125	388.631479289941
-0.600125	390.646153846154
-0.605125	392.11550295858
-0.610125	394.811834319527
-0.615125	396.167573964497
-0.620125	398.640473372781
-0.625125	401.162603550296
-0.630125	402.923550295858
-0.635125	405.328284023669
-0.640125	406.816568047337
-0.645	408.997869822485
-0.650125	410.978461538462
-0.655	412.993136094675
-0.660125	415.530414201183
-0.665	421.828165680473
-0.670125	423.979171597633
-0.675	426.361183431953
-0.680125	429.519526627219
-0.685	432.212071005917
-0.69	434.889467455621
-0.695	436.733727810651
-0.7	438.80899408284
-0.705	440.941065088757
-0.71	443.088284023669
-0.715	445.845207100592
-0.72	448.61349112426
-0.725	451.529467455621
-0.73	453.063195266272
-0.735	454.96426035503
-0.74	457.119053254438
-0.745	459.508639053254
-0.75	460.985562130178
-0.755	463.174437869822
-0.76	466.453964497041
-0.765	470.986982248521
-0.77	472.906982248521
-0.775	476.356923076923
-0.78	478.379171597633
-0.784875	480.53775147929
-0.79	482.347928994083
-0.794875	485.01775147929
-0.8	486.896094674556
-0.804875	489.505325443787
-0.81	491.307928994083
-0.814875	524.266035502959
-0.82	527.572071005917
-0.824875	497.957869822485
-0.829875	533.229822485207
-0.834875	536.066272189349
-0.839875	505.588639053254
-0.844875	507.167810650888
-0.849875	542.261775147929
-0.854875	511.500118343195
-0.859875	549.385088757396
-0.864875	516.926863905325
-0.87	554.561893491124
-0.874875	524.213017751479
-0.88	527.253964497041
-0.884875	530.537278106509
-0.89	534.286390532544
-0.894875	536.846390532544
-0.9	538.262721893491
-0.904875	576.961893491124
-0.91	541.727810650888
-0.915	544.56426035503
-0.92	546.412307692308
-0.925	548.491360946746
-0.93	584.285917159763
-0.935	551.876923076923
-0.94	588.247100591716
-0.945	556.353136094675
-0.95	558.098934911243
