#Troisième enfoncement	
#Hauteur (mm)	Aire (mm²)
2.4985	211.733964497041
2.493875	213.180591715976
2.48875	212.601183431953
2.483875	211.885443786982
2.47875	210.154792899408
2.47375	209.783668639053
2.46875	208.43550295858
2.46375	208.227218934911
2.45875	208.212071005917
2.45375	208.011360946746
2.44875	207.742485207101
2.443875	206.765443786982
2.43875	208.121183431953
2.43375	208.40899408284
2.42875	205.852781065089
2.42375	206.178461538462
2.41875	206.011834319527
2.41375	206.54201183432
2.40875	205.97775147929
2.40375	206.405680473373
2.39875	207.825798816568
2.39375	206.023195266272
2.38875	207.852307692308
2.38375	207.996213017751
2.37875	207.840946745562
2.37375	206.74650887574
2.36875	208.276449704142
2.36375	206.125443786982
2.35875	208.386272189349
2.35375	206.341301775148
2.34875	206.738934911243
2.343875	206.492781065089
2.33875	206.682130177515
2.333875	206.632899408284
2.32875	206.269349112426
2.323875	206.613964497041
2.31875	206.958579881657
2.313875	206.882840236686
2.308875	206.333727810651
2.303875	206.807100591716
2.298875	206.621538461538
2.293875	206.560946745562
2.288875	206.992662721893
2.283875	206.939644970414
2.278875	206.731360946746
2.273875	206.398106508876
2.268875	206.167100591716
2.263875	206.723786982249
2.258875	205.686153846154
2.253875	205.659644970414
2.248875	205.41349112426
2.243875	205.77325443787
2.238875	206.360236686391
2.233875	206.507928994083
2.228875	206.280710059172
2.223875	206.708639053254
2.218875	206.216331360947
2.213875	206.235266272189
2.208875	206.636686390533
2.204	206.966153846154
2.198875	206.761656804734
2.194	206.973727810651
2.189	206.807100591716
2.184	206.905562130178
2.179	209.268639053254
2.174	209.215621301775
2.169	209.590532544379
2.164	209.760946745562
2.159	209.469349112426
2.154	209.219408284024
2.149	209.321656804734
2.144	209.162603550296
2.139	209.014911242604
2.134	208.791479289941
2.129	208.833136094675
2.124	209.226982248521
2.119	208.761183431953
2.114	206.076213017751
2.108875	208.74224852071
2.104	208.977041420118
2.098875	206.553372781065
2.093875	208.878579881657
2.088875	208.94674556213
2.083875	209.037633136095
2.078875	208.802840236686
2.073875	206.333727810651
2.068875	206.121656804734
2.063875	206.485207100592
2.058875	206.08
2.053875	206.212544378698
2.048875	206.470059171598
2.043875	206.458698224852
2.038875	206.394319526627
2.033875	209.234556213018
2.028875	206.913136094675
2.023875	209.40875739645
2.018875	207.041893491124
2.013875	207.416804733728
2.008875	206.655621301775
2.003875	207.394082840237
1.99875	207.185798816568
1.993875	208.022721893491
1.98875	206.799526627219
1.98375	206.712426035503
1.97875	206.916923076923
1.97375	206.731360946746
1.96875	207.265325443787
1.96375	207.15550295858
1.95875	207.556923076923
1.95375	207.644023668639
1.94875	207.325917159763
1.94375	207.382721893491
1.93875	207.091124260355
1.93375	207.36
