#Deuxième tirage	
#Hauteur (mm)	Aire (mm²)
-0.901125	559.140355029586
-0.896125	558.076213017751
-0.891125	557.140828402367
-0.886125	556.644733727811
-0.881125	556.413727810651
-0.876	556.042603550296
-0.871125	556.175147928994
-0.866	556.080473372781
-0.861	556.129704142012
-0.856	556.099408284024
-0.851	556.28875739645
-0.846	556.353136094675
-0.841	556.781065088757
-0.836	556.951479289941
-0.831	557.216568047337
-0.826	557.451360946746
-0.821125	558.057278106509
-0.816	558.666982248521
-0.811125	559.272899408284
-0.806125	559.697041420118
-0.801125	560.397633136095
-0.796125	561.779881656805
-0.791125	562.703905325444
-0.786125	563.885443786982
-0.781125	565.036686390533
-0.776125	566.634792899408
-0.771125	567.592899408284
-0.766125	569.031952662722
-0.761125	570.671715976331
-0.756125	570.936804733728
-0.751125	571.182958579882
-0.746125	571.781301775148
-0.741125	572.633372781065
-0.736125	573.065088757396
-0.731125	573.474082840237
-0.726125	573.833846153846
-0.721125	573.761893491124
-0.716125	574.125443786982
-0.71125	573.992899408284
-0.70625	574.288284023669
-0.70125	573.917159763314
-0.69625	575.004023668639
-0.69125	573.553609467456
-0.68625	573.148402366864
-0.68125	572.356923076923
-0.67625	568.384378698225
-0.67125	567.539881656805
-0.66625	567.37325443787
-0.66125	568.058698224852
-0.65625	566.986982248521
-0.65125	567.520946745562
-0.64625	567.392189349112
-0.64125	568.876686390533
-0.63625	567.426272189349
-0.63125	568.778224852071
-0.62625	568.475266272189
-0.62125	565.191952662722
-0.61625	561.885917159763
-0.61125	563.605207100592
-0.60625	559.757633136095
-0.60125	558.030769230769
-0.59625	558.246627218935
-0.59125	558.629112426035
-0.58625	559.515266272189
-0.58125	559.878816568047
-0.57625	560.412781065089
-0.57125	560.927810650888
-0.56625	561.617041420118
-0.56125	562.272189349112
-0.556125	562.897041420118
-0.55125	563.32875739645
-0.546125	563.052307692308
-0.54125	563.347692307692
-0.536125	563.843786982249
-0.53125	563.733964497041
-0.526125	564.324733727811
-0.52125	564.40426035503
-0.516125	564.419408284024
-0.511125	564.707218934911
-0.506125	564.180828402367
-0.501125	564.972307692308
-0.496125	564.551952662722
-0.491125	563.40449704142
-0.486125	562.677396449704
-0.481125	561.639763313609
-0.476125	562.166153846154
-0.471125	562.101775147929
-0.466125	562.162366863905
-0.461125	562.063905325444
-0.456125	560.980828402367
-0.451125	561.060355029586
-0.446125	560.74224852071
-0.441125	560.886153846154
-0.436125	560.355976331361
-0.431125	560.571834319527
-0.426125	560.867218934911
-0.421125	561.192899408284
-0.416125	560.704378698225
-0.411125	560.590769230769
-0.406125	559.969704142012
-0.401125	560.106035502959
-0.396125	561.033846153846
-0.391125	560.749822485207
-0.386	562.25325443787
-0.381125	562.984142011834
-0.376	562.855384615385
-0.371125	562.234319526627
-0.366	562.529704142012
-0.361	562.631952662722
-0.356	563.169704142012
-0.351	562.370650887574
-0.346	561.461775147929
-0.341	561.749585798817
-0.336	560.988402366864
-0.331	560.594556213018
-0.326	562.018461538462
-0.321125	561.041420118343
-0.316	559.094911242604
-0.311125	559.208520710059
-0.306	558.170887573964
-0.301125	558.572307692308
-0.296125	558.723786982248
-0.291125	558.401893491124
-0.286125	558.958579881657
-0.281125	558.068639053254
-0.276125	558.890414201183
-0.271125	558.530650887574
-0.266125	558.265562130177
-0.261125	558.121656804734
-0.256125	558.269349112426
-0.251125	558.632899408284
-0.246125	558.545798816568
-0.241125	557.913372781065
-0.236125	558.519289940828
-0.231125	559.704615384615
-0.226125	559.776568047337
-0.221125	558.867692307692
-0.216125	558.731360946746
-0.21125	558.117869822485
-0.206125	558.352662721893
-0.20125	559.704615384615
-0.19625	558.216331360947
-0.19125	558.367810650888
-0.18625	559.265325443787
-0.18125	558.061065088757
-0.17625	557.864142011834
-0.17125	557.894437869822
-0.16625	558.197396449704
-0.16125	558.367810650888
-0.15625	558.095147928994
-0.15125	558.538224852071
-0.14625	558.382958579882
-0.14125	558.390532544379
-0.13625	559.450887573964
-0.13125	559.253964497041
-0.12625	559.893964497041
-0.12125	559.322130177515
-0.11625	559.242603550296
-0.11125	559.261538461538
-0.10625	559.840946745562
-0.10125	559.125207100592
-0.09625	559.621301775148
-0.09125	559.087337278106
-0.08625	559.030532544379
-0.08125	558.64426035503
-0.07625	558.220118343195
-0.07125	558.655621301775
-0.06625	558.250414201183
-0.06125	558.803313609467
-0.056125	557.777041420118
-0.05125	558.042130177515
-0.046125	557.148402366864
-0.04125	558.038343195266
-0.036125	559.178224852071
-0.03125	558.916923076923
-0.026125	558.969940828402
-0.02125	559.647810650888
-0.016125	559.496331360947
-0.011125	558.769230769231
-0.006125	559.227455621302
-0.001125	558.697278106509
