Troisième  tirage	
Hauteur (mm)	Aire (mm²)
-0.906125	544.624852071006
-0.901125	543.507692307692
-0.896125	543.64023668639
-0.891125	542.988875739645
-0.886125	542.829822485207
-0.881125	542.655621301775
-0.876	542.553372781065
-0.871125	542.477633136095
-0.866	542.375384615385
-0.861	542.269349112426
-0.856	542.265562130177
-0.851	542.322366863905
-0.846	542.636686390533
-0.841	542.678343195266
-0.836	542.682130177515
-0.831	542.666982248521
-0.826	542.735147928994
-0.821125	543.113846153846
-0.816	543.473609467456
-0.811125	543.852307692308
-0.806125	544.223431952663
-0.801125	544.499881656805
-0.796125	545.492071005917
-0.791125	546.116923076923
-0.786125	546.275976331361
-0.781125	547.559763313609
-0.776125	549.385088757396
-0.771125	549.813017751479
-0.766125	551.195266272189
-0.761125	551.358106508876
-0.756125	551.555029585799
-0.751125	552.365443786982
-0.746125	552.694911242604
-0.741125	552.657041420118
-0.736125	552.660828402367
-0.731125	552.808520710059
-0.726125	552.65325443787
-0.72125	551.91100591716
-0.716125	551.104378698225
-0.71125	550.57798816568
-0.70625	550.585562130178
-0.70125	551.426272189349
-0.69625	551.259644970414
-0.69125	546.393372781065
-0.68625	546.480473372781
-0.68125	547.495384615385
-0.67625	547.086390532544
-0.67125	547.794556213018
-0.66625	548.639053254438
-0.66125	549.010177514793
-0.65625	550.002366863905
-0.65125	550.009940828402
-0.64625	549.828165680473
-0.64125	550.4
-0.63625	550.055384615385
-0.63125	550.263668639053
-0.62625	548.78674556213
-0.62125	548.58224852071
-0.61625	547.457514792899
-0.61125	544.863431952663
-0.60625	544.583195266272
-0.60125	543.66674556213
-0.59625	543.965917159763
-0.59125	544.034082840237
-0.58625	544.234792899408
-0.58125	544.761183431953
-0.57625	545.295147928994
-0.57125	545.128520710059
-0.56625	545.768520710059
-0.56125	545.745798816568
-0.55625	545.685207100592
-0.55125	545.802603550296
-0.546125	546.359289940828
-0.54125	546.147218934911
-0.536125	545.923786982249
-0.53125	545.696568047337
-0.526125	545.89349112426
-0.52125	545.287573964497
-0.516125	544.908875739645
-0.511125	545.268639053254
-0.506125	544.783905325444
-0.501125	544.693017751479
-0.496125	545.041420118343
-0.491125	544.651360946746
-0.486125	544.670295857988
-0.481125	544.681656804734
-0.476125	545.136094674556
-0.471125	545.276213017752
-0.466125	544.992189349112
-0.461125	544.647573964497
-0.456125	544.94674556213
-0.451125	544.314319526627
-0.446125	544.469585798817
-0.441125	544.700591715976
-0.436125	544.390059171598
-0.431125	544.583195266272
