#Hauteur (mm)	Aire
0	87.85511996
-0.005	96.5185933
-0.01	98.06950122
-0.015	100.53887715
-0.02	103.04956825
-0.025	107.71500437
-0.03	112.20246745
-0.035	116.21321703
-0.04	120.18582953
-0.045	120.79602281
-0.050125	123.2781111
-0.055	124.77499149
-0.060125	127.54310788
-0.065125	129.90125066
-0.070125	132.78695638
-0.075125	134.34739857
-0.080125	136.9438981
-0.085125	139.69294595
-0.090125	141.60615613
-0.095125	143.55750339
-0.100125	144.26939555
-0.105125	146.48134619
-0.110125	149.40518899
-0.115125	151.49001603
-0.120125	155.85671169
-0.125125	159.93420116
-0.130125	163.84642995
-0.135125	165.24796764
-0.140125	167.53937053
-0.145125	168.63263349
-0.150125	173.72075558
-0.155125	173.34891905
-0.160125	176.40306354
-0.165125	177.73150516
-0.170125	179.46038612
-0.175125	180.98586932
-0.180125	183.71267054
-0.185125	184.62160428
-0.190125	188.26687351
-0.195125	190.10063144
-0.200125	190.367591
-0.205125	192.7829394
-0.210125	194.90272543
-0.215125	196.21209851
-0.220125	195.93242659
-0.225125	199.19950311
-0.230125	201.18580936
-0.235125	202.46022345
-0.240125	206.61398708
-0.245125	207.78988038
-0.250125	208.56851243
-0.255125	209.82067989
-0.260125	214.36852668
-0.265125	217.15571161
-0.270125	217.99790546
-0.275125	220.97577579
-0.280125	221.24273535
-0.285125	224.55430513
-0.290125	225.33611527
-0.295125	227.63387434
-0.300125	229.98248285
-0.305125	232.53766721
-0.310125	234.51761728
-0.315125	239.33242363
-0.320125	243.97243503
-0.325125	246.49583849
-0.330125	249.53091444
-0.335125	250.84028752
-0.340125	251.92401621
-0.345	253.05541625
-0.350125	255.37542195
-0.355	256.10002647
-0.36	260.25696819
-0.365	261.04195642
-0.37	261.62354689
-0.375	262.7327003
-0.38	265.44043298
-0.385	268.21808364
-0.39	273.31891809
-0.395	274.44078386
-0.4	276.72265248
-0.405	279.64331719
-0.41	281.8012403
-0.415	286.11708652
-0.42	298.45760999
-0.425	308.02683898
-0.43	306.73971253
-0.435	311.9930953
-0.44	324.43213956
-0.445	326.20551378
-0.45	323.00199906
-0.455	341.94023737
-0.46	326.15148625
-0.465	327.61658574
-0.469875	349.28480336
-0.474875	332.49495389
-0.479875	342.62034863
-0.485	337.28115743
-0.49	345.12150546
-0.495	344.9816695
-0.5	351.90672761
-0.505	352.7997709
-0.51	351.43001411
-0.515	355.03396817
-0.52	347.06331845
-0.525	349.60579045
-0.53	360.0140352
-0.535	360.23967959
-0.54	361.02148973
-0.545	364.79388256
-0.550125	364.64133424
-0.555	364.98138987
-0.560125	368.40737089
-0.565125	370.55258164
-0.570125	371.05471986
-0.575125	380.10909827
-0.580125	386.82758053
-0.585125	386.41125074
-0.590125	392.0491824
-0.595125	391.69005823
-0.600125	386.09979792
-0.605125	396.11395951
-0.610125	399.51133772
-0.615125	405.95332615
-0.620125	404.42148677
-0.625125	403.35682662
-0.630125	404.45008958
-0.635125	409.85284258
-0.640125	401.18619115
-0.645125	417.58831364
-0.650125	419.85111372
-0.655125	410.16747349
-0.660125	409.77974651
-0.665125	417.99828725
-0.670125	424.64367344
-0.675125	423.87457566
-0.680125	424.40531669
-0.685125	430.70746916
-0.690125	429.85256295
-0.695125	434.81356144
-0.700125	437.63570536
-0.705125	446.95386524
-0.710125	445.7271225
-0.715125	448.85754115
-0.720125	446.20065791
-0.725125	444.30333818
-0.730125	445.86695846
-0.735125	448.40625237
-0.740125	455.90018859
-0.745125	460.13340447
-0.750125	459.99992469
-0.755125	459.72978704
-0.760125	458.84309993
-0.765125	459.05921005
-0.770125	461.68749048
-0.775125	466.22262491
-0.780125	463.58481021
-0.785125	465.17385521
-0.790125	466.55950245
-0.795125	470.11260707
-0.800125	472.264174
-0.805125	479.3195338
-0.810125	477.20610395
-0.815125	482.31647267
-0.820125	483.14277607
-0.825125	482.48808953
-0.830125	479.15109503
-0.835125	481.94463614
-0.840125	485.97763235
-0.845	489.26059932
-0.850125	490.62082184
-0.855	490.29030048
-0.86	501.73460257
-0.865	503.37131892
-0.87	504.00375883
-0.875	509.80377308
-0.88	506.75916286
-0.885	512.95008218
-0.89	517.30406548
-0.895	519.26494701
-0.9	521.42604821
-0.905	523.64435503
-0.91	521.75339148
-0.915	526.82880121
-0.92	528.76425802
-0.925	528.18902373
-0.93	528.4845861
-0.935	536.42345492
-0.94	530.04502829
-0.945	532.56843175
-0.95	536.84931898
-0.955	548.74490985
-0.96	547.75016768
-0.965	551.84990378
-0.969875	552.38700099
-0.974875	548.03619578
-0.979875	548.81482783
-0.984875	561.36510524
-0.99	566.03689754
-0.995	561.94351762
-1	570.21608589
-1.005	569.54868699
-1.01	570.42266174
-1.015	567.8929021
-1.02	566.82188577
-1.025	568.40775268
-1.03	581.66992225
-1.035	580.70378289
-1.04	586.44659152
-1.045	587.77821123
-1.050125	582.59792453
-1.055	592.78370298
-1.060125	593.66403391
-1.065125	595.08146205
-1.070125	598.88563578
-1.075125	600.28399538
-1.080125	602.11457522
-1.085125	604.80641745
-1.090125	606.79590179
-1.095125	606.85310741
-1.100125	609.34790806
-1.105125	612.37027165
-1.110125	607.02790236
-1.115125	614.4519206
-1.120125	616.22529482
-1.125125	610.43481484
-1.130125	619.79428989
-1.135125	622.73084505
-1.140125	621.43100624
-1.145125	623.05501023
-1.150125	627.30729465
-1.155125	628.47683177
-1.160125	631.13371501
-1.165125	635.23027302
-1.170125	637.61066243
-1.175125	638.98359731
-1.180125	640.72836872
-1.185125	646.25824532
-1.190125	649.60795218
-1.195125	651.93749215
-1.200125	650.86011964
-1.205125	655.58276138
-1.210125	654.60708775
-1.215125	655.79251532
-1.220125	658.43350811
-1.225125	659.59351096
-1.230125	662.52370994
-1.235125	667.77073653
-1.240125	674.73710981
-1.245125	678.52539309
-1.250125	681.80836006
-1.255125	680.746878
-1.260125	682.42490952
-1.265125	684.30316071
-1.270125	685.53308154
-1.275125	687.3255243
-1.280125	686.46426191
-1.285125	687.6115524
-1.290125	689.4548446
-1.295125	691.83523401
-1.300125	696.70406789
-1.305125	697.0822606
-1.310125	699.6882944
-1.315125	702.36106809
-1.320125	701.80490234
-1.325125	697.93081063
-1.330125	700.32073431
-1.335125	700.90868096
-1.340125	704.50945693
-1.345	706.3622834
-1.350125	708.24689077
-1.355	710.60185546
-1.36	711.77457067
-1.365	714.58400223
-1.37	717.77798268
-1.375	719.43058948
-1.38	724.26764246
-1.385	724.96046608
-1.39	728.85044824
-1.395	730.55072639
-1.4	732.47664893
-1.405	736.37616536
-1.41	740.39644921
-1.415	745.50363984
-1.42	749.26014222
-1.425	751.2369142
-1.43	753.4933581
-1.435	753.96053733
-1.44	758.17150658
-1.445	759.45545494
-1.45	764.34017927
-1.455	766.45360912
-1.46	768.75772437
-1.465	770.03531655
-1.469875	771.81822504
-1.474875	774.85965717
-1.479875	777.12563534
-1.485	780.92663098
-1.49	781.52728999
-1.495	783.92674794
-1.5	786.34845252
-1.505	789.03393857
-1.51	791.77345215
-1.515	791.8211235
-1.52	793.57542918
-1.525	797.65927483
-1.53	799.75363614
-1.535	801.3553935
-1.54	803.00164412
-1.545	804.1521127
-1.550125	805.76658242
-1.555	807.78149148
-1.560125	809.72648256
-1.565125	811.13119834
-1.570125	815.55509962
-1.575125	820.05527506
-1.580125	820.40486496
-1.585125	824.7461359
-1.590125	827.25364891
-1.595125	830.67962993
-1.600125	832.56105921
-1.605125	835.35777841
-1.610125	837.42989309
-1.615125	839.99461172
-1.620125	843.13774273
-1.625125	846.27769565
-1.630125	850.78422727
-1.635125	851.87431214
-1.640125	852.68790318
-1.645125	854.81722348
-1.650125	856.37130949
-1.655125	857.44550391
-1.660125	859.991154
-1.665125	861.81537766
-1.670125	863.61735469
-1.675125	865.49878397
-1.680125	867.93955709
-1.685125	869.66525996
-1.690125	873.93025674
-1.695125	876.43141357
-1.700125	878.90396759
-1.705125	881.54178229
-1.710125	882.95921043
-1.715125	883.71559585
-1.720125	884.49104981
-1.725125	886.53138359
-1.730125	887.12250833
-1.735125	887.27187856
-1.740125	890.20843372
-1.745125	891.9945203
-1.750125	893.35474282
-1.755125	894.86433557
-1.760125	897.21294408
-1.765125	900.14949924
-1.770125	902.3233128
-1.775125	904.27466006
-1.780125	908.33943717
-1.785125	910.83741591
-1.790125	910.77067602
-1.795125	911.8893637
-1.800125	912.21988506
-1.805125	917.55272008
-1.810125	920.47338479
-1.815125	922.87919892
-1.820125	925.18649226
-1.825125	928.58069238
-1.830125	935.5343533
-1.835125	937.89885226
-1.840125	937.67002978
-1.845	942.02401308
-1.850125	944.10884012
-1.855	946.80703853
-1.86	949.40353806
-1.865	949.34315435
-1.87	952.59434042
-1.875	954.28826239
-1.88	955.47686805
-1.885	957.40914677
-1.89	956.74174787
-1.895	963.19009248
-1.9	962.36696717
-1.905	971.71690795
-1.91	968.58331121
-1.915	974.81236761
-1.92	974.88864177
-1.925	977.76481322
-1.93	980.0276133
-1.935	980.70772456
-1.94	984.56274773
-1.945	985.25874944
-1.95	989.339417
-1.955	991.36068224
-1.96	992.75904184
-1.965	999.03576959
-1.969875	1001.19051461
-1.974875	1002.02317419
-1.979875	1001.00936348
-1.985	1008.01069575
-1.99	1011.38900542
-1.995	1011.66232116
-2	1014.60205441
-2.005	1016.36271627
-2.01	1017.53543148
-2.015	1022.6458002
-2.02	1025.96054807
-2.025	1030.10159934
-2.03	1031.66839771
-2.035	1036.92813666
-2.04	1041.50776435
-2.045	1037.97690636
-2.050125	1042.21647842
-2.055	1039.01614179
-2.060125	1055.79645699
-2.065125	1057.56665312
-2.070125	1057.39503626
-2.075125	1055.47229181
-2.080125	1062.00326676
-2.085125	1059.72457623
-2.090125	1063.23636568
-2.095125	1062.88677578
-2.100125	1062.46091172
-2.105125	1069.4908468
-2.110125	1075.04932621
-2.115125	1072.99945816
-2.120125	1080.7412854
-2.125125	1076.79727571
-2.130125	1080.3281337
-2.135125	1081.51356127
-2.140125	1085.54655748
-2.145125	1087.45658957
-2.150125	1091.47687342
-2.155125	1094.22592127
-2.160125	1095.14121119
-2.165125	1098.07776635
-2.170125	1101.34802096
-2.175125	1102.39996875
-2.180125	1104.75811153
-2.185125	1106.73170542
-2.190125	1111.52744323
-2.195125	1112.52854158
-2.200125	1115.48098719
-2.205125	1118.8465845
-2.210125	1122.41875766
-2.215125	1123.82347344
-2.220125	1123.86478861
-2.230125	1126.5057814
-2.235125	1127.31301626
-2.240125	1130.10973546
-2.245125	1131.22842314
-2.250125	1132.75390634
-2.255125	1133.942512
-2.260125	1137.69901438
-2.265125	1140.73726842
-2.270125	1144.16960562
-2.275125	1146.50550177
-2.280125	1151.15504744
-2.290125	1153.8055745
-2.295125	1157.09489765
-2.300125	1158.29621567
-2.320125	1169.47991438
-2.325125	1167.7573896
-2.330125	1171.35498748
-2.335125	1171.35498748
-2.340125	1174.63477636
-2.345	1174.63477636
-2.350125	1178.03215457
-2.355	1179.91676194
-2.36	1183.25375644
-2.365	1183.29189352
-2.37	1190.05486904
-2.375	1197.0593794
-2.38	1200.3010312
-2.385	1195.17477203
-2.39	1193.54441186
-2.395	1193.53805568
-2.4	1196.95132434
-2.405	1193.61432984
-2.405	1193.55712422
-2.41	1203.98125942
-2.425625	1226.46624617
-2.42075	1226.46624617
-2.41575	1226.46624617
-2.41075	1226.46624617
-2.40575	1226.46624617
-2.40075	1226.46624617
-2.39575	1226.46624617
-2.39075	1226.46624617
-2.38575	1226.46624617
-2.38075	1226.46624617
-2.37575	1226.46624617
-2.37075	1226.46624617
-2.36575	1226.46624617
-2.36075	1226.46624617
-2.35575	1226.46624617
-2.350875	1226.46624617
-2.345875	1226.46624617
-2.340875	1226.46624617
-2.335875	1226.46624617
-2.330875	1226.46624617
-2.325875	1226.46624617
-2.320875	1226.46624617
-2.315875	1226.46624617
-2.310875	1226.46624617
-2.305875	1226.46624617
-2.300875	1226.46624617
-2.295875	1226.46624617
-2.290875	1226.46624617
-2.285875	1226.46624617
-2.280875	1226.46624617
-2.275875	1226.46624617
-2.270875	1226.46624617
-2.265875	1226.46624617
-2.260875	1226.46624617
-2.255875	1226.46624617
-2.250875	1226.46624617
-2.245875	1226.46624617
-2.240875	1226.46624617
-2.235875	1226.46624617
-2.230875	1226.46624617
-2.225875	1226.46624617
-2.220875	1221.33363082
-2.215875	1221.33363082
-2.200875	1221.33363082
-2.195875	1221.33363082
-2.190875	1221.33363082
-2.185875	1221.33363082
-2.180875	1221.33363082
-2.175875	1221.33363082
-2.170875	1221.33363082
-2.165875	1221.33363082
-2.160875	1221.33363082
-2.155875	1221.33363082
-2.150875	1221.33363082
-2.145875	1221.33363082
-2.14075	1221.33363082
-2.135875	1221.33363082
-2.13075	1221.33363082
-2.125875	1221.33363082
-2.12075	1221.33363082
-2.11575	1221.33363082
-2.11075	1221.33363082
-2.10575	1221.33363082
-2.10075	1221.33363082
-2.09575	1221.33363082
-2.09075	1221.33363082
-2.08575	1221.33363082
-2.08075	1221.33363082
-2.07575	1221.33363082
-2.07075	1221.33363082
-2.06575	1221.33363082
-2.06075	1221.33363082
-2.05575	1221.33363082
-2.05075	1221.33363082
-2.04575	1221.33363082
-2.04075	1221.33363082
-2.03575	1221.33363082
-2.03075	1221.33363082
-2.02575	1221.33363082
-2.02075	1221.33363082
-2.01575	1221.33363082
-2.01075	1221.33363082
-2.00575	1221.33363082
-2.00075	1221.33363082
-1.995625	1221.33363082
-1.990625	1221.33363082
-1.985625	1221.33363082
-1.980625	1221.33363082
-1.975625	1221.33363082
-1.970625	1221.33363082
-1.965625	1221.33363082
-1.960625	1221.33363082
-1.95575	1221.33363082
-1.950625	1221.33363082
-1.94575	1221.33363082
-1.94075	1221.33363082
-1.93575	1221.33363082
-1.93075	1221.33363082
-1.92575	1221.33363082
-1.92075	1221.33363082
-1.91575	1221.33363082
-1.91075	1221.33363082
-1.90575	1221.33363082
-1.90075	1221.33363082
-1.89575	1221.33363082
-1.89075	1221.33363082
-1.88575	1221.33363082
-1.88075	1221.33363082
-1.87575	1221.33363082
-1.87075	1221.33363082
-1.86575	1221.33363082
-1.86075	1221.33363082
-1.855875	1221.33363082
-1.850875	1221.33363082
-1.845875	1221.33363082
-1.840875	1221.33363082
-1.835875	1221.33363082
-1.830875	1221.33363082
-1.825875	1221.33363082
-1.820875	1221.33363082
-1.815875	1221.33363082
-1.810875	1221.33363082
-1.805875	1221.33363082
-1.800875	1221.33363082
-1.795875	1221.33363082
-1.790875	1221.33363082
-1.785875	1221.33363082
-1.780875	1221.33363082
-1.775875	1221.33363082
-1.770875	1221.33363082
-1.765875	1221.33363082
-1.760875	1221.33363082
-1.755875	1221.33363082
-1.750875	1221.33363082
-1.745875	1221.33363082
-1.740875	1221.33363082
-1.735875	1221.33363082
-1.730875	1221.33363082
-1.725875	1221.33363082
-1.720875	1221.33363082
-1.715875	1221.33363082
-1.710875	1221.33363082
-1.705875	1221.33363082
-1.700875	1221.33363082
-1.695875	1221.33363082
-1.690875	1221.33363082
-1.685875	1221.33363082
-1.680875	1221.33363082
-1.675875	1221.33363082
-1.670875	1221.33363082
-1.665875	1221.33363082
-1.660875	1221.33363082
-1.655875	1221.33363082
-1.650875	1221.33363082
-1.645875	1221.33363082
-1.640875	1221.33363082
-1.635875	1221.33363082
-1.63075	1221.33363082
-1.625875	1221.33363082
-1.62075	1221.33363082
-1.61575	1221.33363082
-1.61075	1221.33363082
-1.60575	1221.33363082
-1.60075	1221.33363082
-1.59575	1221.33363082
-1.59075	1221.33363082
-1.58575	1221.33363082
-1.58075	1221.33363082
-1.57575	1221.33363082
-1.57075	1221.33363082
-1.56575	1221.33363082
-1.56075	1221.33363082
-1.55575	1221.33363082
-1.55075	1221.33363082
-1.54575	1221.33363082
-1.54075	1221.33363082
-1.53575	1221.33363082
-1.53075	1221.33363082
-1.52575	1221.33363082
-1.52075	1221.33363082
-1.51575	1221.33363082
-1.51075	1221.33363082
-1.50575	1221.33363082
-1.50075	1221.33363082
-1.495625	1221.33363082
-1.490625	1221.33363082
-1.485625	1221.33363082
-1.480625	1221.33363082
-1.475625	1221.33363082
-1.470625	1221.33363082
-1.465625	1221.33363082
-1.460625	1221.33363082
-1.45575	1221.33363082
-1.45075	1221.33363082
-1.44575	1221.33363082
-1.44075	1221.33363082
-1.43575	1221.33363082
-1.43075	1221.33363082
-1.42575	1221.33363082
-1.42075	1221.33363082
-1.41575	1221.33363082
-1.41075	1221.33363082
-1.40575	1221.33363082
-1.40075	1221.33363082
-1.39575	1221.33363082
-1.39075	1221.33363082
-1.38575	1221.33363082
-1.38075	1221.33363082
-1.37575	1221.33363082
-1.37075	1221.33363082
-1.36575	1221.33363082
-1.36075	1221.33363082
-1.355875	1221.33363082
-1.350875	1221.33363082
-1.345875	1221.33363082
-1.340875	1221.33363082
-1.335875	1221.33363082
-1.330875	1221.33363082
-1.325875	1221.33363082
-1.320875	1221.33363082
-1.315875	1221.33363082
-1.310875	1221.33363082
-1.305875	1221.33363082
-1.300875	1221.33363082
-1.295875	1221.33363082
-1.290875	1221.33363082
-1.285875	1221.33363082
-1.280875	1221.33363082
-1.275875	1221.33363082
-1.270875	1221.33363082
-1.265875	1221.33363082
-1.260875	1221.33363082
-1.255875	1221.33363082
-1.250875	1221.33363082
-1.245875	1221.33363082
-1.240875	1221.33363082
-1.235875	1221.33363082
-1.230875	1221.33363082
-1.225875	1221.33363082
-1.220875	1221.33363082
-1.215875	1221.33363082
-1.210875	1221.33363082
-1.205875	1221.33363082
-1.200875	1221.33363082
-1.195875	1221.33363082
-1.190875	1221.33363082
-1.185875	1221.33363082
-1.180875	1221.33363082
-1.175875	1221.33363082
-1.170875	1221.33363082
-1.165875	1221.33363082
-1.160875	1221.33363082
-1.155875	1221.33363082
-1.150875	1221.33363082
-1.145875	1221.33363082
-1.140875	1221.33363082
-1.135875	1221.33363082
-1.13075	1221.33363082
-1.125875	1221.33363082
-1.12075	1221.33363082
-1.11575	1221.33363082
-1.11075	1221.33363082
-1.10575	1221.33363082
-1.10075	1221.33363082
-1.09575	1221.33363082
-1.09075	1221.33363082
-1.08575	1221.33363082
-1.08075	1221.33363082
-1.07575	1221.33363082
-1.07075	1221.33363082
-1.06575	1221.33363082
-1.06075	1221.33363082
-1.05575	1221.33363082
-1.05075	1221.33363082
-1.04575	1221.33363082
-1.04075	1221.33363082
-1.03575	1221.33363082
-1.03075	1221.33363082
-1.02575	1221.33363082
-1.02075	1221.33363082
-1.01575	1221.33363082
-1.01075	1221.33363082
-1.00575	1221.33363082
-1.00075	1221.33363082
-0.995625	1221.33363082
-0.990625	1221.33363082
-0.985625	1221.33363082
-0.980625	1221.33363082
-0.975625	1221.33363082
-0.970625	1221.33363082
-0.965625	1221.33363082
-0.960625	1221.33363082
-0.95575	1221.33363082
-0.950625	1221.33363082
-0.94575	1221.33363082
-0.94075	1221.33363082
-0.93575	1221.33363082
-0.93075	1221.33363082
-0.92575	1221.33363082
-0.92075	1221.33363082
-0.91575	1221.33363082
-0.91075	1221.33363082
-0.90575	1221.33363082
-0.90075	1221.33363082
-0.89575	1221.33363082
-0.89075	1221.33363082
-0.88575	1221.33363082
-0.88075	1221.33363082
-0.87575	1221.33363082
-0.870875	1221.33363082
-0.865875	1221.33363082
-0.860875	1221.33363082
-0.855875	1221.33363082
-0.850875	1221.33363082
-0.845875	1221.33363082
-0.840875	1221.33363082
-0.835875	1221.33363082
-0.830875	1221.33363082
-0.825875	1221.33363082
-0.820875	1221.33363082
-0.815875	1221.33363082
-0.811	1221.33363082
-0.806	1221.33363082
-0.801	1221.33363082
-0.796	1221.33363082
-0.791	1221.33363082
-0.786	1221.33363082
-0.781	1221.33363082
-0.776	1221.33363082
-0.771	1221.33363082
-0.766	1221.33363082
-0.761	1221.33363082
-0.756	1221.33363082
-0.751	1221.33363082
-0.746	1221.33363082
-0.741	1221.33363082
-0.736	1221.33363082
-0.731	1221.33363082
-0.726	1221.33363082
-0.721	1221.33363082
-0.716	1221.33363082
-0.711	1221.33363082
-0.706	1221.33363082
-0.701	1221.33363082
-0.696	1221.33363082
-0.691	1221.33363082
-0.686	1221.33363082
-0.680875	1221.33363082
-0.676	1221.33363082
-0.670875	1221.33363082
-0.665875	1221.33363082
-0.660875	1221.33363082
-0.655875	1221.33363082
-0.650875	1221.33363082
-0.645875	1221.33363082
-0.640875	1221.33363082
-0.635875	1221.33363082
-0.630875	1221.33363082
-0.625875	1221.33363082
-0.620875	1221.33363082
-0.615875	1221.33363082
-0.610875	1221.33363082
-0.605875	1221.33363082
-0.600875	1221.33363082
-0.595875	1221.33363082
-0.590875	1221.33363082
-0.585875	1221.33363082
-0.580875	1221.33363082
-0.575875	1221.33363082
-0.570875	1221.33363082
-0.565875	1221.33363082
-0.560875	1221.33363082
-0.555875	1221.33363082
-0.550875	1221.33363082
-0.545875	1221.33363082
-0.540875	1221.33363082
-0.535875	1221.33363082
-0.530875	1221.33363082
-0.52575	1221.33363082
-0.52075	1221.33363082
-0.51575	1221.33363082
-0.51075	1221.33363082
-0.50575	1221.33363082
-0.50075	1221.33363082
-0.49575	1221.33363082
-0.49075	1223.7553354
-0.48575	1221.25735666
-0.48075	1219.96387403
-0.47575	1221.10480834
-0.47075	1219.74776391
-0.46575	1217.38644304
-0.46075	1216.75400313
-0.45575	1214.29098338
-0.45075	1214.35136709
-0.44575	1210.57579617
-0.44075	1209.31727253
-0.43575	1208.51003767
-0.43075	1208.92636746
-0.425875	1207.35003482
-0.420875	1207.62970674
-0.415875	1206.57775895
-0.410875	1205.9898123
-0.405875	1205.05545384
-0.400875	1205.80866117
-0.395875	1204.91243979
-0.390875	1204.56602798
-0.385875	1203.33928524
-0.380875	1203.99714987
-0.375875	1203.07550377
-0.370875	1201.70892507
-0.365875	1201.75977451
-0.360875	1200.62201829
-0.355875	1200.40590817
-0.350875	1199.84338624
-0.345875	1198.92491823
-0.340875	1198.31790304
-0.335875	1196.98310524
-0.330875	1196.4555423
-0.325875	1194.52961976
-0.320875	1192.46068317
-0.316	1188.85355102
-0.311	1187.37891726
-0.306	1185.75809136
-0.301	1181.78865695
-0.296	1181.66471144
-0.291	1178.67730684
-0.286	1176.03313596
-0.281	1176.67511014
-0.276	1173.4779516
-0.271	1172.2067156
-0.266	1169.62292843
-0.261	1168.37076097
-0.256	1167.35695026
-0.251	1163.6258726
-0.246	1161.15649667
-0.241	1159.59923257
-0.236	1156.15100492
-0.231	1153.87549248
-0.226	1152.63921547
-0.221	1150.76096428
-0.216	1148.75558949
-0.211	1147.42079169
-0.206	1146.65805009
-0.201	1143.68335785
-0.196	1142.22461454
-0.191	1140.2351302
-0.186	1139.03063409
-0.180875	1137.2795065
-0.176	1135.44257048
-0.170875	1133.37363389
-0.165875	1132.75072825
-0.160875	1127.24309828
-0.155875	1125.66358755
-0.150875	1124.42095436
-0.145875	1121.36998796
-0.140875	1119.68877835
-0.135875	1118.28406257
-0.130875	1115.84328945
-0.125875	1114.3019158
-0.120875	1114.43857367
-0.115875	1110.29434431
-0.110875	1108.36206559
-0.105875	1107.43088522
-0.100875	1104.52928905
