#Hauteur (mm)	aire (mm²)
0.234875	930.058252427184
0.230125	930.058252427184
0.225	930.058252427184
0.220125	930.058252427184
0.215	930.058252427184
0.210125	930.058252427184
0.205	930.058252427184
0.2	930.058252427184
0.195	930.058252427184
0.19	930.058252427184
0.185	930.058252427184
0.18	930.058252427184
0.175	930.058252427184
0.17	930.058252427184
0.165	930.058252427184
0.16	930.058252427184
0.155	930.058252427184
0.15	930.058252427184
0.145	930.058252427184
0.140125	930.058252427184
0.135125	930.058252427184
0.130125	930.058252427184
0.125125	930.058252427184
0.120125	930.058252427184
0.115125	930.058252427184
0.110125	930.058252427184
0.105125	930.058252427184
0.100125	930.058252427184
0.095125	930.058252427184
0.090125	930.058252427184
0.085125	930.058252427184
0.080125	930.058252427184
0.075125	930.058252427184
0.070125	930.058252427184
0.065125	930.058252427184
0.060125	930.058252427184
0.055125	930.058252427184
0.050125	930.058252427184
0.045125	930.058252427184
0.040125	930.058252427184
0.035125	930.058252427184
0.030125	930.058252427184
0.025125	930.058252427184
0.020125	930.058252427184
0.015125	930.058252427184
0.01025	930.058252427184
0.00524999999999998	930.058252427184
0.000249999999999972	930.058252427184
-0.00475000000000003	930.058252427184
-0.00975000000000004	930.058252427184
-0.01475	930.058252427184
-0.01975	930.058252427184
-0.02475	930.058252427184
-0.0297500000000001	930.058252427184
-0.0347499999999999	930.058252427184
-0.03975	930.058252427184
-0.04475	930.058252427184
-0.04975	930.058252427184
-0.05475	930.058252427184
-0.05975	930.058252427184
-0.06475	930.058252427184
-0.06975	930.058252427184
-0.07475	930.058252427184
-0.07975	930.058252427184
-0.08475	930.058252427184
-0.08975	930.058252427184
-0.09475	930.058252427184
-0.09975	930.058252427184
-0.10475	930.058252427184
-0.10975	930.058252427184
-0.114875	930.058252427184
-0.119875	930.058252427184
-0.124875	930.058252427184
-0.129875	930.058252427184
-0.134875	930.058252427184
-0.139875	930.058252427184
-0.144875	930.058252427184
-0.149875	930.058252427184
-0.154875	930.058252427184
-0.159875	930.058252427184
-0.164875	930.058252427184
-0.169875	930.058252427184
-0.174875	930.058252427184
-0.179875	930.058252427184
-0.184875	930.058252427184
-0.189875	930.058252427184
-0.194875	930.058252427184
-0.199875	930.058252427184
-0.204875	930.058252427184
-0.209875	930.058252427184
-0.214875	930.058252427184
-0.219875	930.058252427184
-0.224875	930.058252427184
-0.229875	930.058252427184
-0.234875	930.058252427184
-0.239875	930.058252427184
-0.245	930.058252427184
-0.249875	930.058252427184
-0.255	930.058252427184
-0.259875	930.058252427184
-0.265	930.058252427184
-0.269875	930.058252427184
-0.275	930.058252427184
-0.279875	930.058252427184
-0.285	930.058252427184
-0.289875	930.058252427184
-0.295	930.058252427184
-0.299875	930.058252427184
-0.305	930.058252427184
-0.309875	930.058252427184
-0.315	930.058252427184
-0.319875	930.058252427184
-0.325	930.058252427184
-0.33	930.058252427184
