#H theta alpha
-0.230125 169.001991019387 5.63493739019843
-0.235125 169.053763617042 5.65281445712685
-0.240125 168.93324379955 5.71069869492776
-0.245125 168.990957514969 5.72698034760504
-0.250125 169.072435701442 5.73773635545976
-0.255125 169.125905761316 5.75499217731964
-0.260125 168.981621472768 5.81724021759206
-0.265125 168.943428572859 5.85506683121555
-0.270125 169.021511834896 5.86644944701197
-0.275125 168.972285430568 5.9065232184509
-0.280125 169.083469205861 5.9101026601769
-0.285125 169.014721986023 5.95432842704217
-0.290125 169.095351441388 5.96472228303629
-0.295125 169.086864130297 5.99516728217141
-0.300125 169.07498189477 6.02612939058294
-0.305125 169.051217423715 6.05963778374438
-0.310125 169.061402197024 6.0854776326712
-0.315125 168.90438694184 6.14786815069217
-0.320125 168.758405191075 6.20740938895879
-0.325125 168.737186913348 6.23955523065175
-0.330125 168.685414315692 6.27800470777117
-0.335125 168.735489451129 6.29452097531791
-0.340125 168.799144284312 6.30815881222365
-0.345 168.856009268622 6.32236567450364
-0.350125 168.850068150858 6.35139994809888
-0.355 168.931546337332 6.36044146965752
-0.36 168.815270175385 6.41206894406152
-0.365 168.895899630749 6.42177235393287
-0.37 168.988411321641 6.42895223340532
-0.375 169.049519961497 6.44262320148653
-0.38 169.01811691046 6.47587841912774
-0.385 168.982470203878 6.50981882371241
-0.39 168.811875250948 6.57169779961128
-0.395 168.872983890804 6.58523067462281
-0.4 168.86704277304 6.61267251867804
-0.405 168.823757486476 6.64763419704505
-0.41 168.824606217585 6.67334996344433
-0.415 168.700691475656 6.72449181196326
-0.42 168.115915741486 6.8686620848285
-0.425 167.693247649154 6.97844488880864
-0.43 167.891850728684 6.9637771256746
-0.435 167.717012120209 7.02345451924446
-0.44 167.133933848257 7.16281698073448
-0.445 167.158547050421 7.18246950126282
-0.45 167.464938980806 7.14692963656883
-0.455 166.518603794159 7.35459013275199
-0.46 167.536232393971 7.18187154612336
-0.465 167.577820218317 7.1980694622168
-0.469875 166.475318507595 7.43359687644537
-0.474875 167.548114629498 7.2517486564347
-0.479875 167.099984603893 7.36194103268003
-0.485 167.529442545098 7.30403849777064
-0.49 167.211168379185 7.38891297197358
-0.495 167.343570432205 7.38740755219773
-0.5 167.077917595056 7.46160325729907
-0.505 167.151757201548 7.4711189737419
-0.51 167.352906474405 7.45651883510165
-0.515 167.274823212368 7.49487347986817
-0.52 167.84856544212 7.40978687013883
-0.525 167.82904462661 7.43703107367447
-0.53 167.36733490326 7.5475598117911
-0.535 167.479367409661 7.54993849782602
-0.54 167.559996865025 7.55817448668834
-0.545 167.471728829679 7.59779225955014
-0.550125 167.607525807135 7.59619410779954
-0.555 167.709373540227 7.59975620482831
-0.560125 167.644869975935 7.63555297825217
-0.565125 167.648264900372 7.65788429633067
-0.570125 167.7441715157 7.66310230408326
-0.575125 167.361393785496 7.75660371163242
-0.580125 167.110169377202 7.82527863245614
-0.585125 167.256999859077 7.82104008828596
-0.590125 167.066884090638 7.87824957735645
-0.595125 167.210319648076 7.87461753786791
-0.600125 167.645718707045 7.81786780395205
-0.605125 167.211168379185 7.91924593490062
-0.610125 167.146664814894 7.95335307698891
-0.615125 166.912415028782 8.01763769481743
-0.620125 167.120354150511 8.0023970462004
-0.625125 167.303680070077 7.99178780761067
-0.630125 167.365637441041 8.00268188158091
-0.635125 167.189950101458 8.05630824077266
-0.640125 167.794246651137 7.97011502351452
-0.645125 167.00832164411 8.13248920399271
-0.650125 167.005775450783 8.15464291700437
-0.655125 167.666088253663 8.05942048213357
-0.660125 167.811221273319 8.05558502724098
-0.665125 167.478518678552 8.13650736185217
-0.670125 167.234084119131 8.20137174483395
-0.675125 167.399586685405 8.1938902825445
-0.680125 167.493795838516 8.19905381979801
-0.685125 167.268882094604 8.26012701256573
-0.690125 167.439477047533 8.25186801409678
-0.695125 167.288402910113 8.29968342554728
-0.700125 167.256151127967 8.32676489624952
-0.705125 166.865734817781 8.4155811261821
-0.710125 167.056699317329 8.40394051951037
-0.715125 167.007472913001 8.43361428328969
-0.720125 167.276520674586 8.40843576884389
-0.725125 167.503980611825 8.39041051392641
-0.730125 167.540476049516 8.40526821861556
-0.735125 167.523501427334 8.42934269875714
-0.740125 167.23493285024 8.50000500935108
-0.745125 167.125446537166 8.53967026113326
-0.750125 167.255302396858 8.538422285029
-0.755125 167.392796836533 8.53589607744907
-0.760125 167.564240520571 8.52759906963371
-0.765125 167.675424295863 8.52962200111947
-0.770125 167.653357287026 8.55418726775811
-0.775125 167.52774508288 8.59641483234662
-0.780125 167.795095382246 8.57187814942886
-0.785125 167.830742088828 8.58666742752777
-0.790125 167.877422299829 8.5995435432094
-0.795125 167.805280155555 8.63247562217899
-0.800125 167.809523811101 8.65235841529632
-0.805125 167.54641716728 8.71724907154912
-0.810125 167.784061877828 8.69786032806881
-0.815125 167.627046622644 8.74467176664061
-0.820125 167.704281153572 8.75221799697589
-0.825125 167.862993870974 8.74623957957824
-0.830125 168.167688339141 8.71570533605315
-0.835125 168.137134019214 8.74127390409438
-0.840125 168.039529941667 8.77805960811548
-0.845 167.979270032921 8.80789428258617
-0.850125 168.031042630576 8.8202269660278
-0.855 168.167688339141 8.81723177534461
-0.86 167.666088253663 8.92037343899324
-0.865 167.699188766918 8.93503014479649
-0.87 167.787456802264 8.94068738358246
-0.875 167.593946109389 8.9924085336744
-0.88 167.881665955374 8.96529445452117
-0.885 167.667785715881 9.0203454947578
-0.89 167.553207016153 9.05886834116298
-0.895 167.568484176116 9.07616606539308
-0.9 167.573576562771 9.09519318129766
-0.905 167.575274024989 9.1146840402365
-0.91 167.800187768901 9.09807187673019
-0.915 167.646567438154 9.1425935788451
-0.92 167.663542060336 9.15951642717419
-0.925 167.817162391083 9.15448996742699
-0.93 167.922405048611 9.15707295634732
-0.935 167.614315656008 9.2261913012763
-0.94 168.081966497122 9.17069838051091
-0.945 168.067538068267 9.19269089459364
-0.95 167.957203024084 9.22988488884378
-0.955 167.436082123097 9.33248715003869
-0.96 167.611769462681 9.323949000843
-0.965 167.511619191807 9.35908985919031
-0.969875 167.601584689371 9.36368416248136
-0.974875 167.958051755193 9.32640483186734
-0.979875 168.037832479449 9.33308699219957
-0.984875 167.482762334097 9.44016322958322
-0.99 167.355452667732 9.47972418423643
-0.995 167.6974913047 9.44506991122949
-1 167.374124752132 9.51497946725986
-1.005 167.531140007316 9.50935779229382
-1.01 167.605828344917 9.51671886141793
-1.015 167.863842602083 9.49539684486608
-1.02 168.042924866104 9.48635590431612
-1.025 168.079420303795 9.49973998559301
-1.03 167.487005989643 9.6109646471692
-1.035 167.660995867008 9.60290389185726
-1.04 167.473426291897 9.65072246454365
-1.045 167.523501427334 9.66177792691523
-1.050125 167.926648704157 9.61870109457563
-1.055 167.498039494061 9.70322649249038
-1.060125 167.575274024989 9.71049858481647
-1.065125 167.620256773772 9.72219645209254
-1.070125 167.537929856189 9.75352517385076
-1.075125 167.584610067189 9.76501687888917
-1.080125 167.607525807135 9.78004095279971
-1.085125 167.584610067189 9.80209345198253
-1.090125 167.599038496044 9.81836141112201
-1.095125 167.717860851318 9.81882879697647
-1.100125 167.705129884682 9.83919126841684
-1.105125 167.664390791445 9.86380560770192
-1.110125 168.071781723813 9.82025678803169
-1.115125 167.795944113355 9.88072445842812
-1.120125 167.822254777737 9.89511586070149
-1.125125 168.25341018116 9.8480499153672
-1.130125 167.874027375393 9.92401846989965
-1.135125 167.837531937701 9.94773898351513
-1.140125 168.028496437249 9.93724602116665
-1.145125 168.062445681613 9.95035415622738
-1.150125 167.956354292975 9.98459821523988
-1.155125 168.014916739503 9.99399687434126
-1.160125 167.994547192885 10.0153167380999
-1.165125 167.896943115338 10.0481041010617
-1.170125 167.891001997575 10.0671088433278
-1.175125 167.938530939684 10.0780545689216
-1.180125 167.966539066284 10.0919483436697
-1.185125 167.793397920028 10.1358626667222
-1.190125 167.735684204609 10.1623752190596
-1.195125 167.733138011282 10.1807742787654
-1.200125 167.910522813084 10.1722689886001
-1.205125 167.780666953391 10.2095014498668
-1.210125 167.952959368539 10.2018200765598
-1.215125 168.010673083958 10.2111520975666
-1.220125 167.991152268448 10.2319134419053
-1.225125 168.050563446085 10.2410197100433
-1.230125 168.015765470612 10.2639879577351
-1.235125 167.85790148432 10.3049941662777
-1.240125 167.608374538244 10.3591973527819
-1.245125 167.528593813989 10.388559291408
-1.250125 167.475123754115 10.413940657969
-1.255125 167.651659824808 10.4057405702932
-1.260125 167.683911606954 10.4187007516944
-1.265125 167.705129884682 10.4331890715499
-1.270125 167.760297406773 10.4426659411095
-1.275125 167.785759340046 10.4564624997261
-1.280125 167.95211063743 10.4498354739294
-1.285125 168.012370546176 10.4586624697523
-1.290125 168.035286286122 10.4728294656693
-1.295125 168.029345168358 10.4910973972674
-1.300125 167.891850728684 10.5283682380676
-1.305125 167.992849730667 10.5312580259627
-1.310125 167.975026377375 10.5511503107502
-1.315125 167.954656830757 10.5715149219071
-1.320125 168.104882237068 10.5672804250338
-1.325125 168.429946251853 10.5377390830719
-1.330125 168.42400513409 10.5559724335923
-1.335125 168.513121900545 10.5604534268027
-1.340125 168.443525949599 10.5878570006245
-1.345 168.463046765108 10.6019315328169
-1.350125 168.486811236163 10.6162292192974
-1.355 168.479172656181 10.634069527586
-1.36 168.537735102709 10.6429429300911
-1.365 168.509726976109 10.6641719828654
-1.37 168.46134930289 10.6882579883279
-1.375 168.494449816145 10.7007001109529
-1.38 168.359501569798 10.7370382742214
-1.385 168.443525949599 10.742233493379
-1.39 168.358652838689 10.7713586507352
-1.395 168.389207158616 10.784065476997
-1.4 168.407879243017 10.7984414293734
-1.405 168.323006132107 10.8274935170264
-1.41 168.231343172324 10.8573678603152
-1.415 168.081966497122 10.8952064726549
-1.42 168.004731966194 10.9229583812669
-1.425 168.020857857267 10.9375352811913
-1.43 168.022555319485 10.9541519611963
-1.435 168.118461934813 10.9575893221562
-1.44 168.016614201721 10.9885262015854
-1.445 168.069235530486 10.9979425740216
-1.45 167.93258982192 11.033696941577
-1.455 167.941925864121 11.0491323898408
-1.46 167.941077133011 11.0659372053524
-1.465 167.993698461776 11.0752447480731
-1.469875 168.01746293283 11.0882212298272
-1.474875 167.977572570703 11.1103243640307
-1.479875 167.979270032921 11.1267649077782
-1.485 167.902884233102 11.1542909395759
-1.49 167.991152268448 11.1586348925788
-1.495 167.985211150685 11.1759717368486
-1.5 167.978421301812 11.1934434868943
-1.505 167.957203024084 11.21278812813
-1.51 167.934287284139 11.2324893922002
-1.515 168.051412177194 11.2328319315555
-1.52 168.079420303795 11.2454304986498
-1.525 167.985211150685 11.2747069813358
-1.53 167.995395923994 11.289693227992
-1.535 168.031891361685 11.3011419259883
-1.54 168.06499187494 11.3128972022897
-1.545 168.125251783686 11.3211054141113
-1.550125 168.163444683596 11.3326146218257
-1.555 168.174478188014 11.3469629619402
-1.560125 168.195696465742 11.3607971282936
-1.565125 168.242376676742 11.3707785570165
-1.570125 168.130344170341 11.4021592203169
-1.575125 168.014916739503 11.4339972690695
-1.580125 168.116764472595 11.4364670522506
-1.585125 168.009824352849 11.4670953298047
-1.590125 167.99879084843 11.4847509761653
-1.595125 167.939379670793 11.5088322301849
-1.600125 167.960597948521 11.5220365677894
-1.605125 167.934287284139 11.5416382395418
-1.610125 167.946169519666 11.5561410244062
-1.615125 167.931741090811 11.5740677693135
-1.620125 167.887607073138 11.5960017551047
-1.625125 167.843473055465 11.6178744946612
-1.630125 167.728045624627 11.6491989486998
-1.635125 167.79170045781 11.6567640799762
-1.640125 167.868086257629 11.6624073389722
-1.645125 167.877422299829 11.6771646175396
-1.650125 167.915615199738 11.6879241240873
-1.655125 167.979270032921 11.6953557041994
-1.660125 167.966539066284 11.7129494596879
-1.665125 167.991152268448 11.7255418963221
-1.670125 168.016614201721 11.7379682519452
-1.675125 168.038681210558 11.750929277223
-1.680125 168.031042630576 11.7677235134668
-1.685125 168.060748219395 11.7795839350722
-1.690125 167.958051755193 11.8088482416638
-1.695125 167.947866981884 11.8259781864759
-1.700125 167.938530939684 11.84288927965
-1.705125 167.920707586393 11.8609056242693
-1.710125 167.966539066284 11.8705760537448
-1.715125 168.047168521649 11.8757334712706
-1.720125 168.12667720771 11.8810187182037
-1.725125 168.14029303786 11.8949144147687
-1.730125 168.228471747407 11.8989374150778
-1.735125 168.340640252933 11.8999537769362
-1.740125 168.307573236853 11.9199184435999
-1.745125 168.33415652429 11.9320460698266
-1.750125 168.382784489113 11.9412742766895
-1.755125 168.423631979565 11.9515080077785
-1.760125 168.421038488108 11.9674131608056
-1.765125 168.387971472028 11.987272038689
-1.770125 168.394455200671 12.0019528490816
-1.775125 168.412609640872 12.0151168625935
-1.780125 168.320540694139 12.0424948487893
-1.785125 168.310815101175 12.0592907863544
-1.790125 168.43335757253 12.0588423259388
-1.795125 168.494952994639 12.0663573065452
-1.800125 168.596747534336 12.0685767997516
-1.805125 168.439192928308 12.1043345808493
-1.810125 168.407422657957 12.1238762403457
-1.815125 168.401587302178 12.1399509223678
-1.820125 168.401587302178 12.1553485667588
-1.825125 168.345178862983 12.1779664085095
-1.830125 168.103984157459 12.2241806013862
-1.835125 168.100742293137 12.2398577958578
-1.840125 168.231713611728 12.2383414716952
-1.845 168.122786970524 12.267163584235
-1.850125 168.137051173539 12.2809420667839
-1.855 168.113709750424 12.2987527830716
-1.86 168.09814880168 12.3158693799912
-1.865 168.220691273035 12.3154715729549
-1.87 168.171414935347 12.3368732317652
-1.875 168.203185205699 12.3480100722924
-1.88 168.260890390623 12.3558190482917
-1.885 168.279693203688 12.3685039921575
-1.89 168.43335757253 12.3641240580598
-1.895 168.219394527307 12.4063819299935
-1.9 168.38083937052 12.4009952627732
-1.905 168.017102193641 12.462054494056
-1.91 168.297847643888 12.44162199019
-1.915 168.094906937359 12.4822075827888
-1.92 168.210317307206 12.4827037836815
-1.925 168.180492155448 12.501401240085
-1.93 168.183085646905 12.5160929118667
-1.935 168.266725746401 12.5205055146402
-1.94 168.186975884091 12.5454896970552
-1.945 168.269967610723 12.5499954859382
-1.95 168.178547036855 12.5763826139475
-1.955 168.193459612734 12.5894337217502
-1.96 168.240142458964 12.5984553933344
-1.965 168.035256633842 12.6388762490534
