#H theta alpha
-0.266 116.878867416208 13.6948147478981
-0.261 116.833035936316 13.6873393449595
-0.256 116.774473489788 13.6812841638922
-0.251 116.862741525135 13.6589782463485
-0.246 116.883111071753 13.6441967923185
-0.241 116.854254214044 13.6348675487195
-0.236 116.927245089426 13.6141889328744
-0.231 116.936581131626 13.6005270507566
-0.226 116.890749651735 13.5930992866688
-0.221 116.878867416208 13.5818072503941
-0.216 116.873775029553 13.5697413651669
-0.211 116.833035936316 13.5617046911171
-0.206 116.760893792043 13.5571103292541
-0.201 116.808422734152 13.5391785506207
-0.196 116.774473489788 13.5303770550553
-0.191 116.768532372025 13.5183647329733
-0.186 116.720154698806 13.5110872982206
-0.180875 116.698936421078 13.5005007049865
-0.176 116.68790291666 13.4893870918339
-0.170875 116.683659261115 13.4768597060775
-0.165875 116.603878536859 13.4730859096296
-0.160875 116.788053187534 13.4396759626064
-0.155875 116.760045060934 13.4300802690613
-0.150875 116.714213581042 13.4225266793554
-0.145875 116.765137447588 13.4039640671856
-0.140875 116.743070438752 13.3937251157595
-0.135875 116.705726269951 13.3851645134685
-0.130875 116.724398354351 13.370277910157
-0.125875 116.693844034424 13.3608689506618
-0.120875 116.573324216931 13.3617033950318
-0.115875 116.684507992224 13.3363768767243
-0.110875 116.675171950024 13.3245529465313
-0.105875 116.61236584795 13.3188514276073
-0.100875 116.655651134514 13.3010707345271
-0.095875 116.618306965714 13.2924743539265
-0.090875 116.709969925497 13.269154354196
-0.085875 116.502030803767 13.2798921252523
-0.080875 116.542769897004 13.2623951886483
-0.075875 116.443468357239 13.2607537531158
-0.070875 116.542769897004 13.2365793741082
-0.065875 116.639525243441 13.2125796534827
-0.060875 116.524946543713 13.2127561254679
-0.055875 116.562290712513 13.1955103553667
-0.050875 116.695541496642 13.1672912763057
-0.045875 116.503728265985 13.1762189726409
-0.040875 116.549559745877 13.1580233386481
-0.035875 116.482509988258 13.1527077734996
-0.030875 116.597937419095 13.1264353335086
-0.02575 116.610668385732 13.1116318941704
-0.02075 116.45195566833 13.1168642160803
-0.01575 116.519854157058 13.0959825846763
-0.01075 116.611517116841 13.0723571583972
-0.00574999999999999 116.65989479006 13.0537097858679
-0.000750000000000001 116.728642009897 13.0326348153564
0.00425 116.822002431898 13.0087432952434
0.00924999999999999 116.854254214044 12.99186346007
0.01425 116.765137447588 12.9890149674077
0.01925 116.833035936316 12.967902065213
0.02425 116.874623760662 12.9498939532314
0.02925 116.953555753808 12.9275610791964
0.03425 116.787204456425 12.9337226994481
0.03925 116.854254214044 12.9126458400017
0.04425 116.804179078607 12.9052323052712
0.04925 117.013815662555 12.8675020736522
0.05425 116.9807151493 12.8581137305104
0.05925 116.877169953989 12.8569673924916
0.06425 116.919606509444 12.8386130113581
0.06925 116.839825785189 12.8346853802327
0.074125 116.816061314134 12.8244682917147
0.079125 116.862741525135 12.8056667577123
0.084125 116.928942551644 12.7845751973615
0.0891250000000001 116.813515120807 12.7847975956006
0.094125 116.969681644881 12.7530187139578
0.0991250000000001 116.994294847045 12.7367363379295
0.104125 117.108024815665 12.709826846441
0.109125 116.993446115936 12.7099488205972
0.114125 117.098688773465 12.6840861771578
0.119125 117.075773033519 12.6732462712304
0.124125 117.030790284737 12.6651718443015
0.129125 116.995992309263 12.6557660088856
0.134125 117.089352731264 12.6311493576082
0.139125 116.915362853899 12.6383040380874
0.144125 116.9993872337 12.6148020375043
0.149125 116.858497869589 12.6180157765816
0.154125 116.927245089426 12.5963440434707
0.159125 117.006177082573 12.5733642824515
0.164125 117.032487746955 12.5566176897036
0.169125 117.108873546774 12.5338993690584
0.174125 116.939976056063 12.5404060087673
0.179125 117.054554755791 12.5131228644833
0.184125 117.15979741332 12.4868174052012
0.189 117.062193335773 12.4851638404736
0.194 117.146217715574 12.4614746933831
0.199 116.969681644881 12.4690101335717
0.204 117.016361855882 12.449666113347
0.209 116.881413609535 12.4521737235238
0.214 116.838128322971 12.4436542128209
0.219 117.068134453537 12.4022017338975
0.224 117.024849166973 12.393691684895
0.229 117.005328351464 12.3822183841267
0.234 117.012966931445 12.3675447023507
0.239 116.928093820535 12.363936314106
0.244 117.022302973646 12.3387544101017
0.249 117.197990313229 12.3035946235932
0.254 117.049462369137 12.3077643007533
0.259 116.915362853899 12.310194255325
0.264 116.957799409354 12.291098609865
0.269 116.990899922609 12.2732144609221
0.274 117.091898924592 12.2469947879511
0.279 117.060495873555 12.2368249712106
0.284 117.068983184646 12.2219033110136
0.289 117.191200464356 12.1929385403709
0.294 117.030790284737 12.1985592042867
0.299 117.123301975628 12.173225862247
0.304 117.214116204302 12.1480125820114
0.309 117.398290854977 12.1112913199379
0.314 117.286258348576 12.1110573622283
0.319125 117.139427866701 12.1147363872386
0.324 117.427147712686 12.0653754851898
0.329125 117.321056324049 12.0640306949143
0.334125 117.233637019812 12.0607214838242
0.339125 117.15979741332 12.0556813029673
0.344125 117.281165961921 12.0264690358662
0.349125 117.277771037485 12.0127166212576
0.354125 117.250611641994 12.0019099473647
0.359125 117.295594390776 11.9820309290509
0.364125 117.384711157231 11.9566755995547
0.369125 117.387257350559 11.9421579347998
0.374125 117.332938559576 11.9345909658165
0.379125 117.211570010975 11.9354535264827
0.384125 117.064739529101 11.9395067757646
0.389125 117.060495873555 11.9258326514738
0.394125 116.703180076624 11.9560728221767
0.399125 116.594542494659 11.9553623692568
0.404125 116.47996379493 11.9553623692568
0.409125 116.365385095202 11.9553623692568
0.414125 116.249957664364 11.9553623692568
0.419125 116.858497869589 11.8650479056425
0.424125 116.503728265985 11.8950874734133
0.429125 116.009766760489 11.9424165547977
0.434125 116.599634881314 11.854353265622
0.439125 116.413762768421 11.8633130845324
0.444125 116.531736392586 11.8340453147089
0.449125 115.929986036233 11.8950874734133
0.454125 116.14047135129 11.854353265622
0.459125 116.754952674279 11.7624996060829
0.464125 116.335679506383 11.8009174426487
0.469125 116.912816660572 11.7133884353317
0.47425 116.553803401422 11.7440344654901
0.47925 116.601332343532 11.7234367329752
0.48425 116.489299837131 11.7231297001859
0.48925 116.931488744972 11.6522873175349
0.49425 116.969681644881 11.6327293005105
0.49925 116.774473489788 11.6429978168058
0.50425 117.057949680228 11.5920791402669
0.50925 116.550408476986 11.6422472903903
0.51425 116.917060316117 11.5806809282989
0.51925 117.517113210251 11.4885964548983
0.52425 117.160646144429 11.5198294064891
0.52925 116.796540498625 11.5518720534876
0.53425 117.155553757774 11.490831638793
0.53925 117.050311100246 11.4896023385447
0.54425 116.53682877924 11.5409037448677
0.54925 116.732885665442 11.500907213228
0.55425 116.618306965714 11.5008178878403
0.55925 116.193941411164 11.5405921277163
0.56425 116.938278593845 11.429640238857
0.56925 116.664987176714 11.4501091234591
0.574125 116.560593250295 11.449122384584
0.579125 116.833884667425 11.3986915329229
0.584125 116.945917173827 11.3691080364543
0.589125 117.367736535049 11.2989166512152
0.594125 117.327846172922 11.2890114109213
0.599125 117.676674658762 11.2279440990082
0.604125 117.335484752904 11.2577422484655
0.609125 117.523903059124 11.217796546846
0.614125 117.333787290685 11.2276699551961
0.619125 117.071529377973 11.2470956117082
0.624125 117.110571008992 11.2267789439663
0.629125 117.214964935411 11.1977043179895
0.634125 116.871228836226 11.2279440990082
0.639125 116.981563880409 11.1981165748699
0.644125 116.486753643803 11.2480991286154
0.649125 116.372174944075 11.2480307097045
0.654125 117.092747655701 11.1374976110006
0.659125 117.213267473193 11.1061702237344
0.664125 118.011074715747 10.9838151382028
0.669125 116.986656267063 11.1056162269005
0.674125 117.398290854977 11.0352530211348
0.679125 117.948268613674 10.9455891750926
0.684125 117.164889799974 11.0356245913891
0.689 116.89584203839 11.0565526785882
0.694 117.679220852089 10.9356614742412
0.699 116.976471493754 11.0147517893206
0.704 117.241275599793 10.9636197640863
0.709 116.879716147317 10.9967309953981
0.714 117.21581366652 10.935895716807
0.719 117.407626897177 10.8943131636528
0.724 116.838128322971 10.9557421603869
0.729 117.392349737213 10.8649833247465
0.734 116.984110073736 10.9047934039503
0.739 117.463643150378 10.8238276271812
0.744 116.675171950024 10.9152640720099
0.749 116.859346600698 10.8745956046318
0.754 117.568037076797 10.762110510184
0.759 117.738632029726 10.7227509899698
0.764 117.623204598889 10.7227509899698
0.769 117.360946686177 10.742995892896
0.774 117.024000435864 10.7733546858128
0.779 117.640179221071 10.6725420506041
0.784 117.383013695013 10.6921835321689
0.789 117.337182215122 10.6824868589435
0.794 117.869336620528 10.5926148845545
0.799 117.46194568816 10.6331553344235
0.804 117.564642152361 10.6028000448721
0.809 117.302384239649 10.6232628196479
0.814 116.966286720445 10.6536825713864
0.819125 117.070680646864 10.6228534509873
0.824 116.811817658589 10.6430390800845
0.829125 117.642725414398 10.5106973499634
0.834125 117.023151704755 10.5810668422191
0.839125 117.709775172017 10.4687766441417
0.844125 116.930640013863 10.5616157664435
0.849125 116.824548625225 10.5602596916597
0.854125 116.9900511915 10.5209338758169
0.859125 117.303232970758 10.4606420649188
0.864125 117.254855297539 10.4511318500739
0.869125 117.209872548757 10.4411237548912
0.874125 117.38640861945 10.3998199030716
0.879125 117.491651276978 10.368492398641
0.884125 117.025697898082 10.4180383889149
0.889125 117.170830917738 10.3810539368388
0.894125 117.415265477159 10.329780367068
0.899125 117.513718285815 10.2991173524811
0.904125 116.832187205207 10.3796014825985
0.909125 117.359249223958 10.2879996668435
0.914125 117.091898924592 10.3096784427562
0.919125 117.183561884375 10.2799520307162
0.924125 117.356703030631 10.2384258370212
0.929125 117.0367314025 10.2676205029259
0.934125 116.625945545696 10.3096784427562
0.939 116.80078415417 10.2684662615992
0.944 117.582465505652 10.1391866615737
0.949 117.737783298617 10.0996591926565
0.954125 117.411021821613 10.1298163628996
0.959125 117.71656502089 10.0685030299327
0.964125 117.732690911962 10.0491199114008
0.969125 117.688556894289 10.0385760868521
0.974125 117.230242095375 10.0884576447927
0.979125 117.383862426122 10.0491199114008
0.984125 117.342274601776 10.0380931033564
0.989125 117.439029948214 10.006880709376
0.994125 117.039277595828 10.0483072710051
0.999125 117.340577139558 9.98702531185891
1.004125 117.015513124773 10.0176602854225
1.009125 116.972227838209 10.006880709376
1.014125 116.710818656606 10.0281234146199
1.019125 116.732036934333 10.0078495425553
1.024125 116.95185829159 9.95847749667466
1.029125 116.498635879331 10.0078495425553
1.034125 117.203082699884 9.8868135987106
1.039125 116.811817658589 9.92738475190715
1.044125 116.766834909806 9.9167939675527
1.049125 116.780414607552 9.89746094051744
1.054125 116.528341468149 9.91738548671116
1.059125 117.099537504574 9.81524495910399
1.064125 116.909421736135 9.82612244073098
1.069125 116.9900511915 9.7966043148236
1.074125 117.0554034869 9.76927073560019
1.079125 117.186956808811 9.73191689021048
1.084125 117.134335480047 9.72219645209254
1.089125 117.122453244519 9.70643000895606
1.094125 117.003630889245 9.70661378644234
1.099125 117.191200464356 9.66059116936925
1.104 117.024849166973 9.66842118003923
1.109 116.994294847045 9.65534138176526
1.114 117.104629891228 9.6207666668064
1.119 116.87632122288 9.63759312927304
1.124 116.906026811699 9.61525752546492
1.129 116.928093820535 9.59406670406299
1.134 116.915362853899 9.57807085337345
1.139 116.856800407371 9.56910513060507
1.144 116.795691767516 9.56042435678462
1.149 116.674323218914 9.56109032888267
1.154 116.877169953989 9.51192809784609
1.159 116.799086691952 9.50587610340306
1.164 116.846615634062 9.48044932662639
1.169 116.969681644881 9.4431830166921
1.174 116.981563880409 9.4231325396445
1.179 117.162343606647 9.37672123497601
1.184 117.177620766611 9.35593511399235
1.189 117.094445117919 9.35057513504318
1.194 117.142822791138 9.32463123869866
1.199 117.184410615484 9.29962988606241
1.204 117.166587262193 9.28391283025272
1.209 117.043521251373 9.28470751313551
1.214 117.097840042355 9.25754145854405
1.219 116.957799409354 9.26105816511433
1.224 116.978168955972 9.23922275074948
1.229 116.944219711608 9.22594317335128
1.234 116.836430860753 9.22439912151483
1.239 116.776170952006 9.21521237027779
1.244 116.884808533971 9.17918011023377
1.249 116.887354727299 9.15996062697018
1.254 116.858497869589 9.14573589976539
1.259 117.147915177792 9.08045052524194
1.264 116.993446115936 9.08624404011802
1.269 117.259098953085 9.02437392230149
1.274 117.127545631174 9.02651419746877
1.279 117.054554755791 9.01919017020602
1.284 116.96119433379 9.01524408072494
1.289 116.919606509444 9.00277473930057
1.294 116.902631887262 8.98635859759331
1.299 116.803330347498 8.98327557366932
1.304 116.773624758679 8.96886513409481
1.309 116.794843036407 8.94600032840943
1.314 116.714213581042 8.93992002157488
1.319 116.850010558498 8.89824466278743
1.324 116.707423732169 8.90226944088878
1.329 116.817758776352 8.8645501157494
1.334 116.67856687446 8.8679881651508
1.339 116.654802403405 8.85242068477171
1.344 116.784658263097 8.81129608367152
1.349 116.717608505479 8.80270264262302
1.354 116.850010558498 8.76088837763055
1.359 116.869531374007 8.73793287727657
1.364 117.024849166973 8.69193330960113
1.369 116.884808533971 8.69549582953928
1.374 117.007874544791 8.65476366422166
1.379 117.073226840192 8.6236212894738
1.384 117.248914179775 8.5735357790526
1.389 117.32020759294 8.54106659606047
