#H theta alpha
-1.694875 163.910453095894 12.3506864914132
-1.699875 163.875655120421 12.3688218992589
-1.705 163.907906902567 12.3786461107068
-1.71 163.92403279364 12.3903085077502
-1.715 163.922335331421 12.4041864125927
-1.72 163.783143429529 12.4355324674253
-1.725 163.699967780837 12.4597099394559
-1.73 163.686388083091 12.4749914483549
-1.735 163.755135302929 12.47977590151
-1.74 163.6125484766 12.5114129267722
-1.745 163.654985032055 12.5195723655404
-1.75 163.586237812218 12.5418628426214
-1.755 163.722883520783 12.538035348176
-1.76 163.836613489402 12.5371450765529
-1.765 163.704211436383 12.5673812198481
-1.77 163.778051042874 12.571599972796
-1.775 163.431768750361 12.6286452366966
-1.78 163.526826634581 12.6301263067647
-1.785 163.693177931964 12.6225866334488
-1.79 163.724580983001 12.6320713463189
-1.795 163.912999289221 12.6218125285468
-1.8 163.92318406253 12.633994008118
-1.805 163.937612491385 12.6455684015024
-1.81 163.846798262711 12.6703625975971
-1.815 163.940158684712 12.6720815099117
-1.82 163.85783176713 12.6957275101567
-1.825 163.987687626822 12.692801512629
-1.83 163.99872113124 12.7048534579046
-1.835 163.934217566949 12.7261821052412
-1.84 163.977502853513 12.7341690089943
-1.845 164.032670375604 12.74052885705
-1.85 164.038611493368 12.7531739587262
-1.855 164.099720133223 12.7588681028687
-1.86 164.089535359914 12.7734211963363
-1.865 164.152341461988 12.7788882851644
-1.87 164.180349588588 12.7886798545342
-1.875 164.14045922646 12.8068674920209
-1.88 164.15913131086 12.8177946849004
-1.885 164.153190193097 12.8317627327867
-1.89 164.101417595441 12.8514377649858
-1.894875 164.11245109986 12.8629598615389
-1.899875 164.108207444314 12.8766434399474
-1.904875 164.068317082187 12.8947370798307
-1.909875 164.082745511041 12.9061798296274
-1.914875 164.11245109986 12.9156432967554
-1.919875 164.065770888859 12.9345941225402
-1.924875 164.13112318426 12.9396735661419
-1.929875 164.148097806442 12.9506690649442
-1.934875 163.985990164604 12.9837328018899
-1.939875 163.87650385153 13.0102263895738
-1.944875 163.926578986967 13.0171696879706
-1.949875 163.953738382458 13.0268587508603
-1.954875 163.950343458022 13.0404250625194
-1.959875 163.901965784803 13.0592930328263
-1.964875 163.96137696244 13.0650555720342
-1.969875 163.993628744586 13.0741551429483
-1.974875 163.879898775966 13.1010340746769
-1.979875 163.81030282502 13.1225515700458
-1.984875 163.703362705273 13.148486931828
-1.989875 163.727127176328 13.1585541720846
-1.994875 163.553137298963 13.1926615023579
-1.999875 163.749194185165 13.1818112993939
-2.004875 163.748345454056 13.194805082665
-2.00975 163.730522100765 13.2095467062762
-2.01475 163.696572856401 13.2265389508714
-2.01975 163.677052040891 13.2418189005092
-2.02475 163.686388083091 13.2535534570698
-2.02975 163.667715998691 13.2686778707472
-2.03475 163.661774880928 13.2822044714864
-2.03975 163.689783007528 13.2916928982788
-2.04475 163.694875394182 13.3038710494082
-2.04975 163.6685647298 13.3198681330759
-2.05475 163.662623612037 13.3333465795546
-2.05975 163.660077418709 13.3464764436439
-2.06475 163.636312947655 13.3620486963914
-2.06975 163.623581981018 13.3763469236829
-2.07475 163.563322072272 13.3963658036654
-2.07975 163.573506845581 13.4078913069269
-2.08475 163.591330198872 13.4184465578436
-2.089875 163.615943401036 13.428534789313
-2.094875 163.646497720964 13.4376144630385
-2.099875 163.643951527636 13.4506083448812
-2.104875 163.652438838727 13.462319994522
-2.109875 163.662623612037 13.4737932673824
-2.114875 163.664321074255 13.4862141883672
-2.119875 163.727975907437 13.4913708579366
-2.124875 163.766168807347 13.4994348954473
-2.129875 163.79163074062 13.5090518767702
-2.134875 163.750042916274 13.5266285646127
-2.139875 163.774656118438 13.536393483806
-2.144875 163.772109925111 13.5492375984723
-2.149875 163.812000287238 13.5571663262773
-2.154875 163.828126178311 13.5678209198484
-2.159875 163.780597236202 13.5860709231582
-2.164875 163.709303823037 13.6070624376933
-2.169875 163.6405566032 13.6277357285491
-2.179875 163.98004904684 13.6127128552987
-2.184875 164.086140435478 13.6127128552987
-2.189875 164.193080555224 13.6127128552987
-2.194875 164.481649132318 13.5910893179134
-2.199875 164.31954149048 13.6228740314162
-2.205 164.068317082187 13.6653391822744
-2.21 164.084442973259 13.6759159192018
-2.215 164.190534361897 13.6759159192018
-2.225 164.047098804459 13.7178200564626
