#H theta alpha
-0.840625 132.295219281906 13.7227939587607
-0.835625 132.323227408507 13.7072321824853
-0.830625 132.321529946288 13.6951195801862
-0.825625 132.214589826542 13.6951400836306
-0.820625 132.213741095433 13.6828944842034
-0.815625 132.043994873612 13.6901364032636
-0.810625 131.97100399823 13.686238925891
-0.805625 132.019381671449 13.6682767812982
-0.800625 132.060969495794 13.6510948605074
-0.795625 132.078792849086 13.6366721290397
-0.790625 132.146691337814 13.6164442426294
-0.785625 132.167060884432 13.6016574559748
-0.780625 132.015986747012 13.6067942983361
-0.775625 132.076246655758 13.5873514993493
-0.770625 132.00834816703 13.582827674927
-0.765625 131.981188771539 13.5735071004625
-0.760625 131.963365418248 13.5631255765665
-0.755625 131.833509558556 13.5658354072745
-0.750625 131.886979618429 13.5471253080611
-0.745625 131.914987745029 13.531418542857
-0.740625 131.761367414282 13.5368079859219
-0.735625 131.910744089484 13.5069337767983
-0.730625 131.935357291648 13.491578749923
-0.725625 131.726569438809 13.5034236996131
-0.720625 131.784283154228 13.4841759693395
-0.715625 131.892920736193 13.4589866772684
-0.7105 131.93281109832 13.4414533521317
-0.705625 131.795316658646 13.4453120820085
-0.7005 131.969306536012 13.4120307179203
-0.6955 131.825870978574 13.4162943288361
-0.6905 131.85727402961 13.3999855074279
-0.6855 131.835207020774 13.3899820380922
-0.6805 131.790224271991 13.3826948218215
-0.6755 131.84793798741 13.3632652260211
-0.6705 131.783434423119 13.3581886817399
-0.6655 131.993919738176 13.3207726989474
-0.6605 132.096616202377 13.2959711780113
-0.6555 132.23495937316 13.2669254411607
-0.6505 132.257026381997 13.2515877982855
-0.6455 132.285034508597 13.2355142012741
-0.6405 132.281639584161 13.2231505949473
-0.6355 132.345294417343 13.2028459340197
-0.6305 132.375000006162 13.1865685730148
-0.6255 132.400461939435 13.1707189624229
-0.6205 132.330017257379 13.1663816681288
-0.6155 132.315588828525 13.1552985326389
-0.6105 132.399613208326 13.1324454383226
-0.6055 132.350386803998 13.1254948668182
-0.6005 132.247690339797 13.1248763988228
-0.5955 132.278244659724 13.1083810359152
-0.5905 132.060969495794 13.1215276708705
-0.5855 132.011743091467 13.1146144088429
-0.5805 132.19761520436 13.0794622911163
-0.5755 132.162817228887 13.0708157492593
-0.570375 132.134809102286 13.0609641983077
-0.565375 132.126321791195 13.0490474417663
-0.560375 132.05587710914 13.0446296706922
-0.555375 132.066061882449 13.0304447968555
-0.550375 132.002407049267 13.025204995197
-0.545375 131.999860855939 13.0125483713266
-0.540375 131.966760342684 13.0036023230919
-0.5355 131.970155267121 12.9905170196482
-0.530375 131.88613088732 12.9873514617432
-0.5255 131.812291280828 12.9836681744347
-0.5205 131.853879105174 12.9656469756724
-0.5155 131.995617200394 12.9355020742864
-0.5105 131.847089256301 12.9404515296983
-0.5055 131.840299407428 12.9282367978905
-0.5005 131.888677080647 12.9093855718128
-0.4955 131.729115632136 12.915686592972
-0.4905 131.903105509502 12.8815705528455
-0.4855 131.976096384884 12.8595911872086
-0.4805 131.888677080647 12.8570913166789
-0.4755 132.032961369194 12.8264691823888
-0.4705 131.948088258284 12.8237017837843
-0.4655 131.91413901392 12.814720245632
-0.4605 131.999860855939 12.7911048100123
-0.4555 132.038902486958 12.7731368480143
-0.4505 132.066061882449 12.7566783280722
-0.4455 132.139901488941 12.7344541690905
-0.4405 132.075397924649 12.7291448267332
-0.435625 132.137355295614 12.7086120082991
-0.430625 132.100011126813 12.6999284056053
-0.425625 132.139901488941 12.6817518424483
-0.420625 132.064364420231 12.6778757254294
-0.415625 132.221379675414 12.6452151314063
-0.410625 132.059272033576 12.6519036187287
-0.405625 132.194220279923 12.6219009999238
-0.400625 132.176396926632 12.6108154470114
-0.395625 132.108498437904 12.6059003730654
-0.390625 132.18827916216 12.5827178169019
-0.385625 132.071154269104 12.5838712387524
-0.380625 132.14075022005 12.5618059942115
-0.375625 132.110195900122 12.5522494297084
-0.370625 132.262118768651 12.519995807129
-0.365625 132.151783724468 12.5202855226019
-0.360625 132.219682213196 12.4984054964299
-0.355625 132.228169524287 12.4838212255188
-0.350625 132.16875834665 12.4778533837068
-0.345625 132.163665959996 12.4650145874703
-0.340625 132.114439555668 12.4576725718651
-0.335625 132.051633453594 12.4519842023898
-0.330625 132.047389798049 12.4390083044888
-0.32575 131.90480297172 12.4436936389729
-0.32075 131.87679484512 12.4336708386904
-0.31575 131.673099378936 12.4456659172965
-0.31075 131.912441551702 12.402140504892
-0.30575 131.996465931503 12.3781055184447
-0.30075 131.940449678302 12.3715265397706
-0.29575 131.987129889303 12.3520633113406
