#h	A
3.496	260.911
3.486	260.911
3.476	260.911
3.461	260.911
3.451	260.911
3.441	260.911
3.431	260.911
3.421	260.911
3.411	260.911
3.401	260.911
3.391	260.911
3.381	260.911
3.371	260.911
3.361	260.911
3.351	260.911
3.341	260.911
3.331	260.911
3.321	260.911
3.316	260.911
3.311	260.911
3.301	260.911
3.301	260.911
3.291	260.911
3.286	260.911
3.276	260.911
3.271	260.911
3.261	260.911
3.251	260.911
3.246	260.911
3.236	260.911
3.226	260.911
3.221	260.911
3.211	260.911
3.201	260.911
3.191	260.911
3.181	260.911
3.171	260.911
3.161	260.911
3.151	260.911
3.141	260.911
3.131	260.911
3.121	260.911
3.116	260.911
3.106	260.911
3.096	260.911
3.091	260.911
3.086	260.911
3.076	260.911
3.066	260.911
3.056	260.911
3.046	260.911
3.036	260.911
3.026	260.911
3.016	260.911
3.006	260.911
2.996	260.911
2.986	260.911
2.976	260.911
2.966	260.911
2.956	260.911
2.946	260.911
2.936	260.911
2.926	260.911
2.916	260.911
2.911	260.911
2.901	260.911
2.891	260.911
2.881	260.911
2.876	260.911
2.866	260.911
2.856	260.911
2.846	260.911
2.836	260.911
2.826	260.911
2.816	260.911
2.806	260.911
2.796	260.911
2.786	260.911
2.771	260.911
2.761	260.911
2.751	260.911
2.731	263.149
2.681	272.785
2.631	285.15
2.561	305.942
2.511	325.652
2.451	349.803
2.381	376.233
2.306	401.149
2.281	409.047
2.251	418.416
2.206	432.041
2.161	445.661
2.096	466.047
2.041	485.192
1.986	504.411
1.926	526.784
1.881	542.964
1.806	565.832
1.741	586.745
1.676	609.522
1.611	633.011
1.551	652.024
1.471	680.516
1.391	708.72
1.301	736.715
1.226	760.091
1.171	777.577
1.131	789.741
1.061	812.832
0.971	847.662
0.901	875.467
0.806	918.172
0.691	957.95
0.561	998.557
0.441	1040.19
0.271	1099.38
0.176	1135.12
0.021	1192.21
