h	A
0	1266.76
0.205	1266.79
0.21	1266.03
0.215	1266.46
0.22	1265.96
0.225	1266.15
0.23	1266.4
0.235	1266.28
0.24	1266.76
0.245	1267.03
0.25	1267.27
0.255	1267.29
0.26	1267.44
0.265	1267.41
0.27	1267.26
0.275	1267.3
0.28	1267.16
0.285	1267.16
0.29	1267.03
0.295	1266.58
0.3	1266.31
0.305	1266.13
0.31	1265.95
0.315	1265.25
0.32	1265.5
0.325	1265.24
0.33	1264.62
0.335	1264.34
0.34	1263.92
0.345	1263.69
0.35	1263.84
0.355	1263.84
0.36	1263.73
0.365	1263.55
0.37	1263.85
0.38	1263.96
0.385	1264.04
0.395	1264.18
0.41	1264.61
0.415	1264.45
0.43	1264.29
0.45	1263.74
0.48	1262.83
0.5	1262.29
0.515	1261.81
0.54	1260.88
0.555	1260.53
0.58	1260.28
0.615	1260
0.645	1259.52
0.665	1257.84
0.69	1252.47
0.71	1245.8
0.725	1241.51
0.745	1234.26
0.76	1229.38
0.78	1222.51
0.795	1217.94
0.81	1213.06
0.845	1201.83
0.865	1196.78
0.88	1192.1
0.9	1185.82
0.92	1179.06
0.93	1175.19
0.945	1170.29
0.965	1163.95
0.985	1157.8
1.015	1147.92
1.035	1141.82
1.06	1133.89
1.095	1123.08
1.12	1116.34
1.17	1101.88
1.23	1083.98
1.28	1069.51
1.325	1056.44
1.36	1045.6
1.395	1034.26
1.43	1023.25
1.485	1006.39
1.54	987.609
1.6	966.756
1.655	946.93
1.72	923.447
1.795	897.783
1.86	874.49
1.945	843.007
2.025	814.996
2.12	781.344
2.225	745.145
2.33	706.976
2.435	668.272
2.55	623.123
2.665	578.507
2.715	560.977
2.795	532.795
2.875	503.922
2.975	468.947
3.075	433.241
3.145	408.525
3.225	380.862
3.315	347.499
3.39	316.783
3.46	290.603
3.52	267.6
3.61	229.314
3.68	196.854
3.755	159.583
3.815	113.204
3.825	96.9757
