#H theta alpha
1.67388 124.341760058527 4.26394497954646
1.67888 124.423238245 4.22168674629751
1.68388 124.428330631655 4.2191182988657
1.68887 124.512355011456 4.17360821461534
1.69388 124.736420024259 4.04216791147868
1.69888 124.90531751497 3.93082396036182
1.70388 125.138718569972 3.74855198713225
1.70887 125.211709445355 3.68077223312789
1.71375 125.286397782956 3.60116849925789
1.71888 125.312708447338 3.57022934568925
1.72375 125.352598809465 3.51771352594021
1.72875 125.363632313884 3.50363025631946
1.73375 125.379758204957 3.47907697648236
1.73875 125.382304398284 3.47691125450931
1.74375 125.39503536492 3.45553816354104
1.74875 125.404371407121 3.44004942184399
1.75375 125.427287147066 3.39594189624452
1.75875 125.429833340394 3.39210963181977
1.76375 125.438320651485 3.37263853099388
1.76875 125.454446542557 3.32846552589168
1.77375 125.471421164739 3.25674059629088
1.77875 125.445959231466 3.04608382644733
1.78375 125.380606936066 2.92792636307201
1.78875 125.34835515392 2.88641060606636
1.79375 125.204919596482 2.75187526038471
1.79875 125.087794703426 2.670074016996
1.80375 124.900225128315 2.56497709459115
1.80875 124.221240241035 2.30319390414159
1.81375 122.087530232756 1.85363161360221
