#H theta alpha
-0.00925 173.843153265695 3.18224759979814
-0.01 173.81005275244 3.19992084845224
-0.010875 173.804960365786 3.20901837650453
-0.012125 173.830422299059 3.21093713934092
-0.012875 173.811750214659 3.22366037527586
-0.01425 173.825329912404 3.23036366785807
-0.015 173.855035501223 3.22680140458098
-0.015875 173.860976618986 3.23222644901346
-0.017125 173.861825350095 3.24224976012612
-0.017875 173.867766467859 3.24646921481447
-0.01925 173.890682207805 3.25021845674741
-0.02 173.869463930077 3.26375322924369
-0.020875 173.844850727913 3.27902824258443
-0.022125 173.81005275244 3.30095847129679
-0.022875 173.832119761277 3.29988015568386
-0.02425 173.865220274532 3.30033559215356
-0.025 173.859279156768 3.30845686849429
-0.025875 173.850791845677 3.31833070696298
-0.027125 173.849943114568 3.32871353116785
-0.027875 173.861825350095 3.33093306131321
-0.02925 173.86691773675 3.3404143832446
-0.03 173.830422299059 3.35860384314808
-0.030875 173.80071671024 3.37539927314355
-0.032125 173.778649701404 3.39263538884856
-0.032875 173.792229399149 3.39424888768963
-0.03425 173.814296407986 3.39815897144308
-0.035 173.801565441349 3.40817860611619
-0.035875 173.811750214659 3.41191301009975
-0.037125 173.836363416822 3.41395778467221
-0.037875 173.821086256859 3.42485030924844
-0.03925 173.849094383459 3.42661009996428
-0.04 173.814296407986 3.4438693022127
-0.040875 173.753187768131 3.47028930321723
-0.042125 173.732818221512 3.48650906199103
-0.042875 173.730272028185 3.49329665009847
-0.04425 173.774406045858 3.49011988173966
-0.045 173.754885230349 3.50194902260024
-0.045875 173.76337254144 3.50621058915398
-0.047125 173.735364414839 3.52490765199461
-0.047875 173.698020246039 3.54231041196808
-0.04925 173.762523810331 3.53251504030073
-0.05 173.764221272549 3.53786091492043
-0.050875 173.745549188149 3.55053459703231
-0.052125 173.726028372639 3.56639123483347
-0.052875 173.73451568373 3.5693869723243
-0.05425 173.720087254876 3.58431960326163
-0.055 173.714994868221 3.59161092289439
-0.055875 173.711599943785 3.59953259251689
-0.057125 173.759128885894 3.59408722655681
-0.057875 173.712448674894 3.61430468357505
-0.05925 173.695474052712 3.6299593279513
-0.06 173.692079128275 3.63670762331184
-0.060875 173.675953237202 3.64840131245691
-0.062125 173.66916338833 3.65991095352015
-0.062875 173.643701455057 3.6733578767745
-0.06425 173.665768463893 3.67675011058683
-0.065 173.653037497257 3.68642419563103
-0.065875 173.639457799511 3.69696263458956
-0.06725 173.681045623857 3.69436721009858
-0.067875 173.632667950638 3.71393054994423
-0.06925 173.660676077239 3.71566315839966
-0.07 173.633516681747 3.72946387109923
-0.070875 173.665768463893 3.72604616778036
-0.072125 173.691230397166 3.7274073514387
-0.072875 173.686138010512 3.73463988759644
-0.07425 173.681045623857 3.74628540623642
-0.075 173.675104506093 3.75344647917777
-0.075875 173.691230397166 3.75516095809654
-0.07725 173.677650699421 3.76928926235952
-0.077875 173.681894354966 3.77259571750237
-0.07925 173.66916338833 3.78640620326936
-0.08 173.695474052712 3.78379970153429
-0.080875 173.597021244056 3.81987277573066
-0.082125 173.605508555147 3.82621669587317
-0.082875 173.631819219529 3.82374519749023
-0.08425 173.638609068402 3.83165532976278
-0.085 173.632667950638 3.83876567131405
-0.085875 173.62163444622 3.84853296706362
-0.08725 173.618239521784 3.85930374523913
-0.088 173.653886228366 3.85415263144349
-0.08925 173.638609068402 3.86767361578864
-0.09 173.647096379493 3.87047165711445
-0.090875 173.636911606184 3.87977192309638
-0.092125 173.651340035039 3.88439569816062
-0.093 173.634365412857 3.89549011196156
-0.09425 173.631819219529 3.90518824484901
-0.095 173.613995866238 3.91573446808214
-0.096 173.604659824038 3.92548615049353
-0.09725 173.605508555147 3.93395978719654
-0.098 173.613147135129 3.93712876905554
-0.09925 173.622483177329 3.94321402723815
-0.1 173.626726832875 3.9471300839766
-0.100875 173.646247648384 3.94752503169085
-0.102125 173.653037497257 3.95431199734037
-0.103 173.65982734613 3.95858736266204
-0.10425 173.619088252893 3.97919054935824
-0.105 173.618239521784 3.98453512600316
-0.106 173.610600941802 3.99379784056353
-0.10725 173.585139008529 4.00979118861342
-0.108 173.595323781838 4.01208466116627
-0.10925 173.591080126292 4.02202095070075
-0.11 173.571559310783 4.03284158853474
-0.110875 173.55543341971 4.04349849895797
-0.11225 173.540156259746 4.05716487254478
-0.113 173.542702453074 4.06165899355573
-0.11425 173.580046621874 4.05947016732594
-0.115125 173.568164386347 4.06877418213683
-0.116 173.572408041892 4.07365751756859
-0.11725 173.566466924128 4.08376954807763
-0.118 173.566466924128 4.08903553022742
-0.11925 173.539307528637 4.10519208863164
-0.12 173.576651697438 4.09968046954334
-0.120875 173.567315655238 4.10828677482478
-0.12225 173.601264899602 4.10783126087045
-0.123 173.590231395183 4.1160986245257
-0.12425 173.633516681747 4.11242206516854
-0.125125 173.613147135129 4.12412266028119
-0.126 173.591080126292 4.13622398636658
-0.12725 173.617390790675 4.1371287552333
-0.128 173.607206017365 4.14513117416192
-0.12925 173.630121757311 4.14712468241313
-0.130125 173.61229840402 4.15784697075879
-0.130875 173.590231395183 4.169177837799
-0.13225 173.647096379493 4.1624579272121
-0.133 173.607206017365 4.17846317844927
-0.13425 173.592777588511 4.19102273759476
-0.135125 173.594475050729 4.19628513598802
-0.136 173.629273026202 4.19245520567489
-0.13725 173.619936984002 4.20335951800959
-0.138 173.636062875075 4.20378620213934
-0.13925 173.64030653062 4.21097770818133
-0.140125 173.672558312766 4.20762442620047
-0.140875 173.663222270566 4.21525346437358
-0.142125 173.504509553164 4.26751019041781
-0.147125 173.624180639547 4.26719949480663
-0.152125 173.677650699421 4.28514647768972
-0.157125 173.768464928094 4.29294761338269
-0.162125 173.780347163622 4.32204582498744
-0.167125 173.745549188149 4.36369689936198
-0.172125 173.777800970294 4.3871054377805
-0.177125 173.803262903567 4.41207074054507
-0.182125 173.831271030168 4.43628122655653
-0.187125 173.779498432513 4.48163301220662
-0.192125 173.771011121422 4.51507386142224
-0.197125 173.799019248022 4.53885969761591
-0.202125 173.839758341259 4.55913494216512
-0.207125 173.86691773675 4.58265994551385
-0.212125 173.920387796623 4.59938562951995
-0.217125 173.900866981114 4.63516680629962
-0.222125 173.90426190555 4.66450612443307
-0.227125 173.939059881024 4.68577486954965
-0.232125 173.934816225478 4.7170695836771
-0.237125 173.948395923224 4.74332408835515
-0.242 173.97046293206 4.76684864788126
-0.247125 173.898320787787 4.81561539224217
-0.252 173.879648703387 4.84894622705728
-0.257 173.922085258842 4.86752429843039
