#H theta alpha
1.1975 135.562834051943 4.9916985016028
1.2025 135.537372118669 4.97729973991345
1.2075 135.53652338756 4.95449710799935
1.2125 135.511061454287 4.94008585382567
1.2175 135.511061454287 4.91671535198444
1.2225 135.494935563214 4.89887994307118
1.2275 135.50851526096 4.87082755635747
1.2325 135.500876680978 4.84955804534233
1.2375 135.500027949869 4.82593140816218
1.2425 135.466927436614 4.81293969742715
1.2475 135.466078705505 4.78898742102283
1.2525 135.43297819225 4.77610864718645
1.2575 135.424490881159 4.7542224321345
1.2625 135.399028947886 4.73828570661881
1.2675 135.374415745722 4.72206427629792
1.2725 135.343861425795 4.70786032411489
1.2775 135.317550761412 4.69180083135658
1.2825 135.313307105867 4.66785137246342
1.2875 135.32009695474 4.63927327029064
1.29237 135.318399492522 4.61441103250941
1.2975 135.326038072504 4.58436247187554
1.30237 135.418549763395 4.52303350708451
1.3075 135.438919310014 4.48659186121613
1.31237 135.490691907669 4.43879525241692
1.3175 135.498330487651 4.40594880778155
1.32237 135.485599521014 4.38301389362968
1.3275 135.464381243287 4.36130089862133
1.33237 135.454196469978 4.33642333630596
1.3375 135.456742663305 4.30405221598359
1.34237 135.425339612268 4.2877484214978
1.3475 135.422793418941 4.25680566618046
1.35237 135.510212723178 4.1864616470493
1.3575 135.550951816415 4.13341418023428
1.36237 135.559439127506 4.09593216830264
1.3675 135.620547767361 4.02934110750166
1.3725 135.634127465107 3.98576747866138
1.3775 135.612909187379 3.95882365452695
1.3825 135.576413749688 3.93952956527569
1.3875 135.534825925342 3.92290196600007
1.3925 135.491540638778 3.90673078274978
1.3975 135.455045201087 3.88658220491135
1.4025 135.425339612268 3.86193022204576
1.4075 135.387995443468 3.84112002746703
1.4125 135.337920308031 3.82764833858061
1.4175 135.315004568085 3.79767844025836
1.4225 135.371869552395 3.7160322302343
1.4275 135.443162965559 3.61703263337639
1.4325 135.542464505324 3.48033727035968
1.4375 135.524641152033 3.42956606960323
1.4425 135.506817798742 3.37340973380388
1.4475 135.467776167723 3.33479326632871
1.4525 135.452499007759 3.26278916608449
1.4575 135.406667527868 3.22106993308948
