#H theta alpha
-0.089375 177.398824158134 2.91725177217379
-0.09425 177.481912878922 2.93012145005361
-0.09925 177.370900899508 3.00769864437071
-0.10425 177.389289386896 3.0421275570234
-0.10925 177.456032785562 3.06069832855173
-0.11425 177.427428471848 3.10958598556443
-0.11925 177.364090348624 3.16931705078237
-0.12425 177.342296585794 3.21498680709968
-0.12925 177.371581954597 3.24431696760206
-0.13425 177.398143103045 3.27401343285204
-0.13925 177.442411683793 3.2982183437428
-0.14425 177.355917687563 3.36239304898652
-0.14925 177.251716259034 3.43128259412054
-0.15425 177.148195885593 3.49921196441445
-0.15925 177.065107164804 3.56016467204167
-0.16425 177.10597047011 3.58374574696651
-0.16925 176.954776240479 3.66376219344315
-0.17425 176.935025642915 3.70440152346768
-0.17925 176.963629956629 3.73082172623
-0.18425 176.95886257101 3.76674546313559
-0.18925 176.983380554193 3.79385351834875
-0.19425 176.936387753092 3.84122756292262
-0.19925 176.897567613051 3.88591234103266
-0.20425 176.939111973445 3.90771226404177
-0.209375 176.95000885486 3.93873012111412
-0.214375 176.931620367473 3.97687823039521
-0.219375 176.983380554193 3.99528101682931
-0.224375 177.007898537377 4.02109045973512
-0.229375 177.041951291798 4.04417326839654
-0.234375 177.063063999539 4.07078567198757
-0.239375 177.062382944451 4.1030263292899
-0.244375 177.016071198438 4.1476135108249
-0.249375 177.080771431838 4.16176473347559
-0.254375 177.014709088261 4.21134807394099
-0.259375 176.969759452425 4.25471654401584
-0.264375 176.87236857478 4.31169277712222
-0.269375 176.798814625229 4.36190896274844
-0.274375 176.809711506644 4.3896474032559
-0.279375 176.780426137842 4.42774408995851
-0.284375 176.753864989393 4.46485438452622
-0.289375 176.83763476527 4.47307708408304
-0.294375 176.821970498236 4.50713489842253
-0.299375 176.795409349787 4.54375660635003
-0.304375 176.805625176114 4.57060514720605
-0.309375 176.819246277882 4.59665313694944
-0.314375 176.851255867038 4.61779225122469
-0.319375 176.856704307746 4.64569501662785
-0.324375 176.832867379651 4.68082517599745
-0.3295 176.775658752223 4.72470835071955
-0.334375 176.809030451556 4.74444300877076
-0.3395 176.79404723961 4.77741604668976
-0.3445 176.794728294699 4.80571607275288
-0.3495 176.78110719293 4.83743623489372
-0.354375 176.704147967938 4.88382661501052
-0.3595 176.718450124795 4.90900674769488
-0.3645 176.698699527231 4.94158732143916
-0.3695 176.704147967938 4.96804964914998
-0.3745 176.738200722359 4.98737849611896
-0.3795 176.753183934305 5.01131109917732
-0.3845 176.785874578549 5.03077039121314
-0.3895 176.824013663501 5.04905725158649
-0.3945 176.828099994032 5.07522652346602
-0.3995 176.883946511283 5.08898269007625
-0.4045 176.880541235841 5.11688905792422
-0.4095 176.896205502874 5.1401641086599
-0.4145 176.939111973445 5.1567644727937
-0.4195 176.988147939812 5.1719679008755
-0.4245 176.980656333839 5.20036522002124
-0.4295 177.001769041581 5.22207545838
-0.4345 176.973845782955 5.25511391091119
-0.4395 176.972483672778 5.28176742401154
-0.4445 177.011303812819 5.29893190462269
-0.4495 177.060339779186 5.31377717715269
-0.4545 177.027649134941 5.3474539425672
-0.4595 176.979294223663 5.38458163419146
-0.4645 177.067831385158 5.39016741712493
-0.4695 177.066469274981 5.41633713113066
-0.4745 177.075322991131 5.43998325714471
-0.4795 177.06715033007 5.46750466230357
-0.4845 176.981337388928 5.51249059140107
-0.489375 177.003131151758 5.53235423013178
-0.494375 176.960224681187 5.5673088492414
-0.499375 176.991553215254 5.58546820596273
-0.504375 176.965673121894 5.6163801204418
-0.509375 177.046718677417 5.62322665289777
-0.514375 177.047399732505 5.64808050868105
-0.519375 177.078047211485 5.66621895558087
-0.524375 177.0712366606 5.69246784660437
-0.529375 177.076685101308 5.71608045926948
-0.534375 177.075322991131 5.74100084100616
-0.539375 177.078047211485 5.7649058343151
-0.544375 177.108013635375 5.78291265299287
-0.549375 177.100522029403 5.80888366017779
-0.554375 177.152963271212 5.82177255551685
-0.559375 177.198593962136 5.83609488715098
-0.564375 177.196550796871 5.86091237361121
-0.569375 177.189059190898 5.88659716498425
-0.574375 177.165222262803 5.91585059883391
-0.579375 177.219025614789 5.92828576056038
-0.584375 177.221068780054 5.95169868068123
-0.589375 177.231284606381 5.97343594241001
-0.59425 177.17543808913 6.00855462033994
-0.59925 177.12776423294 6.04243586681238
-0.60425 177.150239050858 6.06112792760413
-0.60925 177.150239050858 6.08464184721176
-0.61425 177.133893728736 6.11159063001074
-0.61925 177.141385334708 6.13335676751709
-0.62425 177.120272626967 6.16118878077981
-0.62925 177.154325381388 6.17723294203245
-0.63425 177.174075978953 6.19628281668019
-0.63925 177.241500432707 6.20527505581165
-0.64425 177.202680292667 6.23642134197413
-0.64925 177.157049601742 6.2688773136791
-0.65425 177.185653915456 6.28585971749821
-0.65925 177.184291805279 6.30905792994573
-0.66425 177.211534008816 6.32623140271958
-0.66925 177.148195885593 6.36194407131178
-0.67425 177.157730656831 6.38261204464945
-0.67925 177.159773822096 6.40469487512399
-0.68425 177.117548406613 6.43591424881799
-0.68925 177.109375745552 6.45995325179718
-0.69425 177.113462076083 6.48153518147856
-0.69925 177.161816987361 6.49398950229319
-0.704375 176.996320600873 6.55015878324777
-0.709375 177.11482418626 6.54845928709342
-0.714375 177.025605969676 6.58846205124287
-0.719375 177.011984867907 6.61322452086447
-0.724375 177.034459685825 6.63066382850274
-0.729375 177.046718677417 6.65022788895679
-0.734375 176.994958490696 6.68225595361005
-0.739375 176.988828994901 6.70527507397046
-0.744375 176.978613168574 6.72907934450108
-0.749375 176.985423719458 6.74931615505931
-0.754375 176.943879359064 6.7790569353736
-0.759375 176.941836193799 6.80097025805274
-0.764375 176.957500460833 6.8194220578687
-0.769375 176.971121562601 6.83810033764631
-0.774375 177.038546016356 6.84640102709196
-0.779375 177.042632346886 6.86689262636415
