#A	h
54.7148	-0.089375
55.1982	-0.09425
58.157	-0.09925
59.4948	-0.10425
60.2227	-0.10925
62.16	-0.11425
64.5685	-0.11925
66.4408	-0.12425
67.6573	-0.12925
68.9002	-0.13425
69.9216	-0.13925
72.6659	-0.14425
75.6704	-0.14925
78.6924	-0.15425
81.4542	-0.15925
82.5354	-0.16425
86.2571	-0.16925
88.1786	-0.17425
89.4391	-0.17925
91.1673	-0.18425
92.4823	-0.18925
94.8029	-0.19425
97.018	-0.19925
98.1079	-0.20425
99.6691	-0.209375
101.606	-0.214375
102.547	-0.219375
103.874	-0.224375
105.068	-0.229375
106.453	-0.234375
108.143	-0.239375
110.502	-0.244375
111.256	-0.249375
113.918	-0.254375
116.272	-0.259375
119.401	-0.264375
122.193	-0.269375
123.749	-0.274375
125.902	-0.279375
128.017	-0.284375
128.488	-0.289375
130.448	-0.294375
132.572	-0.299375
134.14	-0.304375
135.67	-0.309375
136.918	-0.314375
138.574	-0.319375
140.673	-0.324375
143.317	-0.3295
144.514	-0.334375
146.525	-0.3395
148.262	-0.3445
150.221	-0.3495
153.109	-0.354375
154.688	-0.3595
156.743	-0.3645
158.422	-0.3695
159.654	-0.3745
161.186	-0.3795
162.437	-0.3845
163.617	-0.3895
165.313	-0.3945
166.208	-0.3995
168.031	-0.4045
169.559	-0.4095
170.653	-0.4145
171.658	-0.4195
173.543	-0.4245
174.991	-0.4295
177.206	-0.4345
179.003	-0.4395
180.165	-0.4445
181.173	-0.4495
183.47	-0.4545
186.019	-0.4595
186.404	-0.4645
188.213	-0.4695
189.855	-0.4745
191.775	-0.4795
194.934	-0.4845
196.337	-0.489375
198.818	-0.494375
200.113	-0.499375
202.327	-0.504375
202.819	-0.509375
204.61	-0.514375
205.922	-0.519375
207.828	-0.524375
209.55	-0.529375
211.375	-0.534375
213.133	-0.539375
214.462	-0.544375
216.386	-0.549375
217.344	-0.554375
218.411	-0.559375
220.266	-0.564375
222.194	-0.569375
224.4	-0.574375
225.341	-0.579375
227.118	-0.584375
228.774	-0.589375
231.462	-0.59425
234.07	-0.59925
235.515	-0.60425
237.339	-0.60925
239.438	-0.61425
241.14	-0.61925
243.325	-0.62425
244.589	-0.62925
246.094	-0.63425
246.806	-0.63925
249.28	-0.64425
251.871	-0.64925
253.232	-0.65425
255.097	-0.65925
256.482	-0.66425
259.374	-0.66925
261.055	-0.67425
262.857	-0.67925
265.415	-0.68425
267.393	-0.68925
269.175	-0.69425
270.206	-0.69925
274.88	-0.704375
274.738	-0.709375
278.09	-0.714375
280.175	-0.719375
281.648	-0.724375
283.305	-0.729375
286.028	-0.734375
287.993	-0.739375
290.032	-0.744375
291.771	-0.749375
294.336	-0.754375
296.233	-0.759375
297.835	-0.764375
299.461	-0.769375
300.185	-0.774375
301.976	-0.779375
304.534	-0.784375
306.148	-0.789375
308.196	-0.794375
310.025	-0.799375
312.285	-0.804375
314	-0.8095
315.898	-0.814375
318.33	-0.8195
320.539	-0.824375
