#A h theta
458.417 -1.12275 176.11
458.417 -1.11813 176.002
458.417 -1.11312 175.885
458.417 -1.10813 175.769
458.417 -1.10312 175.652
458.417 -1.09813 175.535
458.417 -1.09312 175.418
458.417 -1.08813 175.302
458.417 -1.08312 175.185
458.417 -1.07812 175.068
458.417 -1.07312 174.952
458.417 -1.06812 174.835
458.417 -1.06312 174.718
458.417 -1.05812 174.602
458.417 -1.05313 174.485
458.417 -1.04812 174.368
458.417 -1.04313 174.252
458.417 -1.03812 174.135
458.417 -1.03313 174.019
458.417 -1.02812 173.902
458.417 -1.02313 173.785
458.417 -1.02313 173.785
458.417 -1.01812 173.668
458.417 -1.01812 173.668
458.417 -1.01312 173.552
458.417 -1.01312 173.552
458.417 -1.00812 173.435
458.417 -1.00312 173.318
458.417 -0.998125 173.202
458.417 -0.993125 173.085
458.417 -0.988125 172.969
458.417 -0.983125 172.852
458.417 -0.978125 172.735
458.417 -0.973125 172.619
458.417 -0.968125 172.502
458.417 -0.963125 172.385
458.417 -0.958125 172.269
458.417 -0.953 172.149
458.417 -0.948125 172.036
458.417 -0.943 171.916
458.417 -0.938125 171.802
458.417 -0.933 171.683
458.417 -0.928125 171.569
458.417 -0.923 171.449
458.417 -0.918 171.333
458.417 -0.913 171.216
458.417 -0.908 171.1
458.417 -0.903 170.983
458.417 -0.898 170.866
458.417 -0.893 170.75
458.029 -0.888 170.655
458.125 -0.883 170.533
458.264 -0.878 170.408
458.693 -0.873 170.268
458.621 -0.868 170.155
458.823 -0.863 170.027
460.122 -0.858 169.837
460.035 -0.853 169.725
460.251 -0.848 169.597
460.689 -0.843 169.455
461.284 -0.838 169.305
461.072 -0.833 169.201
461.246 -0.828 169.074
460.437 -0.823 169.003
462.032 -0.818 168.797
462.005 -0.812875 168.679
462.603 -0.807875 168.529
462.682 -0.802875 168.408
463.29 -0.797875 168.257
464.22 -0.792875 168.088
464.625 -0.787875 167.949
464.517 -0.782875 167.838
465.428 -0.778 167.673
465.831 -0.772875 167.531
465.959 -0.768 167.41
465.803 -0.762875 167.3
466.216 -0.758 167.163
466.349 -0.753 167.039
465.486 -0.748 166.971
465.07 -0.743 166.877
465.539 -0.738 166.734
465.562 -0.733 166.616
466.087 -0.728 166.47
463.907 -0.723 166.476
463.389 -0.718 166.388
463.057 -0.713 166.29
462.417 -0.708 166.209
463.065 -0.703 166.056
463.331 -0.698 165.925
463.412 -0.693 165.803
461.81 -0.688 165.776
462.164 -0.683 165.64
462.698 -0.678 165.493
462.745 -0.673 165.374
462.417 -0.668125 165.278
462.817 -0.663125 165.139
463.187 -0.658125 165.002
461.873 -0.653125 164.959
462.091 -0.648125 164.83
462.033 -0.643125 164.716
462.353 -0.638125 164.582
462.186 -0.633125 164.474
460.643 -0.628125 164.444
461.771 -0.623125 164.264
461.764 -0.618125 164.147
461.578 -0.613125 164.041
461.237 -0.608125 163.943
460.82 -0.603125 163.85
460.546 -0.598125 163.748
459.929 -0.593125 163.666
459.716 -0.588125 163.561
458.772 -0.583125 163.497
459.215 -0.578125 163.355
459.491 -0.573125 163.223
459.02 -0.568125 163.132
460.595 -0.563125 162.927
461.2 -0.558125 162.777
460.933 -0.553125 162.675
461.77 -0.548125 162.511
461.866 -0.543125 162.389
465.12 -0.538125 162.091
462.323 -0.533125 162.13
459.941 -0.528125 162.145
460.367 -0.523125 162.005
463.779 -0.518125 161.698
463.067 -0.513125 161.621
462.554 -0.508125 161.532
462.501 -0.503125 161.418
462.373 -0.498125 161.308
462.65 -0.493125 161.176
463.153 -0.488125 161.031
462.837 -0.483125 160.932
463.484 -0.478125 160.779
463.447 -0.473125 160.664
463.623 -0.468125 160.537
462.83 -0.463125 160.464
463.765 -0.458125 160.295
464.718 -0.453125 160.125
465.068 -0.448125 159.989
466.284 -0.443 159.801
463.769 -0.438125 159.827
465.419 -0.433 159.615
462.891 -0.428125 159.641
463.104 -0.423 159.509
463.25 -0.418 159.384
464.027 -0.413 159.224
462.87 -0.408 159.171
462.919 -0.403 159.051
461.328 -0.398 159.022
463.461 -0.393 158.787
462.643 -0.388 158.715
461.88 -0.383 158.64
461.123 -0.378 158.565
461.548 -0.373 158.424
458.586 -0.368 158.471
460.096 -0.363 158.27
460.268 -0.358 158.143
459.245 -0.353 158.082
458.255 -0.348 158.02
459.319 -0.343 157.843
459.526 -0.338 157.715
458.285 -0.333 157.666
458.111 -0.328 157.558
458.183 -0.322875 157.434
457.705 -0.318 157.346
458.732 -0.312875 157.169
458.451 -0.307875 157.067
458.444 -0.302875 156.95
458.732 -0.297875 156.816
458.737 -0.292875 156.699
458.999 -0.287875 156.567
458.442 -0.282875 156.48
458.767 -0.277875 156.345
460.08 -0.272875 156.154
459.518 -0.268 156.071
458.535 -0.262875 156.005
458.89 -0.258 155.871
458.96 -0.253 155.749
458.779 -0.248 155.641
458.422 -0.243 155.544
458.345 -0.238 155.43
458.769 -0.233 155.289
458.67 -0.228 155.177
458.069 -0.223 155.093
458.438 -0.218 154.954
457.881 -0.213 154.868
458.155 -0.208 154.735
458.589 -0.203 154.593
459.303 -0.198 154.436
458.291 -0.193 154.374
460.339 -0.188 154.143
460.288 -0.183 154.028
458.771 -0.178 153.994
