#A h theta
458.417 -1.1882 178.38
458.417 -1.18315 178.262
458.417 -1.17766 178.134
458.417 -1.17218 178.006
458.417 -1.16667 177.877
458.417 -1.16117 177.749
458.417 -1.15563 177.619
458.417 -1.15011 177.49
458.417 -1.14455 177.361
458.417 -1.13899 177.231
458.417 -1.13342 177.101
458.417 -1.12784 176.97
458.417 -1.12225 176.84
458.417 -1.11664 176.709
458.417 -1.11104 176.578
458.417 -1.10541 176.447
458.417 -1.09979 176.316
458.417 -1.09414 176.184
458.417 -1.0885 176.052
458.417 -1.08283 175.92
458.417 -1.07717 175.788
458.417 -1.07717 175.788
458.417 -1.07148 175.655
458.417 -1.07148 175.655
458.417 -1.06579 175.522
458.417 -1.06579 175.522
458.417 -1.0601 175.389
458.417 -1.05439 175.256
458.417 -1.04868 175.123
458.417 -1.04296 174.989
458.417 -1.03723 174.855
458.417 -1.0315 174.722
458.417 -1.02575 174.588
458.417 -1.02 174.453
458.417 -1.01424 174.319
458.417 -1.00847 174.184
458.417 -1.0027 174.05
458.417 -0.996769 173.911
458.417 -0.991124 173.78
458.417 -0.985184 173.641
458.417 -0.979526 173.509
458.417 -0.973572 173.37
458.417 -0.967902 173.238
458.417 -0.961934 173.099
458.417 -0.956107 172.963
458.417 -0.950273 172.827
458.417 -0.944433 172.691
458.417 -0.938588 172.554
458.417 -0.932737 172.418
458.417 -0.92688 172.281
458.029 -0.921019 172.166
458.125 -0.915152 172.024
458.264 -0.90928 171.879
458.693 -0.903404 171.718
458.621 -0.897522 171.585
458.823 -0.891636 171.437
460.122 -0.885745 171.228
460.035 -0.87985 171.095
460.251 -0.873951 170.945
460.689 -0.868048 170.784
461.284 -0.86214 170.613
461.072 -0.856229 170.487
461.246 -0.850314 170.34
460.437 -0.844395 170.246
462.032 -0.838473 170.02
462.005 -0.832399 169.88
462.603 -0.82647 169.709
462.682 -0.820538 169.566
463.29 -0.814602 169.395
464.22 -0.808664 169.205
464.625 -0.802723 169.045
464.517 -0.796779 168.912
465.428 -0.790981 168.727
465.831 -0.784884 168.563
465.959 -0.779081 168.42
465.803 -0.772979 168.287
466.216 -0.767172 168.129
466.349 -0.761214 167.982
465.486 -0.755254 167.891
465.07 -0.749292 167.774
465.539 -0.743329 167.61
465.562 -0.737364 167.469
466.087 -0.731397 167.301
463.907 -0.725429 167.281
463.389 -0.71946 167.17
463.057 -0.713489 167.049
462.417 -0.707517 166.945
463.065 -0.701544 166.77
463.331 -0.695571 166.616
463.412 -0.689596 166.472
461.81 -0.683621 166.42
462.164 -0.677645 166.262
462.698 -0.671668 166.093
462.745 -0.665691 165.951
462.417 -0.659863 165.833
462.817 -0.653885 165.671
463.187 -0.647907 165.512
461.873 -0.641929 165.444
462.091 -0.635951 165.292
462.033 -0.629973 165.156
462.353 -0.623995 164.999
462.186 -0.618017 164.868
460.643 -0.61204 164.813
461.771 -0.606063 164.612
461.764 -0.600086 164.473
461.578 -0.59411 164.343
461.237 -0.588135 164.222
460.82 -0.582161 164.105
460.546 -0.576187 163.981
459.929 -0.570214 163.874
459.716 -0.564243 163.747
458.772 -0.558272 163.658
459.215 -0.552302 163.495
459.491 -0.546334 163.34
459.02 -0.540367 163.226
460.595 -0.534401 163.001
461.2 -0.528437 162.829
460.933 -0.522475 162.704
461.77 -0.516513 162.519
461.866 -0.510554 162.375
465.12 -0.504596 162.059
462.323 -0.49864 162.071
459.941 -0.492686 162.061
460.367 -0.486734 161.899
463.779 -0.480784 161.575
463.067 -0.474836 161.474
462.554 -0.46889 161.363
462.501 -0.462947 161.227
462.373 -0.457005 161.095
462.65 -0.451066 160.941
463.153 -0.44513 160.774
462.837 -0.439196 160.653
463.484 -0.433264 160.479
463.447 -0.427335 160.342
463.623 -0.421409 160.194
462.83 -0.415485 160.098
463.765 -0.409564 159.909
464.718 -0.403646 159.719
465.068 -0.397731 159.561
466.284 -0.391671 159.354
463.769 -0.38591 159.354
465.419 -0.379856 159.123
462.891 -0.374101 159.125
463.104 -0.368054 158.972
463.25 -0.362157 158.826
464.027 -0.356264 158.646
462.87 -0.350374 158.57
462.919 -0.344488 158.429
461.328 -0.338605 158.377
463.461 -0.332726 158.124
462.643 -0.32685 158.031
461.88 -0.320977 157.934
461.123 -0.315109 157.837
461.548 -0.309244 157.677
458.586 -0.303382 157.699
460.096 -0.297525 157.48
460.268 -0.291671 157.333
459.245 -0.285822 157.251
458.255 -0.279976 157.167
459.319 -0.274134 156.972
459.526 -0.268296 156.824
458.285 -0.262462 156.754
458.111 -0.256632 156.626
458.183 -0.250661 156.482
457.705 -0.244985 156.374
458.732 -0.239023 156.179
458.451 -0.23321 156.057
458.444 -0.227402 155.921
458.732 -0.221597 155.769
458.737 -0.215798 155.632
458.999 -0.210002 155.482
458.442 -0.204211 155.376
458.767 -0.198425 155.222
460.08 -0.192643 155.015
459.518 -0.18701 154.913
458.535 -0.181093 154.826
458.89 -0.175469 154.675
458.96 -0.169705 154.535
458.779 -0.163946 154.409
458.422 -0.158192 154.293
458.345 -0.152442 154.162
458.769 -0.146697 154.003
458.67 -0.140958 153.874
458.069 -0.135223 153.771
458.438 -0.129492 153.616
457.881 -0.123767 153.511
458.155 -0.118047 153.361
458.589 -0.112331 153.203
459.303 -0.106621 153.03
458.291 -0.100915 152.949
460.339 -0.0952148 152.705
460.288 -0.0895195 152.573
458.771 -0.0838292 152.52
460.636 -0.078144 152.286
460.022 -0.0726058 152.188
459.34 -0.0669308 152.091
458.978 -0.0612609 151.976
459.277 -0.0555962 151.826
459.129 -0.0499368 151.7
459.783 -0.0442825 151.532
458.825 -0.0386335 151.449
458.99 -0.0329898 151.307
459.252 -0.0273514 151.16
458.82 -0.0217182 151.05
459.358 -0.0160905 150.888
459.235 -0.010468 150.761
459.291 -0.00485092 150.625
459.795 0.000760781 150.465
459.767 0.00636709 150.334
459.679 0.011968 150.206
460.824 0.0175635 150.012
460.393 0.0231535 149.903
460.302 0.0287381 149.775
460.056 0.0343172 149.656
459.774 0.0398908 149.539
460.253 0.045459 149.382
460.284 0.0510216 149.248
458.134 0.0565788 149.231
458.551 0.0621304 149.077
458.524 0.0676764 148.947
459.059 0.0732169 148.787
459.175 0.0787519 148.649
460.755 0.0842813 148.433
457.675 0.0898051 148.467
459.655 0.0953233 148.23
459.639 0.100836 148.1
460.063 0.106343 147.946
459.593 0.111844 147.841
459.291 0.11734 147.726
459.069 0.12283 147.607
458.473 0.128315 147.509
458.043 0.133794 147.402
460.043 0.139267 147.164
459.919 0.144735 147.041
458.95 0.150197 146.963
460.527 0.155653 146.748
459.841 0.161104 146.655
456.993 0.166685 146.675
460.107 0.171989 146.382
458.486 0.177558 146.336
458.273 0.182851 146.221
