#A	h
451.482	-1.16575
451.482	-1.16113
451.482	-1.15612
451.482	-1.15112
451.482	-1.14613
451.482	-1.14113
451.482	-1.13612
451.482	-1.13112
451.482	-1.12613
451.482	-1.12113
451.482	-1.11612
451.482	-1.11112
451.482	-1.10613
451.482	-1.10113
451.482	-1.09613
451.482	-1.09112
451.482	-1.09112
451.482	-1.08613
451.482	-1.08613
451.482	-1.08613
451.482	-1.08113
451.482	-1.08113
451.482	-1.08113
451.482	-1.07613
451.482	-1.07613
451.482	-1.07112
451.482	-1.07112
451.482	-1.06612
451.482	-1.06113
451.482	-1.05612
451.482	-1.05112
451.482	-1.04612
451.482	-1.04113
451.482	-1.03612
451.482	-1.03112
451.482	-1.026
451.482	-1.02113
451.482	-1.016
451.482	-1.01113
451.482	-1.006
451.482	-1.00113
451.482	-0.996
451.482	-0.991125
451.482	-0.986
451.482	-0.981
451.482	-0.976
451.482	-0.971
451.482	-0.966
451.482	-0.961
451.482	-0.956
451.482	-0.951
451.482	-0.946
451.482	-0.941
451.482	-0.936
451.482	-0.931
451.482	-0.926
451.482	-0.921
451.482	-0.916
451.482	-0.911
451.482	-0.906
451.482	-0.901
451.482	-0.896
451.482	-0.891
451.482	-0.886
451.482	-0.881
451.482	-0.875875
451.482	-0.870875
451.482	-0.865875
451.482	-0.860875
451.482	-0.855875
451.482	-0.850875
451.482	-0.845875
451.482	-0.841
451.482	-0.835875
451.482	-0.831
451.482	-0.826
451.482	-0.821
451.482	-0.816
451.482	-0.811
451.482	-0.806
451.482	-0.801
451.482	-0.796
451.482	-0.791
451.482	-0.786
451.482	-0.781
451.482	-0.776
451.482	-0.771
451.482	-0.766
451.482	-0.761
451.482	-0.756
451.482	-0.751
451.482	-0.746
451.482	-0.741125
451.482	-0.736
451.482	-0.731125
451.482	-0.726125
451.482	-0.721125
451.482	-0.716125
451.482	-0.711125
451.482	-0.706125
451.482	-0.701125
451.482	-0.696125
451.482	-0.691125
451.482	-0.686125
451.482	-0.681125
451.482	-0.676125
451.482	-0.671125
451.482	-0.666125
451.482	-0.661125
451.482	-0.656125
451.482	-0.651125
451.542	-0.646125
451.811	-0.641125
451.64	-0.636125
451.684	-0.631125
451.58	-0.626125
451.295	-0.621125
451.758	-0.616125
451.535	-0.611125
450.975	-0.606125
451.271	-0.601125
451.431	-0.596125
451.376	-0.591125
451.19	-0.586125
450.968	-0.581125
450.803	-0.576125
450.84	-0.571125
450.879	-0.566125
450.65	-0.561125
450.638	-0.556125
450.728	-0.551125
450.668	-0.546125
450.598	-0.541125
450.619	-0.536125
450.759	-0.531125
450.879	-0.526
450.919	-0.521125
451.076	-0.516
450.937	-0.511125
451.266	-0.506
450.844	-0.501125
450.995	-0.496
450.83	-0.491
450.573	-0.486
450.97	-0.481
450.972	-0.476
450.508	-0.471
450.819	-0.466
450.357	-0.461
449.88	-0.456
450.348	-0.451
450.028	-0.446
450.174	-0.441
450.102	-0.436
450.351	-0.431
449.987	-0.426
449.525	-0.421
449.544	-0.416
449.351	-0.411
449.625	-0.406
449.541	-0.401
449.525	-0.396
449.622	-0.391
449.566	-0.385875
449.615	-0.381
449.75	-0.375875
449.931	-0.370875
449.931	-0.365875
449.998	-0.360875
449.792	-0.355875
449.777	-0.350875
449.532	-0.345875
449.404	-0.341
449.541	-0.335875
449.522	-0.331
449.43	-0.325875
449.745	-0.321
449.645	-0.316
449.611	-0.311
449.346	-0.306
449.636	-0.301
449.683	-0.296
449.666	-0.291
449.525	-0.286
449.559	-0.281
449.682	-0.276
449.738	-0.271
449.958	-0.266
449.893	-0.261
449.987	-0.256
449.636	-0.251
449.724	-0.246
449.156	-0.241125
449.479	-0.236
449.61	-0.231125
449.694	-0.226125
449.462	-0.221125
449.441	-0.216125
449.539	-0.211125
449.068	-0.206125
449.311	-0.201125
448.671	-0.196125
448.883	-0.191125
449.205	-0.186125
448.569	-0.181125
448.694	-0.176125
449.254	-0.171125
449.411	-0.166125
448.734	-0.161125
448.672	-0.156125
448.701	-0.151125
448.548	-0.146125
448.716	-0.141125
448.56	-0.136125
448.555	-0.131125
448.504	-0.126125
448.639	-0.121125
448.537	-0.116125
448.444	-0.111125
448.583	-0.106125
448.614	-0.101125
448.739	-0.096125
448.15	-0.091125
448.757	-0.086125
448.739	-0.081125
448.671	-0.076125
448.6	-0.071125
448.558	-0.066125
448.774	-0.061125
448.739	-0.056125
448.602	-0.051125
448.85	-0.046125
449.061	-0.041125
448.825	-0.036125
448.878	-0.031125
449.339	-0.026
449.094	-0.021125
448.335	-0.016
448.231	-0.011125
447.111	-0.006
446.593	-0.001125
446.719	0.004
446.612	0.008875
446.231	0.014
445.304	0.019
444.467	0.024
442.892	0.029
441.582	0.034
440.12	0.039
438.279	0.044
437.33	0.049
435.774	0.054
435.083	0.059
433.757	0.064
