#A	h
104.978	-0.106125
104.068	-0.111125
103.862	-0.116125
104.973	-0.121125
105.265	-0.126125
107.598	-0.131125
110.82	-0.136125
111.789	-0.141125
113.441	-0.146125
115.159	-0.151125
117.546	-0.156125
117.822	-0.161125
119.406	-0.166125
121.229	-0.171125
122.587	-0.176125
125.698	-0.181125
126.203	-0.18625
127.727	-0.191125
130.167	-0.19625
132.744	-0.201125
134.095	-0.20625
135.388	-0.211125
136.937	-0.21625
138.748	-0.221125
139.131	-0.22625
139.469	-0.23125
142.507	-0.23625
144.92	-0.24125
145.908	-0.24625
147.663	-0.25125
150.094	-0.25625
152.65	-0.26125
152.775	-0.26625
155.08	-0.27125
156.613	-0.27625
157.634	-0.28125
159.517	-0.28625
161.201	-0.29125
160.829	-0.29625
161.671	-0.301125
163.939	-0.30625
165.623	-0.311125
168.991	-0.31625
169.148	-0.321125
170.978	-0.32625
172.933	-0.331125
174.91	-0.336125
176.697	-0.341125
178.165	-0.346125
178.613	-0.351125
180.126	-0.356125
180.343	-0.361125
181.412	-0.366125
180.897	-0.371125
181.366	-0.376125
181.992	-0.381125
