A	h
184.244	-0.344375
184.244	-0.339625
184.244	-0.33475
184.244	-0.32975
184.244	-0.32475
184.244	-0.31975
184.244	-0.31475
184.244	-0.30975
184.244	-0.30475
184.244	-0.29975
184.244	-0.29475
184.244	-0.28975
184.244	-0.28475
184.244	-0.27975
184.244	-0.27475
184.244	-0.26975
184.244	-0.26475
184.244	-0.25975
184.244	-0.25475
184.244	-0.24975
184.244	-0.24475
184.244	-0.23975
184.244	-0.23475
184.244	-0.22975
184.244	-0.22475
184.244	-0.21975
184.244	-0.214625
184.244	-0.20975
184.244	-0.20475
184.244	-0.19975
184.244	-0.194625
184.244	-0.18975
184.244	-0.184625
184.244	-0.17975
184.244	-0.174625
184.244	-0.16975
184.244	-0.164625
184.244	-0.159625
184.244	-0.154625
184.244	-0.149625
184.244	-0.144625
184.244	-0.139625
184.137	-0.134625
184.177	-0.129625
184.152	-0.124625
184.031	-0.119625
184.231	-0.114625
184.544	-0.109625
184.355	-0.104625
184.479	-0.099625
184.583	-0.094625
184.567	-0.089625
184.638	-0.084625
184.516	-0.079625
184.861	-0.074625
185.399	-0.069625
184.943	-0.0645
185.492	-0.059625
185.541	-0.0545
185.796	-0.0495
185.376	-0.0445
185.067	-0.0395
185.634	-0.0345
186.343	-0.029625
185.749	-0.0245
186.076	-0.019625
186.176	-0.014625
185.9	-0.009625
185.65	-0.004625
185.94	0.000375
186.283	0.005375
185.615	0.010375
185.408	0.015375
186.339	0.020375
185.68	0.025375
185.77	0.030375
185.771	0.035375
185.914	0.040375
186.218	0.045375
186.044	0.050375
186.116	0.055375
185.627	0.06025
186.302	0.065375
185.916	0.07025
185.156	0.07525
186.362	0.08025
186.591	0.08525
187.304	0.09025
187.382	0.09525
187.303	0.10025
187.014	0.10525
186.851	0.11025
186.916	0.11525
187.222	0.12025
186.965	0.12525
187.215	0.13025
187.561	0.13525
187.051	0.14025
186.807	0.14525
186.84	0.15025
187.053	0.15525
186.441	0.16025
186.429	0.16525
186.315	0.17025
185.888	0.17525
185.698	0.18025
186.039	0.18525
186.209	0.19025
184.504	0.19525
184.272	0.20025
184.578	0.20525
185.158	0.21025
185.353	0.21525
184.212	0.22025
184.558	0.22525
184.142	0.23025
184.866	0.23525
184.497	0.24025
184.131	0.24525
184.231	0.25025
184.165	0.25525
184.339	0.26025
184.207	0.26525
184.279	0.27025
184.277	0.27525
184.128	0.28025
184.144	0.285375
184.525	0.29025
184.395	0.295375
184.511	0.30025
184.449	0.305375
184.53	0.31025
184.465	0.315375
185.014	0.32025
184.641	0.325375
184.706	0.330375
184.161	0.335375
184.727	0.340375
184.084	0.345375
184.395	0.350375
184.297	0.355375
184.253	0.360375
184.191	0.365375
184.261	0.370375
183.825	0.375375
183.762	0.380375
184.195	0.385375
184.096	0.390375
184.101	0.395375
184.275	0.400375
183.859	0.405375
184.24	0.410375
184.173	0.415375
184.04	0.420375
184.101	0.425375
184.291	0.430375
184.256	0.4355
184.026	0.440375
183.76	0.4455
183.896	0.4505
183.88	0.4555
184.43	0.4605
184.544	0.4655
184.156	0.470375
184.265	0.4755
184.428	0.480375
184.391	0.485375
184.581	0.490375
183.924	0.495375
184.145	0.500375
184.458	0.505375
184.082	0.510375
184.4	0.515375
184.678	0.520375
184.678	0.525375
183.869	0.530375
183.904	0.535375
184.008	0.540375
184.122	0.545375
183.715	0.550375
183.933	0.555375
184.404	0.560375
183.433	0.565375
183.711	0.57025
183.525	0.57525
183.609	0.58025
183.644	0.58525
183.194	0.59025
183.249	0.59525
183.609	0.60025
183.342	0.60525
182.969	0.61025
182.674	0.61525
182.927	0.62025
183.312	0.62525
183.018	0.63025
183.389	0.63525
183.108	0.64025
182.832	0.64525
183.145	0.65025
182.813	0.65525
183.096	0.66025
182.916	0.66525
183.185	0.67025
182.923	0.67525
183.099	0.68025
182.753	0.68525
182.764	0.69025
182.874	0.69525
182.734	0.70025
182.967	0.70525
183.017	0.71025
183.029	0.71525
182.902	0.72025
182.758	0.72525
182.572	0.73025
182.923	0.73525
182.709	0.74025
182.938	0.74525
182.611	0.75025
183.198	0.75525
183.083	0.76025
182.867	0.765375
182.887	0.77025
182.836	0.775375
183.488	0.78025
182.783	0.785375
182.95	0.790375
182.987	0.795375
182.883	0.80025
182.741	0.805375
183.122	0.810375
183.098	0.815375
182.53	0.820375
183.073	0.825375
182.876	0.830375
182.753	0.835375
182.992	0.840375
182.976	0.845375
183.091	0.850375
182.486	0.855375
182.577	0.860375
183.18	0.865375
182.371	0.870375
182.698	0.875375
182.66	0.880375
182.816	0.885375
182.748	0.890375
182.426	0.895375
182.749	0.900375
182.588	0.905375
182.546	0.910375
182.428	0.915375
182.593	0.920375
182.987	0.925375
182.322	0.930375
182.44	0.9355
182.386	0.940375
182.442	0.9455
182.401	0.9505
182.408	0.9555
182.069	0.9605
182.389	0.9655
182.103	0.970375
182.074	0.9755
182.016	0.980375
182.224	0.985375
181.865	0.990375
181.858	0.995375
182.03	1.00038
182.032	1.00537
181.628	1.01038
181.795	1.01537
181.765	1.02038
181.823	1.02537
181.42	1.03038
181.848	1.03537
181.306	1.04037
181.413	1.04537
181.522	1.05038
181.187	1.05537
181.225	1.06038
181.213	1.06537
181.675	1.07025
181.438	1.07525
181.359	1.08025
180.689	1.08525
180.374	1.09025
180.448	1.09525
180.227	1.10025
180.017	1.10525
179.886	1.11025
179.566	1.11525
179.265	1.12025
179.527	1.12525
179.553	1.13025
179.353	1.13525
179.04	1.14025
178.333	1.14525
178.441	1.15025
178.082	1.15525
178.418	1.16025
177.932	1.16525
177.75	1.17025
177.69	1.17525
177.219	1.18025
176.765	1.18525
176.071	1.19025
175.668	1.19525
175.485	1.20025
175.023	1.20525
173.562	1.21025
172.282	1.21525
171.386	1.22025
170.122	1.22525
169.749	1.23025
168.958	1.23525
168.998	1.24025
167.843	1.24525
167.177	1.25025
166.658	1.25525
167.105	1.26025
166.757	1.26538
166.804	1.27025
166.272	1.27537
165.563	1.28025
165.528	1.28537
165.194	1.29038
165.055	1.29537
165.203	1.30038
164.93	1.30537
164.658	1.31038
164.707	1.31537
164.023	1.32025
164.18	1.32538
164.795	1.33038
164.322	1.33538
164.102	1.34038
163.773	1.34538
163.487	1.35037
162.369	1.35537
