A	h
162.502	1.36037
161.02	1.36538
159.581	1.37037
157.622	1.37538
157.118	1.38037
156.286	1.38538
154.75	1.39038
153.911	1.39538
152.735	1.40038
150.202	1.40538
149.66	1.41038
148.549	1.41538
147.441	1.42038
146.554	1.4255
144.613	1.43038
143.906	1.4355
143.699	1.4405
142.649	1.4455
141.6	1.4505
140.462	1.4555
138.442	1.4605
136.264	1.4655
133.667	1.47037
132.303	1.4755
129.896	1.48037
128.168	1.4855
124.584	1.49038
122.69	1.49538
121.379	1.50038
119.918	1.50538
118.497	1.51038
117.638	1.51537
113.547	1.52038
111.209	1.52537
110.091	1.53038
108.289	1.53537
106.583	1.54038
105.001	1.54537
102.663	1.55038
101.343	1.55537
99.764	1.56038
98.4314	1.56537
96.473	1.57025
93.5213	1.57525
90.2355	1.58025
86.6474	1.58525
85.2533	1.59025
83.6588	1.59525
81.5158	1.60025
80.3537	1.60525
79.1126	1.61025
74.6613	1.61525
69.7318	1.62025
67.3778	1.62525
61.6466	1.63025
53.6406	1.63525
48.3472	1.64025
43.1154	1.64525
36.333	1.65025
33.4217	1.65525
