#A	h
142.964	-0.070875
142.964	-0.066125
142.964	-0.061125
142.964	-0.056125
142.964	-0.051125
142.964	-0.046125
142.964	-0.041125
142.964	-0.036125
142.964	-0.031125
142.964	-0.026125
142.964	-0.021125
142.964	-0.016125
142.964	-0.011125
142.964	-0.006125
142.964	-0.001125
142.964	0.003875
142.964	0.008875
142.964	0.013875
142.964	0.018875
142.964	0.023875
142.964	0.029
142.964	0.033875
142.964	0.039
142.964	0.044
142.964	0.049
142.964	0.054
142.964	0.059
142.964	0.064
142.964	0.069
142.964	0.074
142.964	0.079
142.964	0.084
142.964	0.089
142.964	0.094
142.964	0.099
142.964	0.104
142.964	0.109
142.964	0.114
142.964	0.119
142.964	0.123875
142.964	0.128875
142.964	0.133875
142.964	0.138875
142.964	0.143875
142.964	0.148875
142.964	0.153875
142.964	0.158875
142.964	0.163875
142.964	0.168875
142.964	0.173875
142.964	0.178875
142.964	0.183875
142.964	0.188875
142.964	0.193875
142.964	0.198875
142.964	0.203875
142.964	0.208875
142.964	0.213875
142.964	0.218875
142.964	0.22375
142.964	0.22875
142.964	0.23375
142.964	0.23875
142.964	0.24375
142.964	0.24875
142.964	0.25375
142.964	0.25875
142.964	0.26375
142.964	0.26875
142.964	0.27375
142.964	0.27875
142.964	0.28375
142.964	0.28875
142.964	0.29375
142.964	0.29875
142.964	0.30375
142.964	0.30875
142.964	0.31375
142.964	0.31875
142.964	0.32375
142.964	0.32875
142.964	0.33375
142.964	0.33875
142.964	0.34375
142.964	0.34875
142.964	0.35375
142.964	0.35875
142.964	0.36375
142.964	0.368875
142.964	0.37375
142.964	0.378875
142.964	0.383875
142.964	0.388875
142.964	0.393875
142.964	0.398875
142.964	0.403875
142.964	0.408875
142.964	0.413875
142.964	0.418875
142.964	0.423875
142.964	0.428875
142.964	0.433875
142.964	0.438875
142.964	0.443875
142.964	0.448875
142.964	0.453875
142.964	0.458875
142.964	0.463875
142.964	0.468875
142.964	0.473875
142.964	0.478875
142.964	0.483875
142.964	0.488875
142.964	0.493875
142.964	0.498875
142.964	0.503875
142.964	0.508875
142.964	0.513875
142.964	0.518875
142.964	0.523875
142.964	0.529
142.964	0.533875
142.964	0.539
142.964	0.544
142.964	0.549
142.964	0.554
142.964	0.559
142.19	0.564
141.563	0.569
141.738	0.574
141.877	0.579
141.615	0.584
141.38	0.589
140.854	0.594
141.612	0.599
141.534	0.604
141.378	0.609
141.364	0.614
141.441	0.619
140.965	0.623875
141.016	0.628875
141.091	0.633875
141.283	0.638875
141.271	0.643875
141.023	0.648875
141.605	0.653875
141.26	0.658875
141.411	0.663875
141.519	0.668875
141.529	0.673875
141.018	0.678875
141.659	0.683875
141.663	0.688875
141.278	0.693875
140.833	0.698875
141.128	0.703875
141.438	0.708875
140.916	0.713875
141.049	0.718875
140.863	0.72375
141.171	0.72875
140.801	0.73375
140.875	0.73875
140.731	0.74375
141.04	0.74875
140.684	0.75375
140.434	0.75875
140.877	0.76375
140.845	0.76875
141.072	0.77375
140.729	0.77875
141.269	0.78375
141.102	0.78875
141.222	0.79375
141.142	0.79875
141.373	0.80375
140.541	0.80875
141.306	0.81375
140.652	0.81875
140.408	0.82375
140.998	0.82875
140.984	0.83375
141.03	0.83875
141.114	0.84375
140.942	0.84875
140.849	0.85375
140.016	0.85875
139.914	0.86375
140.205	0.868875
139.464	0.87375
140.399	0.878875
140.525	0.883875
139.682	0.888875
140.868	0.893875
140.664	0.898875
140.51	0.903875
140.548	0.908875
140.334	0.913875
140.04	0.918875
140.401	0.923875
140.009	0.928875
140.418	0.933875
140.689	0.938875
140.661	0.943875
140.457	0.948875
140.369	0.953875
140.452	0.958875
140.32	0.963875
140.239	0.968875
140.685	0.973875
140.515	0.978875
140.439	0.983875
140.55	0.988875
139.947	0.993875
140.582	0.998875
140.332	1.00387
140.045	1.00888
140.659	1.01388
140.128	1.019
140.747	1.02387
140.362	1.029
140.285	1.03388
140.227	1.039
139.998	1.044
140.202	1.049
140.511	1.054
140.316	1.059
140.597	1.064
140.833	1.069
140.047	1.074
140.728	1.079
140.234	1.084
140.241	1.089
140.276	1.094
139.878	1.099
140.539	1.104
140.687	1.109
140.481	1.114
140.478	1.119
140.559	1.12387
139.367	1.12887
140.139	1.13387
139.794	1.13888
140.699	1.14387
139.963	1.14887
140.139	1.15387
139.5	1.15888
139.903	1.16387
140.387	1.16887
139.421	1.17388
139.931	1.17888
139.228	1.18388
139.859	1.18887
139.757	1.19388
139.395	1.19888
139.898	1.20388
139.305	1.20887
139.086	1.21387
139.806	1.21887
139.52	1.22375
139.624	1.22887
139.632	1.23375
139.502	1.23875
139.745	1.24375
139.733	1.24875
139.481	1.25375
139.966	1.25875
138.63	1.26375
139.762	1.26875
139.112	1.27375
139.602	1.27875
139.105	1.28375
139.548	1.28875
139.618	1.29375
139.119	1.29875
139.397	1.30375
138.418	1.30875
138.829	1.31375
139.128	1.31875
138.029	1.32375
138.539	1.32875
139.297	1.33375
139.205	1.33875
138.665	1.34375
138.769	1.34875
138.926	1.35375
138.31	1.35875
139.391	1.36375
138.681	1.36888
138.991	1.37375
138.133	1.37887
138.258	1.38387
138.263	1.38888
139.026	1.39387
138.484	1.39887
139.057	1.40387
138.49	1.40888
138.178	1.41387
138.21	1.41887
138.507	1.42388
137.582	1.42888
138.087	1.43388
138.266	1.43887
138.381	1.44388
137.829	1.44888
138.607	1.45388
138.532	1.45887
138.173	1.46387
138.277	1.46887
137.468	1.47388
138.184	1.47887
137.89	1.48387
137.502	1.48888
137.057	1.49388
138.324	1.49887
137.836	1.50387
138.514	1.50888
137.844	1.51388
137.303	1.519
