#A	h
125.067	1.62387
125.327	1.62887
124.199	1.63387
124.851	1.63888
124.485	1.64387
124.109	1.64887
124.014	1.65387
124.6	1.65888
122.486	1.66387
121.451	1.66887
116.776	1.67388
114.477	1.67888
114.338	1.68388
111.889	1.68887
104.964	1.69388
99.27	1.69888
90.29	1.70388
87.0588	1.70887
83.3388	1.71375
81.9148	1.71888
79.5257	1.72375
78.891	1.72875
77.7905	1.73375
77.6938	1.73875
76.7427	1.74375
76.0571	1.74875
74.1215	1.75375
73.9545	1.75875
73.1089	1.76375
71.2085	1.76875
68.1759	1.77375
59.6495	1.77875
55.1156	1.78375
53.565	1.78875
48.6918	1.79375
45.8421	1.79875
42.3067	1.80375
34.1161	1.80875
22.1018	1.81375
