#A	h
51.1794	0
52.2834	-0.00075
53.1572	-0.002125
53.6863	-0.002875
54.052	-0.004
54.154	-0.005
54.5038	-0.00575
54.4317	-0.007125
54.6954	-0.007875
54.6656	-0.009
54.5812	-0.01
55.1771	-0.01075
54.328	-0.012125
55.4391	-0.012875
55.7309	-0.014
55.8979	-0.015
56.7435	-0.01575
57.0195	-0.017125
56.6117	-0.017875
56.8103	-0.019
56.8842	-0.02
56.7752	-0.02075
57.1866	-0.022125
57.3711	-0.022875
57.2956	-0.024
57.4889	-0.025
57.1883	-0.02575
57.6964	-0.027125
59.1661	-0.027875
59.2346	-0.029
59.741	-0.03
59.7867	-0.03075
59.9343	-0.032125
60.0679	-0.032875
60.2877	-0.034
61.3531	-0.035
61.7662	-0.03575
61.9402	-0.037125
62.0053	-0.037875
62.8368	-0.039
63.4838	-0.04
63.9637	-0.04075
64.3311	-0.042125
64.3241	-0.042875
64.4454	-0.044
64.5491	-0.045
64.4894	-0.045875
64.4946	-0.047125
64.572	-0.047875
65.117	-0.049
65.4334	-0.05
65.7042	-0.05075
65.887	-0.052125
65.945	-0.052875
66.1542	-0.054
66.2105	-0.055
66.4074	-0.055875
66.4601	-0.057125
66.49	-0.057875
67.0578	-0.059
68.677	-0.06
69.1587	-0.06075
69.5384	-0.062125
70.1133	-0.062875
70.3242	-0.064
70.7374	-0.065
71.1839	-0.065875
71.5496	-0.067125
72.2018	-0.067875
72.5182	-0.069
72.6044	-0.07
72.8417	-0.07075
72.8364	-0.072125
73.0949	-0.072875
73.3041	-0.074
73.2636	-0.075
74.5171	-0.075875
74.1356	-0.077125
75.5262	-0.077875
75.5244	-0.079
75.7495	-0.08
75.0041	-0.08075
75.0902	-0.082125
75.0076	-0.082875
76.5371	-0.084
76.4579	-0.085
76.9185	-0.085875
76.6074	-0.087125
76.7621	-0.087875
76.9256	-0.089
77.3721	-0.09
78.9684	-0.09075
78.7434	-0.092125
79.5679	-0.092875
79.2813	-0.094
80.148	-0.095
80.3238	-0.09575
80.461	-0.097125
80.3555	-0.097875
81.4507	-0.099
81.6072	-0.1
81.6476	-0.10075
82.0168	-0.102125
81.6968	-0.102875
82.3842	-0.104
83.8504	-0.105
84.7066	-0.10575
84.9123	-0.107125
84.8138	-0.107875
84.6872	-0.109
84.9738	-0.11
85.0775	-0.11075
85.3939	-0.112125
85.7473	-0.112875
85.7139	-0.114
85.9354	-0.115
85.5363	-0.11575
85.9917	-0.117125
85.9882	-0.117875
87.4719	-0.119
87.4086	-0.12
88.0978	-0.12075
88.5496	-0.122125
