#A	h
465.062	-1.12275
465.062	-1.11813
465.062	-1.11312
465.062	-1.10813
465.062	-1.10312
465.062	-1.09813
465.062	-1.09312
465.062	-1.08813
465.062	-1.08312
465.062	-1.07812
465.062	-1.07312
465.062	-1.06812
465.062	-1.06312
465.062	-1.05812
465.062	-1.05313
465.062	-1.04812
465.062	-1.04313
465.062	-1.03812
465.062	-1.03812
465.062	-1.03313
465.062	-1.02812
465.062	-1.02313
465.062	-1.01812
465.062	-1.01312
465.062	-1.01312
465.062	-1.00812
465.062	-1.00812
465.062	-1.00312
465.062	-1.00312
465.062	-1.00312
465.062	-0.998125
465.062	-0.998125
465.062	-0.993125
465.062	-0.993125
465.062	-0.988125
465.062	-0.988125
465.062	-0.983125
465.062	-0.983125
465.062	-0.978125
465.062	-0.978125
465.062	-0.973125
465.062	-0.968125
465.062	-0.968125
465.062	-0.963125
465.062	-0.958125
465.062	-0.953
465.062	-0.948125
465.062	-0.943
465.062	-0.938125
465.062	-0.933
464.992	-0.928125
464.815	-0.923
464.459	-0.918
464.79	-0.913
464.943	-0.908
464.586	-0.903
464.823	-0.898
464.943	-0.893
464.173	-0.888
464.182	-0.883
464.83	-0.878
464.584	-0.873
464.658	-0.868
465.917	-0.863
465.527	-0.858
464.994	-0.853
465.289	-0.848
464.871	-0.843
465.711	-0.838
465.458	-0.833
465.76	-0.828
466.383	-0.823
466.472	-0.818
466.576	-0.812875
467.118	-0.807875
467.817	-0.802875
468.195	-0.797875
468.951	-0.792875
469.387	-0.787875
470.867	-0.782875
471.193	-0.778
472.625	-0.772875
471.878	-0.768
471.961	-0.763
471.644	-0.758
468.985	-0.753
467.786	-0.748
466.84	-0.743
467.038	-0.738
467.473	-0.733
467.332	-0.728
467.362	-0.723
466.502	-0.718
466.645	-0.713
466.594	-0.708
466.392	-0.703
467.248	-0.698
466.597	-0.693
466.944	-0.688
467.731	-0.683
467.002	-0.678
466.836	-0.673
466.481	-0.668125
466.353	-0.663125
466.513	-0.658125
466.794	-0.653125
466.555	-0.648125
466.68	-0.643125
466.467	-0.638125
466.799	-0.633125
466.59	-0.628125
466.762	-0.623125
465.973	-0.618125
465.569	-0.613125
464.667	-0.608125
464.783	-0.603125
466.042	-0.598125
464.911	-0.593125
464.625	-0.588125
464.952	-0.583125
464.417	-0.578125
465.412	-0.573125
464.045	-0.568125
463.709	-0.563125
463.9	-0.558125
463.948	-0.553125
464.009	-0.548125
464.437	-0.543125
464.343	-0.538125
464.35	-0.533125
466.121	-0.528125
466.434	-0.523125
466.172	-0.518125
466.599	-0.513125
467.591	-0.508125
467.411	-0.503125
467.353	-0.498125
467.496	-0.493125
466.757	-0.488125
467.559	-0.483125
466.585	-0.478125
466.636	-0.473125
467.021	-0.468125
467.325	-0.463125
467.313	-0.458125
467.585	-0.453
467.687	-0.448125
467.532	-0.443
467.098	-0.438125
467.086	-0.433
467.555	-0.428125
466.951	-0.423
466.784	-0.418
466.963	-0.413
466.168	-0.408
467.327	-0.403
467.153	-0.398
467.218	-0.393
465.885	-0.388
466.244	-0.383
465.446	-0.378
465.073	-0.373
465.746	-0.368
464.711	-0.363
465.288	-0.358
464.63	-0.353
464.758	-0.348
464.503	-0.343
464.498	-0.338
464.09	-0.333
464.136	-0.328
464.113	-0.322875
464.041	-0.318
464.097	-0.312875
463.686	-0.307875
463.811	-0.302875
463.811	-0.297875
463.883	-0.292875
463.999	-0.287875
464.173	-0.282875
463.681	-0.277875
464.008	-0.272875
463.515	-0.268
462.939	-0.262875
463.29	-0.258
463.705	-0.253
463.783	-0.248
463.774	-0.243
463.983	-0.238
463.725	-0.233
464.226	-0.228
463.904	-0.223
463.726	-0.218
463.373	-0.213
463.334	-0.208
463.89	-0.203
463.415	-0.198
463.556	-0.193
463.447	-0.188
463.192	-0.183
463.301	-0.178
463.401	-0.173
462.967	-0.168125
463.5	-0.163
463.468	-0.158125
463.827	-0.153125
463.006	-0.148125
463.118	-0.143125
463.41	-0.138125
463.86	-0.133125
463.595	-0.128125
463.99	-0.123125
463.872	-0.118125
464.349	-0.113125
464.572	-0.108125
463.823	-0.103125
464.203	-0.098125
463.895	-0.093125
463.259	-0.088125
463.459	-0.083125
463.039	-0.078125
462.723	-0.073125
462.993	-0.068125
463.013	-0.063125
463.194	-0.058125
462.756	-0.053125
463.139	-0.048125
462.74	-0.043125
462.42	-0.038125
463.515	-0.033125
463.602	-0.028125
462.781	-0.023125
463.178	-0.018125
462.677	-0.013125
463.452	-0.008125
463.848	-0.003125
463.605	0.001875
463.628	0.006875
463.647	0.011875
463.039	0.016875
462.916	0.021875
463.143	0.026875
462.97	0.031875
463.004	0.036875
462.513	0.041875
463.537	0.047
462.612	0.051875
461.921	0.057
462.462	0.062
462.313	0.067
462.714	0.072
461.988	0.077
462.318	0.082
462.004	0.087
462.22	0.092
461.74	0.097
462.898	0.102
462.38	0.107
462.164	0.112
462.359	0.117
462.89	0.122
461.986	0.127
462.227	0.132
461.662	0.137
461.763	0.142
462.526	0.147
462.255	0.152
461.406	0.157
461.803	0.162
462.798	0.167
461.84	0.172
461.958	0.177125
462.596	0.182
461.46	0.187125
460.85	0.192125
462.155	0.197125
461.378	0.202125
461.648	0.207125
462.018	0.212125
461.251	0.217125
461.223	0.222
461.437	0.227125
461.181	0.232
460.864	0.237125
461.14	0.242
461.061	0.247
461.283	0.252
461.404	0.257
460.548	0.262
461.038	0.267
460.778	0.272
460.945	0.277
460.534	0.282
460.509	0.287
460.674	0.292
460.386	0.297
460.536	0.302
460.929	0.307
460.634	0.312
460.522	0.317
460.251	0.322
461.082	0.327
460.685	0.331875
460.522	0.336875
460.908	0.341875
460.138	0.346875
460.442	0.351875
461.518	0.356875
460.119	0.361875
459.978	0.366875
460.005	0.371875
459.588	0.376875
459.149	0.381875
459.519	0.386875
459.484	0.391875
459.785	0.396875
459.28	0.401875
459.022	0.406875
459.182	0.411875
458.888	0.416875
459.426	0.421875
458.336	0.426875
457.841	0.431875
457.584	0.436875
457.865	0.441875
457.389	0.446875
456.07	0.451875
455.531	0.456875
454.75	0.461875
453.649	0.466875
453.881	0.471875
452.559	0.476875
451.986	0.481875
451.287	0.486875
450.186	0.491875
449.267	0.496875
448.302	0.501875
447.734	0.506875
446.695	0.511875
446.579	0.516875
444.455	0.521875
444.165	0.526875
443.729	0.531875
442.567	0.536875
442.384	0.541875
440.362	0.547
439.506	0.551875
438.654	0.557
437.558	0.561875
437.317	0.567
436.482	0.571875
435.556	0.577
434.385	0.582
433.705	0.587
432.479	0.592
433.594	0.597
431.834	0.602
431.236	0.607
430.785	0.612
428.81	0.617
427.778	0.622
427.316	0.627
426.564	0.632
424.952	0.637
423.865	0.642
422.555	0.647
420.975	0.652
