#A	h
421.348	0.657
419.032	0.662
418.595	0.667
417.779	0.672
416.119	0.677125
414.669	0.682
414.171	0.687125
413.08	0.692125
411.397	0.697125
409.942	0.702125
409.456	0.707125
408.046	0.712125
406.626	0.717125
405.086	0.722
404.131	0.727125
402.016	0.732
400.969	0.737125
398.892	0.742
398.26	0.747
397.475	0.752
395.707	0.757
394.139	0.762
393.478	0.767
391.892	0.772
389.814	0.777
388.105	0.782
387.166	0.787
385.693	0.792
383.758	0.797
382.967	0.802
380.676	0.807
380.282	0.812
379.681	0.817
377.367	0.822
376.311	0.827
374.368	0.831875
372.549	0.836875
370.725	0.841875
369.602	0.846875
367.459	0.851875
366.974	0.856875
365.379	0.861875
364.435	0.866875
362.233	0.871875
361.146	0.876875
359.483	0.881875
357.431	0.886875
356.537	0.891875
355.445	0.896875
353.182	0.901875
351.382	0.906875
349.708	0.911875
346.802	0.916875
344.976	0.921875
343.525	0.926875
342.114	0.931875
340.526	0.936875
338.422	0.941875
336.986	0.946875
335.532	0.951875
334.656	0.956875
333.281	0.961875
331.446	0.966875
330.091	0.971875
328.807	0.976875
328.317	0.981875
326.603	0.986875
324.65	0.991875
321.492	0.996875
318.421	1.00188
316.234	1.00687
312.925	1.01188
311.333	1.01687
309.009	1.02188
307.941	1.02687
306.881	1.03187
306.131	1.03687
304.603	1.04187
303.798	1.047
303.996	1.05187
300.978	1.057
298.861	1.06188
297.539	1.067
295.989	1.07188
294.953	1.077
292.705	1.082
290.88	1.087
289.363	1.092
288.853	1.097
286.414	1.102
285.546	1.107
284.6	1.112
282.705	1.117
280.738	1.122
279.636	1.127
278.103	1.132
276.121	1.137
274.511	1.142
272.89	1.147
272.109	1.152
271.71	1.157
270.028	1.162
267.426	1.167
266.426	1.172
264.585	1.17712
263.805	1.182
261.602	1.18712
259.708	1.19213
256.938	1.19712
254.814	1.20213
253.571	1.20713
251.446	1.21213
250.4	1.21713
249.275	1.22213
247.443	1.22713
245.737	1.232
244.887	1.23713
242.733	1.242
238.605	1.247
237.143	1.252
235.632	1.257
233.456	1.262
230.457	1.267
228.762	1.272
227.206	1.277
225.067	1.282
224.295	1.287
222.987	1.292
221.09	1.297
217.919	1.302
216.224	1.307
214.795	1.312
213.608	1.317
211.994	1.322
210.466	1.327
209.306	1.33188
207.448	1.337
204.9	1.34187
202.334	1.34688
200.832	1.35187
198.311	1.35688
196.594	1.36187
195.369	1.36688
194.057	1.37187
