#A	h
121.526	-0.144375
121.606	-0.149375
122.451	-0.154375
123.917	-0.159375
126.282	-0.164375
127.382	-0.169375
130.065	-0.174375
131.676	-0.179375
133.673	-0.184375
135.803	-0.189375
137.336	-0.194375
138.185	-0.199375
141.241	-0.204375
142.834	-0.209375
143.709	-0.214375
146.149	-0.219375
149.222	-0.224375
150.599	-0.229375
152.775	-0.234375
154.697	-0.239375
155.998	-0.244375
158.403	-0.249375
159.016	-0.254375
161.112	-0.2595
162.16	-0.264375
163.499	-0.2695
164.777	-0.274375
