#A	h
56.29	1.38778e-17
58.0322	-0.00125
58.7758	-0.002125
59.5458	-0.003125
60.2596	-0.00425
60.5127	-0.005
60.6586	-0.00625
61.1087	-0.007125
61.4568	-0.008125
61.7363	-0.00925
62.1178	-0.01
62.6259	-0.01125
63.039	-0.012125
63.9321	-0.013125
64.3364	-0.01425
65.0414	-0.015
66.4021	-0.01625
67.3461	-0.017
68.1056	-0.018
68.2164	-0.01925
69.0321	-0.02
68.8317	-0.02125
69.8636	-0.022125
70.6371	-0.023
70.8551	-0.02425
71.4898	-0.025
71.7078	-0.02625
72.0066	-0.027
72.6659	-0.028
72.6888	-0.02925
72.3547	-0.03
73.3181	-0.03125
73.3849	-0.032
73.7541	-0.033
73.9897	-0.03425
75.0691	-0.034875
75.1148	-0.036125
75.7249	-0.037
75.8391	-0.038
76.356	-0.03925
76.6636	-0.04
76.9133	-0.04125
77.0469	-0.042
77.7729	-0.043
77.9435	-0.04425
78.8541	-0.044875
79.9125	-0.046125
79.6593	-0.047
80.0689	-0.048
80.6596	-0.04925
81.4032	-0.049875
81.9764	-0.05125
82.1223	-0.052
82.437	-0.053
82.662	-0.05425
82.9925	-0.054875
83.4812	-0.056125
84.0385	-0.057
84.1915	-0.058
85.0582	-0.05925
85.4274	-0.059875
86.1024	-0.06125
86.4857	-0.062
86.6826	-0.063
86.9533	-0.06425
87.2311	-0.064875
87.7339	-0.066125
88.0573	-0.067
88.6269	-0.068
89.4726	-0.06925
89.7204	-0.069875
90.0228	-0.07125
89.9226	-0.072
91.329	-0.073
91.9056	-0.074125
92.5807	-0.074875
92.8901	-0.076125
93.4298	-0.077
93.4914	-0.078
93.8307	-0.07925
94.0012	-0.079875
94.0504	-0.08125
94.9839	-0.082
95.5324	-0.083
96.9582	-0.08425
95.9596	-0.084875
96.4361	-0.086125
96.3798	-0.087
96.9758	-0.088
97.0021	-0.08925
97.2483	-0.089875
97.4698	-0.09125
98.1044	-0.092
98.3945	-0.093
98.4191	-0.09425
99.3561	-0.094875
99.277	-0.096125
100.179	-0.097
100.574	-0.098
101.104	-0.09925
101.278	-0.1
101.513	-0.10125
