#A	h
26.9539	-1.38778e-17
28.3797	-0.000875
29.5786	-0.002125
29.9865	-0.002875
29.9812	-0.00425
30.7899	-0.005
30.4401	-0.006
30.7284	-0.007125
30.8462	-0.007875
30.8374	-0.00925
31.0149	-0.01
31.1222	-0.010875
31.8395	-0.012125
32.1928	-0.012875
33.0121	-0.01425
34.095	-0.015
34.3464	-0.016
34.3446	-0.017125
34.6066	-0.017875
35.1059	-0.01925
35.2219	-0.02
35.3098	-0.020875
35.7598	-0.022125
35.962	-0.022875
36.7584	-0.02425
37.4792	-0.025
37.6181	-0.025875
37.7183	-0.027125
38.1648	-0.027875
38.8118	-0.029125
39.3304	-0.029875
39.6099	-0.030875
39.5536	-0.032125
40.0828	-0.032875
40.0265	-0.03425
40.408	-0.034875
40.1813	-0.035875
40.8212	-0.037125
41.1745	-0.037875
41.8373	-0.039125
41.6052	-0.039875
42.0412	-0.040875
42.2241	-0.042125
42.7216	-0.042875
42.5809	-0.044125
43.0451	-0.044875
43.6762	-0.045875
43.583	-0.047125
44.2317	-0.047875
44.7732	-0.049125
44.9666	-0.049875
45.4518	-0.050875
45.7858	-0.052
45.7049	-0.052875
46.1585	-0.054125
45.8684	-0.054875
46.0442	-0.055875
46.148	-0.057125
46.5611	-0.057875
45.8983	-0.059125
47.3135	-0.059875
47.862	-0.060875
48.5881	-0.062
48.4562	-0.06275
48.9573	-0.064125
49.1208	-0.064875
49.3511	-0.065875
49.5726	-0.067
49.6148	-0.06775
50.1	-0.069125
49.8082	-0.069875
51.0563	-0.070875
50.7223	-0.072
51.1407	-0.07275
51.6875	-0.074125
51.6892	-0.074875
51.851	-0.075875
52.3907	-0.077
51.9318	-0.07775
52.3749	-0.079125
52.7089	-0.079875
53.5088	-0.08075
53.4349	-0.082
53.9079	-0.08275
54.1628	-0.084125
54.0432	-0.084875
54.4564	-0.085875
55.4637	-0.087
55.026	-0.08775
56.2144	-0.089125
56.0983	-0.089875
56.689	-0.09075
56.6504	-0.092
57.3817	-0.09275
57.4907	-0.094125
57.5716	-0.095875
57.8317	-0.097
57.8107	-0.09775
59.0395	-0.099125
58.7969	-0.099875
59.3999	-0.10075
59.2944	-0.102
59.8078	-0.10275
60.518	-0.104125
65.2559	-0.104875
63.8178	-0.10775
67.761	-0.12775
