#h	A
0	1373.88
-0.001125	1373.88
-0.00225	1373.76
-0.003	1374.03
-0.004375	1374.24
-0.005	1374.38
-0.006125	1374.42
-0.007125	1374.38
-0.008	1374.46
-0.009375	1374.59
-0.01	1374.7
-0.011125	1374.43
-0.01225	1374.62
-0.013	1374.43
-0.01425	1374.56
-0.015	1374.58
-0.016125	1374.56
-0.017125	1374.46
-0.018	1374.59
-0.019375	1374.6
-0.02	1374.64
-0.021125	1374.7
-0.02225	1374.64
-0.023	1374.67
-0.024375	1374.67
-0.025	1374.6
-0.026125	1374.57
-0.02725	1374.5
-0.028	1374.75
-0.029375	1374.42
-0.030125	1374.6
-0.031125	1374.37
-0.03225	1374.58
-0.033	1374.49
-0.034375	1374.51
-0.035125	1374.61
-0.036125	1374.61
-0.03725	1374.49
-0.038	1374.56
-0.039375	1374.84
-0.040125	1374.65
-0.041125	1374.86
-0.04225	1374.83
-0.043	1374.5
-0.044375	1374.52
-0.045125	1374.83
-0.046125	1374.86
-0.04725	1374.91
-0.048	1374.63
-0.049375	1374.78
-0.050125	1374.61
-0.051125	1374.77
-0.05225	1374.7
-0.053	1374.69
-0.054375	1374.36
-0.055125	1374.54
-0.056125	1359.19
-0.05725	1362.19
-0.058	1358.66
-0.059375	1360.83
-0.060125	1360.97
-0.061125	1361.43
-0.06225	1361.41
-0.063125	1361.59
-0.064375	1361.47
-0.065125	1361.53
-0.066125	1361.54
-0.06725	1361.47
-0.068	1361.62
-0.069375	1361.57
-0.070125	1361.56
-0.07125	1362.03
-0.07225	1361.61
-0.073125	1361.73
-0.074375	1361.84
-0.075125	1361.69
-0.076125	1361.67
-0.07725	1361.58
-0.078125	1361.67
-0.079375	1361.61
-0.080125	1361.71
-0.08125	1361.77
-0.08225	1361.69
-0.083125	1361.67
-0.084375	1361.57
-0.085125	1361.52
-0.086125	1361.52
-0.08725	1361.52
-0.088125	1361.52
-0.089375	1361.52
-0.090125	1361.52
-0.09125	1361.52
-0.09225	1361.52
-0.14225	1360.41
-0.0925	1360.41
-0.042375	1360.41
0.007625	1360.4
0.057625	1359.92
0.1075	1359.75
0.1575	1359.5
0.207375	1359.12
0.2575	1358.98
0.3075	1357.88
0.3575	1355.74
0.4075	1350.94
0.457625	1339.9
0.507625	1321.06
0.557625	1301.25
0.6075	1283.39
0.6575	1265.04
0.7075	1248.31
0.7575	1232.55
0.8075	1216.39
0.8575	1201.2
0.9075	1184.81
0.957625	1169.08
1.00762	1152.4
1.05763	1136.78
1.1075	1120.04
1.1575	1104.73
1.2075	1089.54
1.2575	1073.68
1.3075	1057.73
1.3575	1040.54
1.4075	1024.85
1.45762	1008.29
1.50762	992.787
1.55763	977.075
1.6075	961.816
1.6575	945.464
1.7075	929.85
1.7575	913.905
1.8075	897.24
1.8575	881.643
1.9075	864.431
1.95762	847.486
2.00762	830.219
2.05762	813.282
2.1075	797.806
2.1575	782.391
2.2075	766.912
2.2575	750.84
2.3075	734.045
2.3575	717.485
