#A	    h
1250.13	0
1250.14	0.245
1250.39	0.275
1250.34	0.295
1250	0.35
1250.28	0.415
1250.38	0.445
1250.45	0.465
1250.47	0.51
1250.51	0.57
1250.48	0.62
1238.32	0.705
1226.82	0.74
1214.06	0.78
1203.15	0.815
1192.24	0.85
1183.33	0.88
1167.28	0.93
1155.04	0.97
1137.47	1.025
1123.53	1.07
1109.79	1.115
1090.6	1.185
1077.27	1.23
1064.4	1.275
1047.11	1.335
1033	1.38
1011.08	1.45
986.491	1.525
971.287	1.57
950.382	1.63
926.948	1.695
904.03	1.76
877.087	1.835
848.647	1.915
821.701	1.99
801.318	2.045
773.491	2.125
741.333	2.22
733.859	2.24
716.274	2.29
686.793	2.37
660.754	2.44
639.514	2.5
610.912	2.565
593.168	2.61
571.541	2.67
548.101	2.74
520.257	2.815
492.142	2.895
466.824	2.97
441.756	3.04
420.376	3.1
397.747	3.165
365.856	3.255
337.048	3.33
307.395	3.405
279.776	3.48
249.513	3.555
231.376	3.6
212.02	3.645
187.18	3.695
165.764	3.74
137.643	3.785
95.6522	3.825
